# logged on Tue Dec  5 11:35:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772521.261129000  999.746 0 49.9962  -  nan  0.0618118 -0.0984262 -0.00760815  0.0618118 -0.0984262 -0.00760815  0.109014 0.144811 10.1767  0.109014 0.144811 10.1767  - - -  - - -  74.1606 66.9976 70.2435 71.8316 - - - - - 67.0691 - - - - - - 139 146 134 71 0 0 0 0
1701772521.266155000  999.75 0 49.9926  -  nan  -0.127376 0.019543 0.0160562  -0.127376 0.019543 0.0160562  -0.0768828 0.00339508 9.56019  -0.0768828 0.00339508 9.56019  - - -  - - -  73.7604 66.4582 70.7615 71.9355 - - - - - - - 72.812 - - - - 139 146 134 71 0 0 0 0
1701772521.271129000  999.755 0 49.9926  -  nan  0.018799 -0.0399468 0.000974789  0.018799 -0.0399468 0.000974789  -0.0301113 0.0502604 9.7279  -0.0301113 0.0502604 9.7279  - - -  - - -  74.2204 67.6196 70.1489 71.0829 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.276130000  999.759 0 49.9923  -  nan  0.002939 -0.097617 0.00192978  0.002939 -0.097617 0.00192978  0.0599984 0.0920503 10.4657  0.0599984 0.0920503 10.4657  - - -  - - -  73.8166 67.2048 70.5297 71.5585 - - - - - - 70.6514 - - - - - 139 146 134 71 0 0 0 0
1701772521.281131000  999.759 0 49.9938  -  nan  -0.141795 0.0196085 0.0150666  -0.141795 0.0196085 0.0150666  -0.0746709 0.00827559 9.1035  -0.0746709 0.00827559 9.1035  - - -  - - -  73.5578 67.1222 70.6922 71.4012 - - - - 73.7137 66.1376 - - - - - - 139 146 134 71 0 0 0 0
1701772521.286159000  999.766 0 49.9894  -  nan  0.0471905 -0.126724 -0.00760779  0.0471905 -0.126724 -0.00760779  0.016144 0.0969308 10.0087  0.016144 0.0969308 10.0087  - - -  - - -  74.2371 68.4384 70.096 70.6152 - - - - - - - 71.9321 - - - - 139 146 134 71 0 0 0 0
1701772521.291132000  999.773 0 49.9894  -  nan  -0.0403202 -0.0974204 -0.00103901  -0.0403202 -0.0974204 -0.00103901  -0.0331503 0.043555 10.3554  -0.0331503 0.043555 10.3554  - - -  - - -  73.4164 67.1444 71.2184 71.2736 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.296132000  999.778 0 49.9885  -  nan  -0.0978158 -0.0241514 0.0196263  -0.0978158 -0.0241514 0.0196263  -0.0741179 0.00949572 8.98933  -0.0741179 0.00949572 8.98933  - - -  - - -  73.2943 67.5536 70.9905 70.8194 - - - - - - 70.4424 - - - - - 139 146 134 71 0 0 0 0
1701772521.301128000  999.778 0 49.9887  -  nan  0.0910693 -0.184666 -0.00255305  0.0910693 -0.184666 -0.00255305  0.013743 0.0453799 10.1849  0.013743 0.0453799 10.1849  - - -  - - -  73.5875 68.1104 70.6418 70.8952 - - - - 73.9426 67.6407 - - - - - - 139 146 134 71 0 0 0 0
1701772521.306169000  999.786 0 49.9859  -  nan  -0.0403833 -0.0826963 0.012033  -0.0403833 -0.0826963 0.012033  -0.0814637 -0.0520217 10.193  -0.0814637 -0.0520217 10.193  - - -  - - -  72.5548 66.8124 71.6013 71.6914 - - - - - - - 71.0732 - - - - 139 146 134 71 0 0 0 0
1701772521.311119000  999.789 0 49.9859  -  nan  0.00287583 -0.0828929 0.0150018  0.00287583 -0.0828929 0.0150018  -0.0741179 0.00949572 8.98933  -0.0741179 0.00949572 8.98933  - - -  - - -  72.6263 67.2945 71.256 71.1579 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.316130000  999.791 0 49.9877  -  nan  0.119808 -0.198979 -7.88769e-05  0.119808 -0.198979 -7.88769e-05  0.0592563 0.0441598 10.2994  0.0592563 0.0441598 10.2994  - - -  - - -  72.6058 67.0268 71.3868 71.6643 - - - - 74.4048 - 70.6514 - - - - - 139 146 134 71 0 0 0 0
1701772521.321115000  999.792 0 49.9889  -  nan  -0.0116071 -0.0681031 0.0270842  -0.0116071 -0.0681031 0.0270842  -0.0350287 -0.0974614 9.79771  -0.0350287 -0.0974614 9.79771  - - -  - - -  71.7482 65.8894 72.0837 72.3367 - - - - - 67.4491 - - - - - - 139 146 134 71 0 0 0 0
1701772521.326158000  999.792 0 49.987  -  nan  0.106038 -0.0839033 0.00850334  0.106038 -0.0839033 0.00850334  -0.0757769 0.00583534 9.33184  -0.0757769 0.00583534 9.33184  - - -  - - -  72.0028 66.4883 71.4821 72.1244 - - - - - - - 71.9321 - - - - 139 146 134 71 0 0 0 0
1701772521.331128000  999.793 0 49.987  -  nan  0.134429 -0.170681 -7.92381e-05  0.134429 -0.170681 -7.92381e-05  0.0596571 -0.000265298 9.90371  0.0596571 -0.000265298 9.90371  - - -  - - -  72.0551 65.9083 71.7091 72.6185 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.336134000  999.793 0 49.9885  -  nan  0.0185343 -0.0535864 0.0150368  0.0185343 -0.0535864 0.0150368  0.0115007 -0.0501862 10.0219  0.0115007 -0.0501862 10.0219  - - -  - - -  71.4624 64.8593 72.3279 73.0423 - - - - 72.1501 - 71.5001 - - - - - 139 146 134 71 0 0 0 0
1701772521.341119000  999.793 0 49.9886  -  nan  0.164911 -0.0847124 -0.00103459  0.164911 -0.0847124 -0.00103459  -0.0294365 0.0064401 9.27559  -0.0294365 0.0064401 9.27559  - - -  - - -  71.7878 65.1368 71.8417 72.8986 - - - - - 67.0691 - - - - - - 139 146 134 71 0 0 0 0
1701772521.346157000  999.786 0 49.9878  -  nan  0.0917561 -0.113325 -0.0195994  0.0917561 -0.113325 -0.0195994  0.103511 -0.00514581 10.3607  0.103511 -0.00514581 10.3607  - - -  - - -  71.7154 64.0723 72.2587 73.7043 - - - - - - - 72.59 - - - - 139 146 134 71 0 0 0 0
1701772521.351120000  999.781 0 49.9878  -  nan  0.00369652 0.032588 0.0109713  0.00369652 0.032588 0.0109713  0.0160768 0.00521997 9.3901  0.0160768 0.00521997 9.3901  - - -  - - -  71.3158 63.6868 72.41 73.4811 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.356127000  999.778 0 49.9892  -  nan  0.12083 -0.0551344 -0.00509937  0.12083 -0.0551344 -0.00509937  0.0631272 0.0527006 9.50023  0.0631272 0.0527006 9.50023  - - -  - - -  71.7969 64.2714 71.7824 73.1148 - - - - 71.9321 - 72.1501 - - - - - 139 146 134 71 0 0 0 0
1701772521.361113000  999.776 0 49.9903  -  nan  0.0188367 -0.0110408 0.0135518  0.0188367 -0.0110408 0.0135518  0.103511 -0.00514581 10.3607  0.103511 -0.00514581 10.3607  - - -  - - -  71.7383 63.4875 72.018 73.8007 - - - - - 63.6618 - - - - - - 139 146 134 71 0 0 0 0
1701772521.366158000  999.775 0 49.9882  -  nan  -0.0537432 0.0901199 0.0186  -0.0537432 0.0901199 0.0186  0.022222 0.110342 8.75381  0.022222 0.110342 8.75381  - - -  - - -  71.61 63.7664 71.536 73.3979 - - - - - - - 73.0353 - - - - 139 146 134 71 0 0 0 0
1701772521.371126000  999.776 0 49.9882  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  0.154343 0.0969308 10.0097  0.154343 0.0969308 10.0097  - - -  - - -  72.1622 64.4894 71.1043 73.1268 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.376129000  999.783 0 49.9895  -  nan  -0.0965736 0.103414 -0.0119978  -0.0965736 0.103414 -0.0119978  0.106154 0.0459952 10.128  0.106154 0.0459952 10.128  - - -  - - -  71.8169 63.6986 71.4775 73.2422 - - - - 71.5001 - 71.9321 - - - - - 139 146 134 71 0 0 0 0
1701772521.381116000  999.788 0 49.9895  -  nan  -0.0672607 0.146299 -0.0251059  -0.0672607 0.146299 -0.0251059  0.0693044 0.158837 8.86385  0.0693044 0.158837 8.86385  - - -  - - -  72.0888 63.9713 71.0254 72.6179 - - - - - 63.6618 - - - - - - 139 146 134 71 0 0 0 0
1701772521.386160000  999.79 0 49.9886  -  nan  -0.0967379 0.031381 -0.037626  -0.0967379 0.031381 -0.037626  0.155543 0.192086 10.4009  0.155543 0.192086 10.4009  - - -  - - -  72.863 64.1376 70.801 72.2932 - - - - - - - 72.59 - - - - 139 146 134 71 0 0 0 0
1701772521.391138000  999.791 0 49.9886  -  nan  -0.213379 0.190052 -0.0230612  -0.213379 0.190052 -0.0230612  0.0611942 0.0484355 9.89934  0.0611942 0.0484355 9.89934  - - -  - - -  72.2952 63.8169 71.2651 71.7957 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.396126000  999.792 0 49.9887  -  nan  -0.11052 0.146496 -0.0280747  -0.11052 0.146496 -0.0280747  0.112885 0.153352 9.37747  0.112885 0.153352 9.37747  - - -  - - -  72.7462 64.6554 70.4167 71.1123 - - - - - - 70.2346 - - - - - 139 146 134 71 0 0 0 0
