# logged on Tue Nov 14 16:07:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974443.091981000  999.933 0 50.0064  -  nan  0.104685 -0.136259 0.044107  0.104685 -0.136259 0.044107  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  77.9155 76.7349 65.2907 64.1769 - - - - - - - 64.1766 - - - - 139 145 0 71 0 0 0 0
1699974443.096975000  999.934 0 50.0057  -  nan  0.0751679 -0.0937422 0.0563102  0.0751679 -0.0937422 0.0563102  0.00694702 -0.0952687 10.2407  0.00694702 -0.0952687 10.2407  - - -  - - -  76.4645 76.5458 66.0638 65.7016 - - - - 79.1014 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.102082000  999.934 0 50.0057  -  nan  0.103995 -0.0372676 0.055192  0.103995 -0.0372676 0.055192  -0.0821557 0.0474371 9.4242  -0.0821557 0.0474371 9.4242  - - -  - - -  75.8435 76.8565 65.8534 65.9682 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.106994000  999.933 0 50.0071  -  nan  0.0329792 -0.0243703 0.0125553  0.0329792 -0.0243703 0.0125553  0.117167 -0.0420766 8.68883  0.117167 -0.0420766 8.68883  - - -  - - -  76.1361 76.821 65.5722 66.4851 - - - - - - 66.6933 - - - - - 139 145 0 71 0 0 0 0
1699974443.111982000  999.933 0 50.0039  -  nan  -0.0949186 0.0723979 -0.0193775  -0.0949186 0.0723979 -0.0193775  0.162748 0.0469619 9.54068  0.162748 0.0469619 9.54068  - - -  - - -  76.7264 77.3015 65.746 65.928 - - - - - 77.0535 - 65.4108 - - - - 139 145 0 71 0 0 0 0
1699974443.116974000  999.934 0 50.0045  -  nan  -0.0671824 0.170167 -0.0363717  -0.0671824 0.170167 -0.0363717  -0.0326234 0.0927851 9.5351  -0.0326234 0.0927851 9.5351  - - -  - - -  78.1589 78.1274 65.0815 64.1108 - - - - 75.3466 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.122021000  999.934 0 50.0045  -  nan  -0.094576 0.0856617 -0.0620056  -0.094576 0.0856617 -0.0620056  0.157168 -0.0475403 10.008  0.157168 -0.0475403 10.008  - - -  - - -  79.6046 78.1411 64.5412 63.1427 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.126979000  999.935 0 50.0051  -  nan  -0.0950045 0.113698 -0.0352396  -0.0950045 0.113698 -0.0352396  0.00976425 0.0436349 10.3427  0.00976425 0.0436349 10.3427  - - -  - - -  79.602 78.2454 64.889 62.392 - - - - - - 65.2316 - - - - - 139 145 0 71 0 0 0 0
1699974443.131974000  999.935 0 50.0041  -  nan  -0.0387986 0.100363 -0.0193438  -0.0387986 0.100363 -0.0193438  -0.0361957 0.045536 9.88346  -0.0361957 0.045536 9.88346  - - -  - - -  79.6536 78.2729 64.4958 62.3058 - - - - - 76.558 - 63.6618 - - - - 139 145 0 71 0 0 0 0
1699974443.136975000  999.935 0 50.0037  -  nan  0.0474408 -0.0944478 0.0146479  0.0474408 -0.0944478 0.0146479  -0.095267 -0.00551529 11.1493  -0.095267 -0.00551529 11.1493  - - -  - - -  78.5373 77.8444 65.0208 63.3586 - - - - 78.064 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.142008000  999.935 0 50.0037  -  nan  0.00397427 -0.121788 0.056067  0.00397427 -0.121788 0.056067  0.0572591 -0.140621 9.90112  0.0572591 -0.140621 9.90112  - - -  - - -  76.7735 77.5709 65.846 63.9387 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.146982000  999.935 0 50.0058  -  nan  0.0905333 -0.121513 0.0435107  0.0905333 -0.121513 0.0435107  -0.0833515 0.0467222 9.59679  -0.0833515 0.0467222 9.59679  - - -  - - -  75.9643 77.7427 66.04 64.4574 - - - - - 79.1014 64.3501 - - - - - 139 145 0 71 0 0 0 0
1699974443.151982000  999.932 0 50.0062  -  nan  0.0472266 -0.0804297 0.0280309  0.0472266 -0.0804297 0.0280309  -0.0322198 0.00280009 9.14242  -0.0322198 0.00280009 9.14242  - - -  - - -  75.6193 77.3515 66.2918 65.4164 - - - - - - - 63.6618 - - - - 139 145 0 71 0 0 0 0
1699974443.156976000  999.932 0 50.0066  -  nan  -0.0521464 -0.052676 -0.00164049  -0.0521464 -0.052676 -0.00164049  0.110822 0.0452963 9.94237  0.110822 0.0452963 9.94237  - - -  - - -  75.7731 77.6399 66.6395 65.1412 - - - - 76.558 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.162022000  999.933 0 50.0066  -  nan  -0.066712 0.086182 -0.0341005  -0.066712 0.086182 -0.0341005  0.115993 0.0483877 9.19615  0.115993 0.0483877 9.19615  - - -  - - -  76.4854 78.3401 66.4422 63.6472 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.166977000  999.934 0 50.0069  -  nan  -0.0671049 0.156334 -0.0359976  -0.0671049 0.156334 -0.0359976  0.0708428 0.141939 8.95791  0.0708428 0.141939 8.95791  - - -  - - -  78.0869 78.565 65.6162 62.9493 - - - - - - 66.6933 - - - - - 139 145 0 71 0 0 0 0
1699974443.171982000  999.938 0 50.0056  -  nan  -0.166422 0.0996838 -0.0211171  -0.166422 0.0996838 -0.0211171  0.206308 -0.0475403 10.0084  0.206308 -0.0475403 10.0084  - - -  - - -  79.1561 78.946 65.0937 62.3363 - - - - - 77.3036 - 64.6998 - - - - 139 145 0 71 0 0 0 0
1699974443.176978000  999.944 0 50.005  -  nan  -0.0954482 0.142736 -0.0075176  -0.0954482 0.142736 -0.0075176  0.0636651 0.0915948 9.82312  0.0636651 0.0915948 9.82312  - - -  - - -  79.0986 79.6461 64.6638 61.2872 - - - - 77.5555 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.182036000  999.948 0 50.005  -  nan  0.06061 0.114726 -0.0183356  0.06061 0.114726 -0.0183356  0.011733 -0.0463542 9.72066  0.011733 -0.0463542 9.72066  - - -  - - -  79.483 79.4135 64.0569 61.8128 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.187016000  999.943 0 50.0069  -  nan  0.0331341 -0.0520361 0.0133034  0.0331341 -0.0520361 0.0133034  0.0505058 -0.144659 10.8758  0.0505058 -0.144659 10.8758  - - -  - - -  79.2095 78.5227 64.3065 63.0358 - - - - - 78.3208 64.3501 - - - - - 139 145 0 71 0 0 0 0
1699974443.192009000  999.936 0 50.0072  -  nan  0.104268 -0.0376381 0.0276778  0.104268 -0.0376381 0.0276778  -0.0370057 -0.0461145 9.66245  -0.0370057 -0.0461145 9.66245  - - -  - - -  77.6814 78.2966 64.9895 63.2768 - - - - - - - 61.8429 - - - - 139 145 0 71 0 0 0 0
1699974443.197009000  999.935 0 50.0075  -  nan  0.175676 -0.0236107 0.0145379  0.175676 -0.0236107 0.0145379  -0.0318821 -0.135157 8.58158  -0.0318821 -0.135157 8.58158  - - -  - - -  77.1978 77.5685 65.2736 64.6513 - - - - 80.4376 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.202042000  999.934 0 50.0075  -  nan  0.118849 -0.0804204 0.00150802  0.118849 -0.0804204 0.00150802  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  77.1105 77.0449 66.0083 65.7587 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.207004000  999.933 0 50.0077  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  0.0600777 -0.0468295 9.83573  0.0600777 -0.0468295 9.83573  - - -  - - -  76.8029 77.1732 66.2996 65.1512 - - - - - - 64.5245 - - - - - 139 145 0 71 0 0 0 0
1699974443.211998000  999.931 0 50.0063  -  nan  0.0468246 0.114267 -0.047028  0.0468246 0.114267 -0.047028  0.0712217 0.0509997 8.56531  0.0712217 0.0509997 8.56531  - - -  - - -  77.5199 77.7437 65.8604 64.3532 - - - - - 78.5793 - 62.822 - - - - 139 145 0 71 0 0 0 0
1699974443.216997000  999.931 0 50.0056  -  nan  -0.0388306 0.156299 -0.0493638  -0.0388306 0.156299 -0.0493638  0.16156 0.00113866 9.54486  0.16156 0.00113866 9.54486  - - -  - - -  79.0808 77.8922 65.4128 63.8941 - - - - 75.5858 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.222029000  999.938 0 50.0056  -  nan  -0.109234 0.142277 -0.03621  -0.109234 0.142277 -0.03621  0.203151 -0.00337445 10.6346  0.203151 -0.00337445 10.6346  - - -  - - -  79.9535 78.6156 64.3608 62.2542 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.227011000  999.945 0 50.0051  -  nan  -0.011054 0.170665 -0.0208501  -0.011054 0.170665 -0.0208501  -0.0361944 0.000423674 9.71604  -0.0361944 0.000423674 9.71604  - - -  - - -  80.2332 79.1655 63.8009 61.3039 - - - - - - 66.1376 - - - - - 139 145 0 71 0 0 0 0
1699974443.232001000  999.952 0 50.0022  -  nan  0.0749112 0.073302 -0.0170179  0.0749112 0.073302 -0.0170179  0.00694702 -0.0952687 10.2407  0.00694702 -0.0952687 10.2407  - - -  - - -  80.4189 78.8788 63.606 61.6704 - - - - - 79.1014 - 64.1766 - - - - 139 145 0 71 0 0 0 0
1699974443.236990000  999.96 0 50.003  -  nan  0.0612178 -0.0665219 0.0278523  0.0612178 -0.0665219 0.0278523  -0.00382075 -0.193813 11.4533  -0.00382075 -0.193813 11.4533  - - -  - - -  79.3794 78.304 64.1574 62.7765 - - - - 80.9848 - - - - - - - 139 145 0 71 0 0 0 0
