# logged on Tue Nov 14 13:53:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966385.378796000  1000.68 0 49.9943  -  nan  0.0335542 -0.0526051 -0.0289506  0.0335542 -0.0526051 -0.0289506  0.111225 0.000423674 9.71709  0.111225 0.000423674 9.71709  - - -  - - -  75.0989 71.7171 67.2763 66.5153 - - - - - 71.5001 66.3218 66.6933 - - - - 138 146 133 70 0 0 0 0
1699966385.383717000  1000.69 0 49.9943  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  0.0121407 0.0901689 10.1669  0.0121407 0.0901689 10.1669  - - -  - - -  74.567 71.4133 68.2936 66.3675 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.388850000  1000.68 0 49.9938  -  nan  0.00336648 0.0594598 0.00987908  0.00336648 0.0594598 0.00987908  -0.085728 0.000188099 9.77256  -0.085728 0.000188099 9.77256  - - -  - - -  74.8155 71.8152 67.7021 65.9449 - - - - 74.638 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.393711000  1000.69 0 49.9915  -  nan  0.0333539 -0.0670423 -5.28709e-05  0.0333539 -0.0670423 -5.28709e-05  0.0628785 0.0460113 9.76943  0.0628785 0.0460113 9.76943  - - -  - - -  74.8332 71.7997 67.3926 66.3084 - - - - - - 68.0272 - - - - - 138 146 133 70 0 0 0 0
1699966385.398799000  1000.68 0 49.9951  -  nan  -0.0667448 0.0175867 0.010024  -0.0667448 0.0175867 0.010024  0.0105592 0.0441102 10.228  0.0105592 0.0441102 10.228  - - -  - - -  74.0353 71.713 68.2884 66.4087 - - - - - 70.6514 - 66.6933 - - - - 138 146 133 70 0 0 0 0
1699966385.403707000  1000.69 0 49.9951  -  nan  -0.0245568 0.0452919 -0.00389489  -0.0245568 0.0452919 -0.00389489  -0.0829589 0.0920701 9.70734  -0.0829589 0.0920701 9.70734  - - -  - - -  74.255 72.4791 67.718 65.4872 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.408743000  1000.68 0 49.9956  -  nan  0.00450323 -0.0950484 -0.0134667  0.00450323 -0.0950484 -0.0134667  0.0636734 0.0464866 9.65471  0.0636734 0.0464866 9.65471  - - -  - - -  74.5842 72.1158 67.726 65.7307 - - - - 74.8727 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.413724000  1000.69 0 49.994  -  nan  -0.123942 0.00246089 0.00962894  -0.123942 0.00246089 0.00962894  0.0109532 0.0443457 10.1711  0.0109532 0.0443457 10.1711  - - -  - - -  73.887 71.9425 68.5716 65.8046 - - - - - - 68.6153 - - - - - 138 146 133 70 0 0 0 0
1699966385.418805000  1000.68 0 49.997  -  nan  -0.0386848 0.0315694 0.0100408  -0.0386848 0.0315694 0.0100408  -0.0326234 0.0927851 9.5351  -0.0326234 0.0927851 9.5351  - - -  - - -  73.833 72.7671 68.2605 64.9099 - - - - - 71.7154 - 65.0533 - - - - 138 146 133 70 0 0 0 0
1699966385.423789000  1000.69 0 49.997  -  nan  -0.00970229 -0.094938 9.49255e-05  -0.00970229 -0.094938 9.49255e-05  0.0616909 0.000188099 9.77361  0.0616909 0.000188099 9.77361  - - -  - - -  74.1146 72.4986 68.1979 65.4195 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.428740000  1000.68 0 49.9963  -  nan  -0.108868 0.00254113 0.00983838  -0.108868 0.00254113 0.00983838  0.0117481 0.044821 10.0564  0.0117481 0.044821 10.0564  - - -  - - -  73.6432 72.4295 68.601 65.4252 - - - - 73.7137 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.433728000  1000.69 0 49.9963  -  nan  -0.0245386 0.0178114 0.0106104  -0.0245386 0.0178114 0.0106104  -0.0330161 0.0474371 9.42455  -0.0330161 0.0474371 9.42455  - - -  - - -  73.892 73.0882 68.1113 64.849 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.438836000  1000.68 0 49.9969  -  nan  0.0192852 -0.0671171 -0.000248344  0.0192852 -0.0671171 -0.000248344  0.112412 0.0462469 9.71292  0.112412 0.0462469 9.71292  - - -  - - -  73.9861 72.5565 68.3541 65.6346 - - - - - 72.3694 69.0131 66.1376 - - - - 138 146 133 70 0 0 0 0
1699966385.443712000  1000.69 0 49.9969  -  nan  -0.109029 0.0311949 0.00906347  -0.109029 0.0311949 0.00906347  0.0129439 0.045536 9.88381  0.0129439 0.045536 9.88381  - - -  - - -  73.6834 72.3208 68.652 65.805 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.448755000  1000.68 0 49.9972  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  -0.0338193 0.0920701 9.70769  -0.0338193 0.0920701 9.70769  - - -  - - -  74.0773 73.0698 68.0267 65.1209 - - - - 73.9426 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.453726000  1000.69 0 49.9972  -  nan  0.0334768 -0.0387722 -0.0293247  0.0334768 -0.0387722 -0.0293247  0.110413 -0.0461145 9.6635  0.110413 -0.0461145 9.6635  - - -  - - -  74.2636 72.6597 68.0397 65.5712 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.458806000  1000.68 0 49.9982  -  nan  -0.0526942 0.0451421 -0.00428583  -0.0526942 0.0451421 -0.00428583  0.0137388 0.0460113 9.76908  0.0137388 0.0460113 9.76908  - - -  - - -  74.1316 72.312 68.592 65.6316 - - - - - 72.3694 68.4182 64.8761 - - - - 138 146 133 70 0 0 0 0
1699966385.463733000  1000.69 0 49.9982  -  nan  0.0186544 0.0455219 -0.0032945  0.0186544 0.0455219 -0.0032945  0.0153287 0.0469619 9.53963  0.0153287 0.0469619 9.53963  - - -  - - -  74.5644 72.6021 68.0937 65.3885 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.468757000  1000.68 0 49.9974  -  nan  0.0473215 -0.024666 -0.0147635  0.0473215 -0.024666 -0.0147635  0.109635 -0.000526891 9.94654  0.109635 -0.000526891 9.94654  - - -  - - -  74.7959 72.4138 68.0435 65.7229 - - - - 73.7137 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.473744000  1000.69 0 49.9967  -  nan  -0.010488 0.0453668 -0.00369941  -0.010488 0.0453668 -0.00369941  0.0624858 0.000663381 9.65888  0.0624858 0.000663381 9.65888  - - -  - - -  74.4919 71.9651 68.4597 66.0217 - - - - - - 68.6153 - - - - - 138 146 133 70 0 0 0 0
1699966385.478753000  1000.68 0 49.9991  -  nan  0.0467144 0.0595046 -0.00327765  0.0467144 0.0595046 -0.00327765  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  74.7949 72.1782 68.0432 66.002 - - - - - 73.4862 - 65.2316 - - - - 138 146 133 70 0 0 0 0
1699966385.483732000  1000.69 0 49.9991  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  74.967 72.1136 67.8536 66.2104 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
