# logged on Fri Dec  1 17:22:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447720.643545000  1000.89 0 49.996  -  nan  -0.0828218 0.0329812 0.00503368  -0.0828218 0.0329812 0.00503368  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  74.6435 67.5409 70.7886 70.602 - - - - - 66.8807 70.4424 - - - - - 139 146 0 71 0 0 0 0
1701447720.648544000  1000.89 0 49.9964  -  nan  -0.0544303 -0.0537963 -0.0035489  -0.0544303 -0.0537963 -0.0035489  0.01043 0.0380697 10.869  0.01043 0.0380697 10.869  - - -  - - -  74.7216 68.1765 70.4238 69.8697 - - - - 73.7137 - - - - - - - 139 146 0 71 0 0 0 0
1701447720.653537000  1000.89 0 49.9964  -  nan  0.0337299 0.0319099 -0.000545863  0.0337299 0.0319099 -0.000545863  -0.0233764 0.157627 8.97636  -0.0233764 0.157627 8.97636  - - -  - - -  74.3209 67.6501 70.7867 70.1315 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1701447720.658535000  1000.89 0 49.9958  -  nan  -0.141228 0.0757936 -0.000480322  -0.141228 0.0757936 -0.000480322  0.0623001 0.0508758 9.67099  0.0623001 0.0508758 9.67099  - - -  - - -  74.9051 67.8132 70.5884 70.2771 - - - - - - - 70.2346 - - - - 139 146 0 71 0 0 0 0
1701447720.663524000  1000.89 0 49.9956  -  nan  -0.0249489 -0.0125052 -0.0311577  -0.0249489 -0.0125052 -0.0311577  0.0622103 0.0969308 10.009  0.0622103 0.0969308 10.009  - - -  - - -  74.9722 68.1838 70.2881 69.48 - - - - - 68.8137 71.5001 - - - - - 139 146 0 71 0 0 0 0
1701447720.668554000  1000.89 0 49.997  -  nan  -0.0245758 0.0889042 -0.00655484  -0.0245758 0.0889042 -0.00655484  0.0219479 0.109737 8.8104  0.0219479 0.109737 8.8104  - - -  - - -  74.8278 67.3989 70.7535 69.7572 - - - - 74.173 - - - - - - - 139 146 0 71 0 0 0 0
1701447720.673535000  1000.88 0 49.997  -  nan  -0.141128 0.0899755 -0.000975301  -0.141128 0.0899755 -0.000975301  0.0582722 -0.00332092 10.1896  0.0582722 -0.00332092 10.1896  - - -  - - -  75.5448 67.8455 70.345 69.7762 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1701447720.678534000  1000.89 0 49.9973  -  nan  -0.0106041 0.00219218 -0.016127  -0.0106041 0.00219218 -0.016127  0.0178928 0.0545361 9.32814  0.0178928 0.0545361 9.32814  - - -  - - -  74.9877 67.873 70.2732 69.3412 - - - - - - - 69.8227 - - - - 139 146 0 71 0 0 0 0
1701447720.683541000  1000.88 0 49.9969  -  nan  -0.14109 0.118882 0.0116017  -0.14109 0.118882 0.0116017  0.0211208 0.107912 8.98116  0.0211208 0.107912 8.98116  - - -  - - -  74.8879 67.1709 70.6434 70.1415 - - - - - 68.6153 70.028 - - - - - 139 146 0 71 0 0 0 0
1701447720.688536000  1000.89 0 49.9972  -  nan  -0.111258 0.0898397 0.00107458  -0.111258 0.0898397 0.00107458  0.0560651 -0.00819082 10.6453  0.0560651 -0.00819082 10.6453  - - -  - - -  75.3002 68.1104 70.0381 69.6127 - - - - 75.3466 - - - - - - - 139 146 0 71 0 0 0 0
