# logged on Tue Dec  5 10:17:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767820.878662000  1000.59 0 49.9976  -  nan  -0.0973423 0.0188649 0.00453906  -0.0973423 0.0188649 0.00453906  -0.123668 -0.000265298 9.90237  -0.123668 -0.000265298 9.90237  - - -  - - -  76.52 70.6601 69.4259 67.1421 - - - - - 70.6514 - 67.2585 - - - - 138 146 134 71 0 0 0 0
1701767820.883651000  1000.59 0 49.9976  -  nan  -0.0259004 -0.097486 -4.94141e-05  -0.0259004 -0.097486 -4.94141e-05  0.010983 0.0392899 10.7548  0.010983 0.0392899 10.7548  - - -  - - -  76.6163 70.7293 69.4659 67.0085 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.888672000  1000.59 0 49.999  -  nan  -0.0257172 -0.024479 0.0245743  -0.0257172 -0.024479 0.0245743  -0.116606 0.0606262 8.75727  -0.116606 0.0606262 8.75727  - - -  - - -  75.7291 70.013 70.3109 67.3992 - - - - 75.3466 - 69.4155 - - - - - 138 146 134 71 0 0 0 0
1701767820.893653000  1000.58 0 49.999  -  nan  -0.0543103 0.0339348 0.0341469  -0.0543103 0.0339348 0.0341469  -0.0806318 -0.0501862 10.0212  -0.0806318 -0.0501862 10.0212  - - -  - - -  76.172 70.4696 69.9566 67.9228 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.898660000  1000.58 0 49.9983  -  nan  0.0611184 -0.125163 0.0340828  0.0611184 -0.125163 0.0340828  0.0153122 0.0950953 10.1805  0.0153122 0.0950953 10.1805  - - -  - - -  75.5088 70.1848 70.1006 68.1434 - - - - - 71.0732 - 67.2585 - - - - 138 146 134 71 0 0 0 0
1701767820.903658000  1000.57 0 49.9983  -  nan  -0.0398906 0.0338693 0.0351365  -0.0398906 0.0338693 0.0351365  -0.117037 0.0143656 8.5333  -0.117037 0.0143656 8.5333  - - -  - - -  74.9935 69.7958 70.4424 68.6776 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.908662000  1000.57 0 49.9976  -  nan  0.0333572 0.00307554 0.0140464  0.0333572 0.00307554 0.0140464  0.00846178 -0.0568916 10.6494  0.00846178 -0.0568916 10.6494  - - -  - - -  76.1216 70.5101 69.8616 68.5626 - - - - 75.8265 - 69.0131 - - - - - 138 146 134 71 0 0 0 0
1701767820.913649000  1000.56 0 49.9976  -  nan  0.0916181 -0.0838378 0.00751374  0.0916181 -0.0838378 0.00751374  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  75.6223 69.4898 70.169 68.8224 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.918658000  1000.56 0 49.9952  -  nan  -0.082381 0.118615 0.0156308  -0.082381 0.118615 0.0156308  -0.117433 0.0588013 8.92803  -0.117433 0.0588013 8.92803  - - -  - - -  75.339 68.8555 70.5013 69.1717 - - - - - 70.2346 - 67.6407 - - - - 138 146 134 71 0 0 0 0
1701767820.923652000  1000.56 0 49.9952  -  nan  0.0335843 -0.012191 -0.0125926  0.0335843 -0.012191 -0.0125926  0.0546803 -0.0112464 10.9313  0.0546803 -0.0112464 10.9313  - - -  - - -  76.4267 69.7407 69.5602 68.6088 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.928669000  1000.56 0 49.9933  -  nan  0.0481048 0.00192535 -0.0120979  0.0481048 0.00192535 -0.0120979  0.014296 0.0466 10.0708  0.014296 0.0466 10.0708  - - -  - - -  75.7253 68.4533 70.2907 68.8729 - - - - 73.9426 - 70.6514 - - - - - 138 146 134 71 0 0 0 0
1701767820.933660000  1000.56 0 49.9933  -  nan  -0.0676518 0.162108 0.0151001  -0.0676518 0.162108 0.0151001  -0.0270675 0.0569764 9.09946  -0.0270675 0.0569764 9.09946  - - -  - - -  75.8906 68.1693 70.2487 69.0538 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.938659000  1000.56 0 49.9936  -  nan  0.0336291 0.0177281 -5.08847e-05  0.0336291 0.0177281 -5.08847e-05  0.0575124 0.086565 10.979  0.0575124 0.086565 10.979  - - -  - - -  76.6697 69.0242 69.2893 68.7632 - - - - - 68.8137 - 67.2585 - - - - 138 146 134 71 0 0 0 0
1701767820.943652000  1000.56 0 49.9936  -  nan  -0.0679613 0.118549 0.0166204  -0.0679613 0.118549 0.0166204  -0.0273464 0.056361 9.15704  -0.0273464 0.056361 9.15704  - - -  - - -  75.8035 68.0351 69.6903 69.1257 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.948668000  1000.56 0 49.9918  -  nan  -0.111012 0.148122 0.0126263  -0.111012 0.148122 0.0126263  0.0642331 0.0551409 9.27189  0.0642331 0.0551409 9.27189  - - -  - - -  76.1185 68.5724 69.3021 68.8535 - - - - 76.8049 - 70.6514 - - - - - 138 146 134 71 0 0 0 0
1701767820.953649000  1000.56 0 49.9918  -  nan  -0.0106224 0.0468354 0.00948668  -0.0106224 0.0468354 0.00948668  0.0612934 0.141161 10.5179  0.0612934 0.141161 10.5179  - - -  - - -  76.5509 69.1374 68.8251 68.4822 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.958661000  1000.55 0 49.9923  -  nan  -0.126625 0.148735 0.025133  -0.126625 0.148735 0.025133  -0.0281735 0.0545361 9.3278  -0.0281735 0.0545361 9.3278  - - -  - - -  75.8867 68.4511 69.2052 68.7101 - - - - - 67.2585 - 69.2137 - - - - 138 146 134 71 0 0 0 0
1701767820.963654000  1000.54 0 49.9923  -  nan  -0.140989 0.133063 0.0111068  -0.140989 0.133063 0.0111068  0.0644222 0.101811 9.55236  0.0644222 0.101811 9.55236  - - -  - - -  76.2675 69.2433 68.8231 68.2819 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
