# logged on Tue Nov 14 13:32:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965125.960530000  1000.9 0 49.9994  -  nan  -0.137778 -0.0391126 0.0105557  -0.137778 -0.0391126 0.0105557  0.0596988 0.0441102 10.2283  0.0596988 0.0441102 10.2283  - - -  - - -  71.7075 73.3094 68.1137 66.89 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.965535000  1000.91 0 50.0005  -  nan  -0.123864 -0.011372 0.010003  -0.123864 -0.011372 0.010003  -0.039374 -0.00147746 10.1749  -0.039374 -0.00147746 10.1749  - - -  - - -  71.5062 73.9804 68.0005 66.1515 - - - - - 73.2601 67.8334 67.4491 - - - - 139 146 0 70 0 0 0 0
1699965125.970547000  1000.92 0 50.0005  -  nan  0.0476369 -0.0809855 -0.0132404  0.0476369 -0.0809855 -0.0132404  -0.0294438 0.0946862 9.0762  -0.0294438 0.0946862 9.0762  - - -  - - -  71.6621 74.1783 67.8474 65.7601 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.975550000  1000.92 0 50.0014  -  nan  -0.108731 0.00235586 -0.00391874  -0.108731 0.00235586 -0.00391874  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  71.6623 73.4731 68.6982 66.4012 - - - - 72.59 - - - - - - - 139 146 0 70 0 0 0 0
1699965125.980549000  1000.93 0 50.0014  -  nan  -0.0945076 -0.025235 -0.00297509  -0.0945076 -0.025235 -0.00297509  0.00855332 -0.0482553 10.1796  0.00855332 -0.0482553 10.1796  - - -  - - -  72.0717 74.1069 68.1432 65.8194 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.985538000  1000.93 0 50.001  -  nan  0.075459 -0.0245162 -0.0143726  0.075459 -0.0245162 -0.0143726  0.019295 0.0944465 9.13441  0.019295 0.0944465 9.13441  - - -  - - -  71.9032 74.1882 68.0322 65.6223 - - - - - 74.4048 68.4182 66.3218 - - - - 139 146 0 70 0 0 0 0
1699965125.990545000  1000.93 0 50.001  -  nan  -0.0669591 0.0316049 0.023407  -0.0669591 0.0316049 0.023407  0.0644532 -0.0442133 9.20424  0.0644532 -0.0442133 9.20424  - - -  - - -  71.9692 73.2356 68.3828 66.9347 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.995471000  1000.94 0 50.0009  -  nan  -0.0103094 -0.0107675 0.0115808  -0.0103094 -0.0107675 0.0115808  0.00497964 -0.050392 10.6953  0.00497964 -0.050392 10.6953  - - -  - - -  72.2541 73.6907 67.7055 66.9062 - - - - 71.9321 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.000491000  1000.94 0 50.0009  -  nan  0.132501 0.0182754 -0.0147257  0.132501 0.0182754 -0.0147257  0.0684429 0.0493383 8.96635  0.0684429 0.0493383 8.96635  - - -  - - -  72.0638 73.3136 67.7958 67.0165 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.005501000  1000.94 0 49.998  -  nan  0.0183034 0.0597253 0.0238456  0.0183034 0.0597253 0.0238456  0.0612337 -0.138244 9.3275  0.0612337 -0.138244 9.3275  - - -  - - -  72.4426 72.5359 68.0209 68.0054 - - - - - 75.1089 68.6153 65.9544 - - - - 139 146 0 70 0 0 0 0
1699965126.010491000  1000.95 0 49.998  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.00619194 -0.00361416 10.6911  0.00619194 -0.00361416 10.6911  - - -  - - -  72.9145 72.7876 67.3264 68.0806 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.015527000  1000.95 0 49.9992  -  nan  0.132209 0.0461264 -0.00171675  0.132209 0.0461264 -0.00171675  -0.0306313 0.048863 9.08038  -0.0306313 0.048863 9.08038  - - -  - - -  72.7012 72.3446 67.2355 68.1067 - - - - 72.1501 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.020482000  1000.95 0 49.9992  -  nan  0.0183627 0.0733729 0.00971443  0.0183627 0.0733729 0.00971443  0.0604786 -0.0465898 9.77787  0.0604786 -0.0465898 9.77787  - - -  - - -  73.1146 71.7208 67.4344 68.9769 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.025494000  1000.96 0 49.9994  -  nan  0.0610748 0.0317285 -0.0160911  0.0610748 0.0317285 -0.0160911  0.00579794 -0.00384973 10.7479  0.00579794 -0.00384973 10.7479  - - -  - - -  73.3122 72.1642 67.1887 68.5952 - - - - - 72.59 66.8807 68.0272 - - - - 139 146 0 70 0 0 0 0
1699965126.030647000  1000.96 0 50.0015  -  nan  0.103994 0.0598095 -0.00248179  0.103994 0.0598095 -0.00248179  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  73.0993 71.6609 67.1933 68.2135 - - - - 73.4862 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.035481000  1000.97 0 50.0015  -  nan  -0.0246342 0.0591248 -0.00426898  -0.0246342 0.0591248 -0.00426898  0.0600613 -0.0928923 9.66741  0.0600613 -0.0928923 9.66741  - - -  - - -  73.386 71.4493 67.1715 68.6321 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
