# logged on Tue Jan  2 11:15:03 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190503.301834000  1000.23 0 50.0041  -  nan  0.0764704 -0.113797 -0.0342266  0.0764704 -0.113797 -0.0342266  0.186351 -0.348479 10.0501  0.186351 -0.348479 10.0501  - - -  - - -  75.1612 68.9113 70.3392 63.2782 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.306845000  1000.24 0 50.0047  -  nan  -0.0103577 0.0604749 -0.00457529  -0.0103577 0.0604749 -0.00457529  0.123032 0.360754 8.5604  0.123032 0.360754 8.5604  - - -  - - -  75.6473 66.5182 71.914 63.5137 - - - - - - 71.286 - - - - - 138 146 134 70 0 0 0 0
1704190503.311861000  1000.26 0 50.0076  -  nan  -0.0694306 0.00625059 0.0748836  -0.0694306 0.00625059 0.0748836  -0.449724 -0.00819082 10.6416  -0.449724 -0.00819082 10.6416  - - -  - - -  76.2139 68.5571 70.482 63.3204 - - - - - 67.8334 - 63.1552 - - - - 138 146 134 70 0 0 0 0
1704190503.316853000  1000.27 0 50.0069  -  nan  0.107209 -0.087777 -0.0884038  0.107209 -0.087777 -0.0884038  0.240703 -0.0968566 9.74313  0.240703 -0.0968566 9.74313  - - -  - - -  75.0909 68.5481 70.3272 63.9136 - - - - 76.3126 - - - - - - - 138 146 134 70 0 0 0 0
1704190503.321847000  1000.28 0 50.0069  -  nan  -0.0824818 0.104433 0.0161258  -0.0824818 0.104433 0.0161258  0.163937 0.303113 9.30682  0.163937 0.303113 9.30682  - - -  - - -  75.8032 66.2483 71.8703 63.9561 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.326855000  1000.29 0 50.0062  -  nan  0.00324227 0.063121 0.0642493  0.00324227 0.063121 0.0642493  -0.357384 -0.0992969 9.96711  -0.357384 -0.0992969 9.96711  - - -  - - -  76.5577 68.1454 70.202 63.3479 - - - - - - 71.5001 - - - - - 138 146 134 70 0 0 0 0
1704190503.331851000  1000.29 0 50.0087  -  nan  0.107444 -0.0294556 -0.075883  0.107444 -0.0294556 -0.075883  -0.0368767 -0.147792 9.85975  -0.0368767 -0.147792 9.85975  - - -  - - -  76.1003 67.8307 70.1375 64.1146 - - - - - 67.6407 - 62.822 - - - - 138 146 134 70 0 0 0 0
1704190503.336916000  1000.29 0 50.0068  -  nan  -0.0246014 0.132534 0.0190942  -0.0246014 0.132534 0.0190942  0.292505 0.147251 9.94966  0.292505 0.147251 9.94966  - - -  - - -  76.4292 66.2676 71.0392 64.3324 - - - - 76.8049 - - - - - - - 138 146 134 70 0 0 0 0
1704190503.341847000  1000.3 0 50.0068  -  nan  0.0480985 0.119105 0.0517418  0.0480985 0.119105 0.0517418  -0.262208 -0.0925809 9.33934  -0.262208 -0.0925809 9.33934  - - -  - - -  76.977 67.1741 69.6718 64.2583 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.346856000  1000.3 0 50.0052  -  nan  0.121845 0.0151221 -0.0492797  0.121845 0.0151221 -0.0492797  -0.0838598 -0.103562 10.3682  -0.0838598 -0.103562 10.3682  - - -  - - -  76.8457 67.1605 69.6092 64.9681 - - - - - - 70.028 - - - - - 138 146 134 70 0 0 0 0
1704190503.351856000  1000.3 0 50.0066  -  nan  0.0043644 0.102955 -0.00507063  0.0043644 0.102955 -0.00507063  0.33885 0.147866 9.89241  0.33885 0.147866 9.89241  - - -  - - -  76.6937 65.4702 70.7556 65.0651 - - - - - 65.591 - - - - - - 138 146 134 70 0 0 0 0
1704190503.356856000  1000.3 0 50.0054  -  nan  0.00348145 0.120391 0.0758364  0.00348145 0.120391 0.0758364  -0.30391 0.0539208 9.38337  -0.30391 0.0539208 9.38337  - - -  - - -  77.1379 66.2388 69.8234 64.8607 - - - - 77.5555 - - 63.6618 - - - - 138 146 134 70 0 0 0 0
1704190503.361860000  1000.3 0 50.0054  -  nan  0.107052 -0.0136467 -0.035677  0.107052 -0.0136467 -0.035677  -0.0865349 -0.155718 10.601  -0.0865349 -0.155718 10.601  - - -  - - -  76.6979 67.1562 69.4812 65.4239 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.366862000  1000.31 0 50.0048  -  nan  0.0341962 0.0739132 -0.0155978  0.0341962 0.0739132 -0.0155978  0.386485 0.197582 9.88829  0.386485 0.197582 9.88829  - - -  - - -  76.3438 65.4128 70.8401 65.3749 - - - - - - 71.9321 - - - - - 138 146 134 70 0 0 0 0
1704190503.371864000  1000.32 0 50.0074  -  nan  -0.0687811 0.121261 0.0844554  -0.0687811 0.121261 0.0844554  -0.393457 0.152131 9.48794  -0.393457 0.152131 9.48794  - - -  - - -  76.8948 65.962 70.3844 64.7813 - - - - - 65.9544 - - - - - - 138 146 134 70 0 0 0 0
1704190503.376862000  1000.33 0 50.0079  -  nan  0.062461 -0.055991 -0.0372315  0.062461 -0.055991 -0.0372315  -0.13323 -0.205433 10.6052  -0.13323 -0.205433 10.6052  - - -  - - -  76.3977 67.349 69.8665 64.791 - - - - 77.0535 - - 65.0533 - - - - 138 146 134 70 0 0 0 0
1704190503.381852000  1000.32 0 50.0079  -  nan  0.00430088 0.0451041 -0.0311938  0.00430088 0.0451041 -0.0311938  0.342451 0.294572 10.1074  0.342451 0.294572 10.1074  - - -  - - -  75.968 65.5314 71.4765 64.7617 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.386860000  1000.32 0 50.0061  -  nan  -0.127968 0.0795631 0.0964473  -0.127968 0.0795631 0.0964473  -0.302615 0.103031 9.4355  -0.302615 0.103031 9.4355  - - -  - - -  76.5083 66.0251 71.0349 64.143 - - - - - - 70.4424 - - - - - 138 146 134 70 0 0 0 0
1704190503.391862000  1000.31 0 50.0075  -  nan  0.0336216 -0.0558599 -0.0392107  0.0336216 -0.0558599 -0.0392107  -0.129912 -0.198112 9.92014  -0.129912 -0.198112 9.92014  - - -  - - -  75.8286 67.8629 70.3032 64.329 - - - - - 66.6933 - - - - - - 138 146 134 70 0 0 0 0
1704190503.396864000  1000.31 0 50.006  -  nan  -0.0675706 0.0301653 -0.0627808  -0.0675706 0.0301653 -0.0627808  0.068828 0.388108 10.5532  0.068828 0.388108 10.5532  - - -  - - -  75.515 66.5287 71.5953 64.6658 - - - - 76.3126 - - 65.7722 - - - - 138 146 134 70 0 0 0 0
1704190503.401858000  1000.31 0 50.006  -  nan  -0.156606 0.0354829 0.054283  -0.156606 0.0354829 0.054283  -0.121735 0.00399984 9.50327  -0.121735 0.00399984 9.50327  - - -  - - -  76.062 66.9064 71.2672 63.4496 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
