# logged on Tue Jan  2 11:52:21 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704192741.098625000  1001.33 0 50.0044  -  nan  0.106586 -0.05565 -0.020625  0.106586 -0.05565 -0.020625  -0.304463 0.0527006 9.49754  -0.304463 0.0527006 9.49754  - - -  - - -  80.9231 67.7887 70.6959 63.1822 - - - - - - - 64.1766 - - - - 138 145 0 71 0 0 0 0
1704192741.103626000  1001.33 0 50.0026  -  nan  0.00361408 -0.0262371 -0.0141475  0.00361408 -0.0262371 -0.0141475  -0.158329 0.255223 9.13818  -0.158329 0.255223 9.13818  - - -  - - -  80.8548 66.7036 71.7986 63.5625 - - - - 82.1018 - 70.8617 - - - - - 138 145 0 71 0 0 0 0
1704192741.108708000  1001.34 0 50.0033  -  nan  -0.0262091 -0.0228521 0.0652753  -0.0262091 -0.0228521 0.0652753  0.0516639 -0.155718 10.602  0.0516639 -0.155718 10.602  - - -  - - -  80.7207 67.5221 71.5749 63.3317 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.113610000  1001.35 0 50.0033  -  nan  0.106952 -0.0278286 -0.035182  0.106952 -0.0278286 -0.035182  -0.3449 0.157627 8.97401  -0.3449 0.157627 8.97401  - - -  - - -  80.4446 67.2117 71.4504 63.8619 - - - - - 66.8807 - - - - - - 138 145 0 71 0 0 0 0
1704192741.118617000  1001.35 0 50.006  -  nan  0.0330548 -0.03947 0.0155314  0.0330548 -0.03947 0.0155314  -0.213526 0.0963154 10.0646  -0.213526 0.0963154 10.0646  - - -  - - -  80.5937 66.4807 72.411 64.2033 - - - - - - - 61.3648 - - - - 138 145 0 71 0 0 0 0
1704192741.123610000  1001.36 0 50.0037  -  nan  0.0767803 0.00233661 0.00344824  0.0767803 0.00233661 0.00344824  0.152343 0.000954829 9.79021  0.152343 0.000954829 9.79021  - - -  - - -  80.154 66.6806 72.2755 64.3969 - - - - 80.7103 - 70.2346 - - - - - 138 145 0 71 0 0 0 0
1704192741.128660000  1001.36 0 50.0037  -  nan  0.0623422 0.0470454 0.0280723  0.0623422 0.0470454 0.0280723  -0.531642 0.0575811 9.03918  -0.531642 0.0575811 9.03918  - - -  - - -  80.7113 66.3951 71.9517 64.6616 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.133632000  1001.36 0 50.007  -  nan  0.106202 -0.0844456 -0.00506366  0.106202 -0.0844456 -0.00506366  -0.171119 -0.00332092 10.188  -0.171119 -0.00332092 10.188  - - -  - - -  80.2178 66.5317 72.3279 65.1954 - - - - - 67.4491 - 64.0041 - - - - 138 145 0 71 0 0 0 0
1704192741.138613000  1001.36 0 50.007  -  nan  0.0487916 0.0732666 -0.0291443  0.0487916 0.0732666 -0.0291443  0.2483 0.103031 9.43953  0.2483 0.103031 9.43953  - - -  - - -  80.1627 65.4819 72.9441 65.3624 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.143623000  1001.37 0 50.0065  -  nan  0.0619511 0.0628542 0.0682783  0.0619511 0.0628542 0.0682783  -0.537755 -0.0465258 9.67538  -0.537755 -0.0465258 9.67538  - - -  - - -  81.2763 65.9706 72.0044 64.9834 - - - - 79.6305 - 71.7154 - - - - - 138 145 0 71 0 0 0 0
