# logged on Fri Dec  1 17:55:47 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701449747.330742000  1000.19 0 49.9988  -  nan  -0.0992023 -0.00504984 0.142203  -0.0992023 -0.00504984 0.142203  0.149147 -0.0514064 10.1371  0.149147 -0.0514064 10.1371  - - -  - - -  68.9815 71.9316 67.2562 76.6889 - - - - 67.6407 - - - - - - - 138 146 134 71 0 0 0 0
1701449747.335739000  1000.19 0 49.9979  -  nan  -0.0993031 -0.0192317 0.142698  -0.0993031 -0.0192317 0.142698  0.190969 -0.153277 10.3747  0.190969 -0.153277 10.3747  - - -  - - -  68.9023 72.6112 66.6486 76.3309 - - - - - 71.286 - - - - - - 138 146 134 71 0 0 0 0
1701449747.340735000  1000.18 0 49.9991  -  nan  0.017047 -0.0486667 0.138109  0.017047 -0.0486667 0.138109  0.198805 -0.0434808 9.39582  0.198805 -0.0434808 9.39582  - - -  - - -  68.5745 72.6314 66.472 76.3859 - - - - - - - 76.3126 - - - - 138 146 134 71 0 0 0 0
1701449747.345744000  1000.18 0 50.0002  -  nan  -0.0989936 0.0243269 0.141178  -0.0989936 0.0243269 0.141178  0.151511 -0.000880666 9.96197  0.151511 -0.000880666 9.96197  - - -  - - -  68.3246 72.1786 66.7234 77.0905 - - - - - - 66.8807 - - - - - 138 146 134 71 0 0 0 0
1701449747.350740000  1000.18 0 49.9992  -  nan  -0.0561896 -0.0635292 0.13362  -0.0561896 -0.0635292 0.13362  0.191796 -0.151453 10.204  0.191796 -0.151453 10.204  - - -  - - -  68.4428 72.8724 66.1106 76.6 - - - - 68.4182 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.355739000  1000.17 0 49.9973  -  nan  -0.0270222 -0.0647449 0.108466  -0.0270222 -0.0647449 0.108466  0.107103 0.00277971 9.61912  0.107103 0.00277971 9.61912  - - -  - - -  67.8192 72.5007 66.5093 76.7236 - - - - - 71.5001 - - - - - - 139 146 134 71 0 0 0 0
1701449747.360737000  1000.17 0 49.9995  -  nan  -0.0846187 -0.0056577 0.129626  -0.0846187 -0.0056577 0.129626  0.151358 -0.0465258 9.68042  0.151358 -0.0465258 9.68042  - - -  - - -  67.6791 72.3898 66.7693 76.77 - - - - - - - 76.558 - - - - 139 146 134 71 0 0 0 0
1701449747.365735000  1000.17 0 50.0016  -  nan  -0.0850666 -0.0923042 0.119064  -0.0850666 -0.0923042 0.119064  0.190416 -0.154498 10.4889  0.190416 -0.154498 10.4889  - - -  - - -  67.7454 72.7156 66.3471 76.658 - - - - - - 65.591 - - - - - 139 146 134 71 0 0 0 0
1701449747.370739000  1000.17 0 50.0014  -  nan  -0.0416059 -0.0641371 0.121043  -0.0416059 -0.0641371 0.121043  0.063959 0.0545361 9.32848  0.063959 0.0545361 9.32848  - - -  - - -  66.9187 72.5002 66.7495 76.6059 - - - - 69.0131 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.375744000  1000.17 0 49.9983  -  nan  -0.0848202 -0.0340214 0.130616  -0.0848202 -0.0340214 0.130616  0.195766 -0.0501862 10.0233  0.195766 -0.0501862 10.0233  - - -  - - -  66.771 72.3729 67.0227 77.0146 - - - - - 71.7154 - - - - - - 139 146 134 71 0 0 0 0
1701449747.380736000  1000.17 0 49.9995  -  nan  -0.0993856 -0.0780568 0.11758  -0.0993856 -0.0780568 0.11758  0.145455 -0.152057 10.2602  0.145455 -0.152057 10.2602  - - -  - - -  66.5181 72.475 66.8537 76.9212 - - - - - - - 76.558 - - - - 139 146 134 71 0 0 0 0
1701449747.385752000  1000.17 0 50.0015  -  nan  -0.041334 -0.0494845 0.106946  -0.041334 -0.0494845 0.106946  0.0636802 0.0539208 9.38606  0.0636802 0.0539208 9.38606  - - -  - - -  65.8398 72.5347 67.1874 76.7099 - - - - 67.4491 - 66.3218 - - - - - 139 146 134 71 0 0 0 0
1701449747.390748000  1000.18 0 50.0015  -  nan  -0.113597 -0.0486145 0.115565  -0.113597 -0.0486145 0.115565  0.194381 -0.0532418 10.3092  0.194381 -0.0532418 10.3092  - - -  - - -  65.7501 72.1239 67.3385 77.1207 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.395748000  1000.19 0 50.0014  -  nan  -0.143574 -0.0636736 0.114045  -0.143574 -0.0636736 0.114045  0.146561 -0.149617 10.0319  0.146561 -0.149617 10.0319  - - -  - - -  65.3613 72.382 67.0869 76.6946 - - - - - 73.0353 - 77.3036 - - - - 139 146 134 71 0 0 0 0
1701449747.400744000  1000.19 0 50.0014  -  nan  -0.0554772 -0.0358182 0.0909251  -0.0554772 -0.0358182 0.0909251  0.154433 0.0508758 9.67167  0.154433 0.0508758 9.67167  - - -  - - -  65.0633 72.4671 67.2731 76.6331 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.405749000  1000.19 0 50.0012  -  nan  -0.142723 0.00712527 0.0834319  -0.142723 0.00712527 0.0834319  0.283343 -0.102342 10.2567  0.283343 -0.102342 10.2567  - - -  - - -  65.0069 71.8467 67.4192 76.9772 - - - - - - 67.4491 - - - - - 139 146 134 71 0 0 0 0
1701449747.410752000  1000.19 0 50.0011  -  nan  -0.142615 0.0223201 0.0829016  -0.142615 0.0223201 0.0829016  0.154397 -0.0398205 9.05297  0.154397 -0.0398205 9.05297  - - -  - - -  64.9078 71.8796 67.286 76.6117 - - - - 66.507 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.415748000  1000.18 0 49.998  -  nan  -0.0836864 0.0057738 0.060327  -0.0836864 0.0057738 0.060327  0.199946 0.0496556 9.78618  0.199946 0.0496556 9.78618  - - -  - - -  65.3141 72.0383 67.4227 76.2699 - - - - - 73.7137 - - - - - - 139 146 134 71 0 0 0 0
1701449747.420743000  1000.18 0 49.9992  -  nan  -0.200921 0.0793144 0.0768926  -0.200921 0.0793144 0.0768926  0.239597 -0.0992969 9.97148  0.239597 -0.0992969 9.97148  - - -  - - -  65.1036 71.5647 67.4947 76.4397 - - - - - - - 76.558 - - - - 139 146 134 71 0 0 0 0
1701449747.425749000  1000.18 0 50.0013  -  nan  -0.15643 0.107477 0.0789421  -0.15643 0.107477 0.0789421  0.154123 -0.0404252 9.10956  0.154123 -0.0404252 9.10956  - - -  - - -  65.2103 72.0896 66.8851 75.9484 - - - - 65.591 - 67.6407 - - - - - 139 146 134 71 0 0 0 0
1701449747.430751000  1000.18 0 50.0013  -  nan  -0.0981621 0.0215765 0.072374  -0.0981621 0.0215765 0.072374  0.290198 0.0496556 9.78684  0.290198 0.0496556 9.78684  - - -  - - -  65.0136 71.6334 67.0375 76.4812 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.435746000  1000.19 0 49.9991  -  nan  -0.258189 0.209892 0.110114  -0.258189 0.209892 0.110114  0.153844 -0.0410406 9.16714  0.153844 -0.0410406 9.16714  - - -  - - -  64.3911 71.2402 67.2841 76.6479 - - - - - 70.8617 - - - - - - 139 146 134 71 0 0 0 0
1701449747.440742000  1000.19 0 49.9992  -  nan  -0.142085 0.122174 0.0939728  -0.142085 0.122174 0.0939728  0.330879 -0.145352 9.63409  0.330879 -0.145352 9.63409  - - -  - - -  65.0562 72.1427 66.1245 76.2462 - - - - - - - 76.8049 - - - - 139 146 134 71 0 0 0 0
1701449747.445752000  1000.19 0 49.9993  -  nan  -0.12749 0.121528 0.0804263  -0.12749 0.121528 0.0804263  0.243966 0.0472154 10.0149  0.243966 0.0472154 10.0149  - - -  - - -  64.7286 71.444 66.1413 76.9183 - - - - - - 66.8807 - - - - - 139 146 134 71 0 0 0 0
1701449747.450744000  1000.19 0 49.9994  -  nan  -0.242986 0.296401 0.0944961  -0.242986 0.296401 0.0944961  0.248507 0.0119254 8.76433  0.248507 0.0119254 8.76433  - - -  - - -  64.3387 71.0963 66.2509 76.9858 - - - - 64.3501 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.455752000  1000.19 0 49.9964  -  nan  -0.170339 0.179465 0.0754422  -0.170339 0.179465 0.0754422  0.37584 -0.147792 9.86277  0.37584 -0.147792 9.86277  - - -  - - -  65.6953 71.9062 64.9415 76.4267 - - - - - 70.2346 - - - - - - 139 146 134 71 0 0 0 0
