# logged on Fri Jan  5 16:14:48 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704467688.738436000  1000.64 0 50.0037  -  nan  0.0482805 0.00134429 -0.026634  0.0482805 0.00134429 -0.026634  -0.306827 0.00217496 9.67268  -0.306827 0.00217496 9.67268  - - -  - - -  77.6071 69.7202 69.4684 63.0056 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.743591000  1000.64 0 49.9995  -  nan  0.0479781 -0.0412013 -0.0251491  0.0479781 -0.0412013 -0.0251491  0.148958 -0.0980767 9.85664  0.148958 -0.0980767 9.85664  - - -  - - -  77.5374 68.6234 70.1738 63.7821 - - - - - - - 62.1659 - - - - 139 0 134 70 0 0 0 0
1704467688.748476000  1000.64 0 50.0006  -  nan  0.0189567 0.0766903 0.0512476  0.0189567 0.0766903 0.0512476  -0.0723966 0.104856 9.26641  -0.0723966 0.104856 9.26641  - - -  - - -  77.7409 68.2202 69.9262 64.3018 - - - - - 69.2137 - - - - - - 139 0 134 70 0 0 0 0
1704467688.753467000  1000.64 0 50.0015  -  nan  0.0615663 -0.0385165 0.0446446  0.0615663 -0.0385165 0.0446446  -0.591195 -0.109047 10.8778  -0.591195 -0.109047 10.8778  - - -  - - -  78.0161 69.0681 68.9266 64.7056 - - - - 78.5793 - 70.4424 - - - - - 139 0 134 70 0 0 0 0
1704467688.758480000  1000.63 0 50.0015  -  nan  0.150796 -0.0890583 -0.112569  0.150796 -0.0890583 -0.112569  0.382296 -0.0410406 9.16881  0.382296 -0.0410406 9.16881  - - -  - - -  76.9948 68.6046 69.4908 64.8725 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.763504000  1000.63 0 49.9996  -  nan  0.0344727 0.087514 -0.0306288  0.0344727 0.087514 -0.0306288  0.166234 0.261928 8.51308  0.166234 0.261928 8.51308  - - -  - - -  78.1144 66.7157 70.7817 65.2087 - - - - - - - 64.8761 - - - - 139 0 134 70 0 0 0 0
1704467688.768543000  1000.64 0 50.0017  -  nan  0.0906782 -0.168857 0.037653  0.0906782 -0.168857 0.037653  -0.46353 -0.31523 11.5817  -0.46353 -0.31523 11.5817  - - -  - - -  77.9475 69.0194 68.9191 64.8658 - - - - 77.8089 68.6153 - - - - - - 139 0 134 70 0 0 0 0
1704467688.773470000  1000.64 0 50.0035  -  nan  0.209971 -0.119897 -0.162787  0.209971 -0.119897 -0.162787  0.526333 0.0624617 8.59021  0.526333 0.0624617 8.59021  - - -  - - -  75.8033 67.7943 70.5013 65.1088 - - - - - - 69.6185 - - - - - 139 0 134 70 0 0 0 0
1704467688.778493000  1000.65 0 50.0035  -  nan  -0.110848 0.14758 -0.000940693  -0.110848 0.14758 -0.000940693  -0.299756 0.201847 9.48415  -0.299756 0.201847 9.48415  - - -  - - -  78.417 65.6851 71.5567 64.577 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.783529000  1000.65 0 49.9993  -  nan  -0.0127216 -0.0343491 0.135564  -0.0127216 -0.0343491 0.135564  -0.776655 -0.0654325 11.4429  -0.776655 -0.0654325 11.4429  - - -  - - -  78.5198 68.3692 69.6314 63.9378 - - - - - - - 65.591 - - - - 139 0 134 70 0 0 0 0
1704467688.788558000  1000.65 0 50.0024  -  nan  0.152164 -0.0635166 -0.209532  0.152164 -0.0635166 -0.209532  0.525138 0.106076 9.15661  0.525138 0.106076 9.15661  - - -  - - -  75.8021 67.0639 71.4874 64.5413 - - - - 75.8265 67.0691 - - - - - - 139 0 134 70 0 0 0 0
1704467688.793412000  1000.65 0 50.0032  -  nan  -0.11112 0.132928 0.0131566  -0.11112 0.132928 0.0131566  -0.0217222 0.161277 8.63484  -0.0217222 0.161277 8.63484  - - -  - - -  78.055 65.323 72.129 63.841 - - - - - - 70.4424 - - - - - 139 0 134 70 0 0 0 0
