# logged on Fri Jan  5 15:41:41 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704465701.200549000  1000.03 0 49.984  -  nan  0.0484144 0.0454839 -0.0136182  0.0484144 0.0454839 -0.0136182  0.34028 -0.12461 7.69317  0.34028 -0.12461 7.69317  - - -  - - -  75.7584 67.7201 71.5015 61.2191 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.205544000  1000.03 0 49.9846  -  nan  -0.0123113 0.0233913 0.133549  -0.0123113 0.0233913 0.133549  -0.392068 0.293957 10.1596  -0.392068 0.293957 10.1596  - - -  - - -  76.4231 69.0363 70.2912 62.7265 - - - - - 68.8137 - - - - - - 138 146 133 70 0 0 0 0
1704465701.210545000  1000.02 0 49.9862  -  nan  0.121062 -0.0714527 -0.0326721  0.121062 -0.0714527 -0.0326721  -0.184736 -0.263689 11.4085  -0.184736 -0.263689 11.4085  - - -  - - -  74.768 69.9839 69.0328 63.6014 - - - - - - - 61.3648 - - - - 138 146 133 70 0 0 0 0
1704465701.215539000  1000.02 0 49.984  -  nan  0.151113 0.0280883 -0.0749294  0.151113 0.0280883 -0.0749294  0.430843 -0.174325 7.69831  0.430843 -0.174325 7.69831  - - -  - - -  75.4716 67.1841 70.5927 63.5868 - - - - 75.3466 - 70.4424 - - - - - 138 146 133 70 0 0 0 0
1704465701.220550000  1000.03 0 49.984  -  nan  0.0476698 0.106008 0.0793708  0.0476698 0.106008 0.0793708  -0.345723 0.294572 10.1023  -0.345723 0.294572 10.1023  - - -  - - -  77.2078 66.9423 70.5148 64.4987 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.225545000  1000.04 0 49.9856  -  nan  0.106347 -0.0403447 0.00698305  0.106347 -0.0403447 0.00698305  -0.331476 -0.420351 12.219  -0.331476 -0.420351 12.219  - - -  - - -  76.0568 68.3578 68.8451 64.3521 - - - - - 69.0131 - - - - - - 138 146 133 70 0 0 0 0
1704465701.230553000  1000.05 0 49.986  -  nan  0.240799 0.0385361 -0.152686  0.240799 0.0385361 -0.152686  0.572355 -0.167015 7.01528  0.572355 -0.167015 7.01528  - - -  - - -  75.8521 65.4427 70.5554 64.47 - - - - - - - 64.6998 - - - - 138 146 133 70 0 0 0 0
1704465701.235539000  1000.06 0 49.9839  -  nan  0.0483073 0.148482 0.0507165  0.0483073 0.148482 0.0507165  -0.436408 0.389328 10.4353  -0.436408 0.389328 10.4353  - - -  - - -  78.1422 64.1915 71.3267 64.8182 - - - - 74.638 - 69.4155 - - - - - 138 146 133 70 0 0 0 0
1704465701.240548000  1000.07 0 49.9839  -  nan  0.14907 -0.0688334 0.0381111  0.14907 -0.0688334 0.0381111  -0.237897 -0.325595 12.5534  -0.237897 -0.325595 12.5534  - - -  - - -  76.4907 67.2351 68.8134 64.7763 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.245547000  1000.07 0 49.9845  -  nan  0.196712 0.0671011 -0.156715  0.196712 0.0671011 -0.156715  0.525372 -0.122785 7.52376  0.525372 -0.122785 7.52376  - - -  - - -  75.6042 65.1092 70.2145 64.9449 - - - - - 66.507 - - - - - - 138 146 133 70 0 0 0 0
1704465701.250551000  1000.08 0 49.9836  -  nan  0.0185284 0.136168 0.118072  0.0185284 0.136168 0.118072  -0.390499 0.343672 10.1551  -0.390499 0.343672 10.1551  - - -  - - -  78.2322 64.4024 70.6278 64.7157 - - - - 77.0535 - - 65.9544 - - - - 138 146 133 70 0 0 0 0
1704465701.255508000  1000.08 0 49.9823  -  nan  0.0323542 -0.0672198 0.0572577  0.0323542 -0.0672198 0.0572577  -0.141246 -0.22312 12.2602  -0.141246 -0.22312 12.2602  - - -  - - -  75.565 67.9985 68.3284 65.1585 - - - - - - 70.2346 - - - - - 138 146 133 70 0 0 0 0
1704465701.260546000  1000.09 0 49.9823  -  nan  0.108723 0.0544406 -0.134125  0.108723 0.0544406 -0.134125  0.342033 -0.0282345 7.97017  0.342033 -0.0282345 7.97017  - - -  - - -  75.3083 65.9661 69.6022 64.9023 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.265548000  1000.1 0 49.984  -  nan  -0.0406213 0.0508015 0.103446  -0.0406213 0.0508015 0.103446  -0.299382 0.295177 10.0461  -0.299382 0.295177 10.0461  - - -  - - -  77.3189 65.6799 70.4684 64.14 - - - - - 64.6998 - - - - - - 138 146 133 70 0 0 0 0
1704465701.270547000  1000.1 0 49.9846  -  nan  0.0185087 -0.00995614 0.0406858  0.0185087 -0.00995614 0.0406858  0.0525902 -0.0611674 11.0498  0.0525902 -0.0611674 11.0498  - - -  - - -  75.0335 68.5716 68.9918 64.3544 - - - - - - - 64.6998 - - - - 138 146 133 70 0 0 0 0
1704465701.275541000  1000.1 0 49.9828  -  nan  -0.0091234 0.041877 -0.114554  -0.0091234 0.041877 -0.114554  -0.161103 0.110342 8.75247  -0.161103 0.110342 8.75247  - - -  - - -  75.8803 67.1849 69.5554 63.8143 - - - - 76.3126 - 69.2137 - - - - - 138 146 133 70 0 0 0 0
1704465701.280548000  1000.1 0 49.9828  -  nan  -0.0984716 -0.0219821 0.0738943  -0.0984716 -0.0219821 0.0738943  0.0629475 0.144811 10.1763  0.0629475 0.144811 10.1763  - - -  - - -  76.5067 66.9428 70.811 62.8885 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.285516000  1000.1 0 49.9855  -  nan  -0.0830489 0.0482477 0.0316727  -0.0830489 0.0482477 0.0316727  0.200499 0.0508758 9.672  0.200499 0.0508758 9.672  - - -  - - -  75.1394 68.9949 70.1075 63.0311 - - - - - 68.2221 - - - - - - 138 146 133 70 0 0 0 0
1704465701.290532000  1000.1 0 49.9869  -  nan  -0.0827027 0.00251985 -0.021075  -0.0827027 0.00251985 -0.021075  -0.488152 0.0981509 9.89084  -0.488152 0.0981509 9.89084  - - -  - - -  76.0007 68.5696 70.0681 62.9113 - - - - - - - 64.6998 - - - - 138 146 133 70 0 0 0 0
1704465701.295526000  1000.1 0 49.9865  -  nan  -0.0544303 -0.0537963 -0.0035489  -0.0544303 -0.0537963 -0.0035489  0.0623001 0.0508758 9.67099  0.0623001 0.0508758 9.67099  - - -  - - -  75.4893 68.3027 71.1274 62.4081 - - - - 76.8049 - 69.6185 - - - - - 138 146 133 70 0 0 0 0
1704465701.300548000  1000.1 0 49.9865  -  nan  -0.0535416 0.118484 0.01761  -0.0535416 0.118484 0.01761  0.164112 0.210992 8.63172  0.164112 0.210992 8.63172  - - -  - - -  75.7938 68.4499 71.1833 62.777 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.305532000  1000.1 0 49.9879  -  nan  -0.112034 0.0042779 0.0176468  -0.112034 0.0042779 0.0176468  -0.633449 0.0362342 11.036  -0.633449 0.0362342 11.036  - - -  - - -  76.5442 69.2254 70.0491 63.127 - - - - - 67.2585 - - - - - - 138 146 133 70 0 0 0 0
1704465701.310548000  1000.1 0 49.9901  -  nan  0.0340879 -0.0138567 -0.0542626  0.0340879 -0.0138567 -0.0542626  0.519568 -0.135591 8.72206  0.519568 -0.135591 8.72206  - - -  - - -  75.3593 68.7729 71.0646 62.7658 - - - - - - - 62.3286 - - - - 138 146 133 70 0 0 0 0
1704465701.315541000  1000.11 0 49.9872  -  nan  -0.0526018 0.203503 -0.0125292  -0.0526018 0.203503 -0.0125292  0.0285882 0.263148 8.3979  0.0285882 0.263148 8.3979  - - -  - - -  76.9183 67.641 71.74 63.1683 - - - - 75.3466 - 70.8617 - - - - - 138 146 133 70 0 0 0 0
1704465701.320548000  1000.1 0 49.9872  -  nan  -0.0982253 0.0363007 0.085446  -0.0982253 0.0363007 0.085446  -0.593775 -0.0684881 11.7301  -0.593775 -0.0684881 11.7301  - - -  - - -  77.4864 69.2628 69.8237 63.6929 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.325535000  1000.11 0 49.9894  -  nan  0.0780853 0.0426025 -0.0804431  0.0780853 0.0426025 -0.0804431  0.377588 -0.190187 9.18221  0.377588 -0.190187 9.18221  - - -  - - -  75.6873 68.7407 70.2933 64.2021 - - - - - 70.028 - - - - - - 138 146 133 70 0 0 0 0
1704465701.330533000  1000.1 0 49.9905  -  nan  -0.0385283 0.249165 0.0412081  -0.0385283 0.249165 0.0412081  0.0717053 0.210388 8.68763  0.0717053 0.210388 8.68763  - - -  - - -  77.8194 66.7653 71.1129 64.5595 - - - - - - - 63.4921 - - - - 138 146 133 70 0 0 0 0
