# logged on Wed Nov  8 13:33:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699446783.320545000  1000.57 0 50.0109  -  nan  0.0477144 -0.0948184 -0.0128663  0.0477144 -0.0948184 -0.0128663  0.0608877 0.044821 10.0567  0.0608877 0.044821 10.0567  - - -  - - -  70.3088 71.8022 68.5306 65.1372 - - - - - - 67.8334 - - - - - 138 146 134 71 0 0 0 0
1699446783.325557000  1000.56 0 50.0107  -  nan  -0.010077 -0.0522661 0.012703  -0.010077 -0.0522661 0.012703  0.0596837 -0.047065 9.8926  0.0596837 -0.047065 9.8926  - - -  - - -  69.6047 70.5958 69.5965 65.7619 - - - - 69.2137 70.8617 - - - - - - 138 146 134 71 0 0 0 0
1699446783.330545000  1000.57 0 50.0107  -  nan  -0.109475 0.0867117 0.0213242  -0.109475 0.0867117 0.0213242  0.0196986 0.00446151 8.74173  0.0196986 0.00446151 8.74173  - - -  - - -  69.7171 70.7394 69.3043 65.6633 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699446783.335544000  1000.56 0 50.0096  -  nan  0.105063 -0.0808791 -0.0271843  0.105063 -0.0808791 -0.0271843  0.0589039 0.0436349 10.3431  0.0589039 0.0436349 10.3431  - - -  - - -  70.7267 71.5696 68.5211 65.4103 - - - - - - - 64.6998 - - - - 138 146 134 71 0 0 0 0
1699446783.340544000  1000.57 0 50.0097  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0588654 -0.0936073 9.84  0.0588654 -0.0936073 9.84  - - -  - - -  70.2782 70.0931 69.4812 66.0131 - - - - - - 68.4182 - - - - - 138 146 134 71 0 0 0 0
1699446783.345544000  1000.57 0 50.0078  -  nan  -0.081219 0.114157 -0.00654723  -0.081219 0.114157 -0.00654723  0.113987 -0.0439778 9.14773  0.113987 -0.0439778 9.14773  - - -  - - -  70.6796 70.4972 68.9548 65.7647 - - - - 69.6185 70.4424 - - - - - - 138 146 134 71 0 0 0 0
1699446783.350546000  1000.57 0 50.0081  -  nan  0.132885 -0.0244098 -0.0283165  0.132885 -0.0244098 -0.0283165  0.108044 0.0436349 10.3434  0.108044 0.0436349 10.3434  - - -  - - -  71.2678 70.7431 68.4549 65.7474 - - - - - - - 65.4108 - - - - 138 146 134 71 0 0 0 0
1699446783.355551000  1000.56 0 50.0081  -  nan  0.0183627 0.0733729 0.00971443  0.0183627 0.0733729 0.00971443  0.109996 -0.092417 9.55303  0.109996 -0.092417 9.55303  - - -  - - -  70.8704 68.9857 69.1079 67.0162 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699446783.360551000  1000.57 0 50.0092  -  nan  -0.0110121 0.114716 0.00818725  -0.0110121 0.114716 0.00818725  0.062446 -0.0914665 9.32323  0.062446 -0.0914665 9.32323  - - -  - - -  71.2473 69.9028 68.3874 66.7042 - - - - - - 69.4155 - - - - - 138 146 134 71 0 0 0 0
1699446783.365556000  1000.56 0 50.0094  -  nan  0.190088 -0.010272 -0.0278947  0.190088 -0.010272 -0.0278947  0.058503 0.0433952 10.4009  0.058503 0.0433952 10.4009  - - -  - - -  71.5321 69.9458 67.9131 66.8798 - - - - 71.5001 69.4155 - - - - - - 138 146 134 71 0 0 0 0
