# logged on Tue Dec  5 11:42:46 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772967.015958000  999.905 0 50.0003  -  nan  0.00338696 -0.0109706 0.0124915  0.00338696 -0.0109706 0.0124915  0.0596571 -0.000265298 9.90371  0.0596571 -0.000265298 9.90371  - - -  - - -  74.6607 68.5379 69.4044 70.285 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.020975000  999.905 0 50.0003  -  nan  -0.0830865 0.0193417 0.0190957  -0.0830865 0.0193417 0.0190957  0.0571039 -0.0974614 9.79838  0.0571039 -0.0974614 9.79838  - - -  - - -  74.801 69.0033 68.9597 69.9684 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.025955000  999.905 0 50.0011  -  nan  0.0620958 -0.0112374 0.0165206  0.0620958 -0.0112374 0.0165206  -0.0757144 0.0975355 9.95144  -0.0757144 0.0975355 9.95144  - - -  - - -  74.9577 69.0659 68.8373 70.0976 - - - - - 68.6153 69.2137 70.4424 - - - - 139 146 134 71 0 0 0 0
1701772967.030963000  999.905 0 50  -  nan  -0.0833585 0.00468915 0.033193  -0.0833585 0.00468915 0.033193  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  74.7454 69.1168 68.8093 70.1812 - - - - 74.4048 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.035956000  999.905 0 50  -  nan  -0.097715 -0.0099695 0.0191314  -0.097715 -0.0099695 0.0191314  -0.0313695 0.00217496 9.67469  -0.0313695 0.00217496 9.67469  - - -  - - -  74.6341 69.8613 68.4853 69.3024 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.040961000  999.905 0 50  -  nan  -0.0111967 -0.0103627 0.0250689  -0.0111967 -0.0103627 0.0250689  -0.0298324 0.0508758 9.67032  -0.0298324 0.0508758 9.67032  - - -  - - -  74.7444 70.0212 68.5541 69.3272 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.045970000  999.905 0 50  -  nan  -0.1125 -0.0377254 0.0326987  -0.1125 -0.0377254 0.0326987  0.0539751 -0.0581117 10.7639  0.0539751 -0.0581117 10.7639  - - -  - - -  74.7086 70.0858 68.6156 69.378 - - - - - 67.8334 68.6153 70.4424 - - - - 139 146 134 71 0 0 0 0
1701772967.050963000  999.905 0 50  -  nan  -0.0543927 -0.0248903 0.00902814  -0.0543927 -0.0248903 0.00902814  -0.0707376 0.108517 8.9239  -0.0707376 0.108517 8.9239  - - -  - - -  74.3395 70.5521 68.5758 68.5929 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.055960000  999.905 0 50  -  nan  -0.0835601 -0.0236746 0.0341829  -0.0835601 -0.0236746 0.0341829  -0.0310954 0.00277971 9.61811  -0.0310954 0.00277971 9.61811  - - -  - - -  74.6257 70.4264 68.796 68.9487 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.060961000  999.905 0 50  -  nan  -0.112646 -0.0818263 0.020652  -0.112646 -0.0818263 0.020652  0.0528691 -0.060552 10.9922  0.0528691 -0.060552 10.9922  - - -  - - -  74.431 70.7578 68.9083 68.6406 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.065967000  999.905 0 50.0011  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  -0.0666826 0.163717 8.40615  -0.0666826 0.163717 8.40615  - - -  - - -  74.0794 70.6151 69.1009 68.2718 - - - - - 71.0732 69.2137 69.6185 - - - - 139 146 134 71 0 0 0 0
1701772967.070959000  999.905 0 50.002  -  nan  -0.0979166 -0.0383332 0.0201213  -0.0979166 -0.0383332 0.0201213  0.0117748 -0.0495815 9.96533  0.0117748 -0.0495815 9.96533  - - -  - - -  74.5786 70.4914 69.1653 68.9669 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.075954000  999.905 0 50.002  -  nan  -0.0550046 -0.110994 0.0120334  -0.0550046 -0.110994 0.0120334  0.00680285 -0.060552 10.9919  0.00680285 -0.060552 10.9919  - - -  - - -  73.9163 70.542 69.3925 68.7476 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.080971000  999.905 0 50.002  -  nan  -0.0112343 -0.0392688 0.0124919  -0.0112343 -0.0392688 0.0124919  -0.0689889 0.066122 8.24333  -0.0689889 0.066122 8.24333  - - -  - - -  73.4889 70.1893 69.5546 68.8347 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.085969000  999.905 0 50.0014  -  nan  -0.0692859 -0.067841 0.0231258  -0.0692859 -0.067841 0.0231258  0.0519428 -0.155102 10.5445  0.0519428 -0.155102 10.5445  - - -  - - -  74.0104 70.1306 69.5039 69.4539 - - - - - 70.6514 69.6185 69.2137 - - - - 139 146 134 71 0 0 0 0
1701772967.090956000  999.905 0 50.0013  -  nan  0.0323797 -0.11085 0.0316086  0.0323797 -0.11085 0.0316086  0.00956293 -0.054462 10.422  0.00956293 -0.054462 10.422  - - -  - - -  73.2036 69.7124 69.7808 69.519 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.095967000  999.905 0 50.0013  -  nan  0.00315983 0.00429594 0.0391306  0.00315983 0.00429594 0.0391306  -0.0266716 0.0125407 8.70473  -0.0266716 0.0125407 8.70473  - - -  - - -  73.2209 69.3988 69.6633 70.2787 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.100957000  999.905 0 50.0013  -  nan  -0.0117078 -0.082285 0.0275792  -0.0117078 -0.082285 0.0275792  0.0984722 -0.107827 10.7687  0.0984722 -0.107827 10.7687  - - -  - - -  73.3591 69.5479 69.2364 70.471 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.105983000  999.905 0 49.9982  -  nan  0.0616855 -0.0689778 0.0185359  0.0616855 -0.0689778 0.0185359  -0.0334596 -0.047746 9.79324  -0.0334596 -0.047746 9.79324  - - -  - - -  72.5563 68.8541 69.6963 70.458 - - - - - 69.4155 69.6185 69.6185 - - - - 139 146 134 71 0 0 0 0
1701772967.110955000  999.905 0 49.9994  -  nan  -0.0107864 0.0473777 0.0230537  -0.0107864 0.0473777 0.0230537  -0.0294365 0.0064401 9.27559  -0.0294365 0.0064401 9.27559  - - -  - - -  73.2302 68.5412 69.7738 70.869 - - - - 74.4048 - - - - - - - 139 146 134 71 0 0 0 0
