# logged on Tue Jan  2 11:20:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190825.080873000  1000.8 0 49.9957  -  nan  -0.113031 -0.183197 -0.00298176  -0.113031 -0.183197 -0.00298176  -0.397422 0.0508758 9.66763  -0.397422 0.0508758 9.66763  - - -  - - -  75.884 68.4284 74.3729 67.209 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.085877000  1000.8 0 49.9971  -  nan  -0.142288 -0.096957 -0.00803686  -0.142288 -0.096957 -0.00803686  0.196354 0.0417301 10.5278  0.196354 0.0417301 10.5278  - - -  - - -  75.4774 67.8168 75.2862 66.5271 - - - - 76.558 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.090886000  1000.8 0 49.9984  -  nan  -0.200549 -0.0100437 -0.00150416  -0.200549 -0.0100437 -0.00150416  -0.0701847 0.109737 8.80973  -0.0701847 0.109737 8.80973  - - -  - - -  75.7371 68.4927 74.8932 65.785 - - - - - - 75.5858 - - - - - 139 146 134 70 0 0 0 0
1704190825.095875000  1000.8 0 50.0006  -  nan  -0.156645 -0.111616 -0.0220985  -0.156645 -0.111616 -0.0220985  -0.396869 0.0520959 9.55346  -0.396869 0.0520959 9.55346  - - -  - - -  76.608 69.0411 74.5938 65.9225 - - - - - 67.8334 - 67.4491 - - - - 139 146 134 70 0 0 0 0
1704190825.100883000  1000.81 0 50.0006  -  nan  -0.0977602 -0.112464 -0.0326055  -0.0977602 -0.112464 -0.0326055  0.147919 -0.00880619 10.7036  0.147919 -0.00880619 10.7036  - - -  - - -  76.1132 68.6695 75.1575 65.9395 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.105881000  1000.8 0 50.0005  -  nan  -0.15614 0.0774861 0.0392311  -0.15614 0.0774861 0.0392311  0.114907 0.111562 8.64031  0.114907 0.111562 8.64031  - - -  - - -  76.3005 68.1346 75.2007 65.495 - - - - 77.0535 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.110892000  1000.8 0 50.0005  -  nan  -0.142231 0.0054983 0.0427309  -0.142231 0.0054983 0.0427309  -0.582995 -0.044701 9.50428  -0.582995 -0.044701 9.50428  - - -  - - -  77.2669 69.3375 73.9471 66.011 - - - - - - 75.8265 - - - - - 139 146 134 70 0 0 0 0
1704190825.115882000  1000.8 0 50.0022  -  nan  -0.0106492 -0.100302 -0.0678639  -0.0106492 -0.100302 -0.0678639  0.282304 -0.0130713 11.1037  0.282304 -0.0130713 11.1037  - - -  - - -  76.3477 68.5737 74.565 66.6053 - - - - - 68.6153 - 66.3218 - - - - 139 146 134 70 0 0 0 0
1704190825.120892000  1000.8 0 50.0022  -  nan  -0.12626 0.176556 0.0105761  -0.12626 0.176556 0.0105761  0.112633 0.014981 8.4774  0.112633 0.014981 8.4774  - - -  - - -  77.0443 67.4368 74.9543 66.2691 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.125880000  1000.81 0 50.001  -  nan  0.00346939 0.0478545 0.0376103  0.00346939 0.0478545 0.0376103  -0.543105 -0.150837 10.141  -0.543105 -0.150837 10.141  - - -  - - -  77.8752 69.0137 73.1123 67.0155 - - - - 77.3036 - - - - - - - 139 146 134 70 0 0 0 0
