# logged on Tue Dec  5 13:21:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701778892.480459000  1000.63 0 49.9932  -  nan  -0.0402825 -0.0685144 0.011538  -0.0402825 -0.0685144 0.011538  0.0144179 0.00155959 9.73261  0.0144179 0.00155959 9.73261  - - -  - - -  72.4505 69.389 70.6092 66.8008 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.485545000  1000.63 0 49.9909  -  nan  -0.0253517 0.00334236 0.0100174  -0.0253517 0.00334236 0.0100174  -0.0317702 0.0466 10.0704  -0.0317702 0.0466 10.0704  - - -  - - -  72.6067 69.5769 70.6491 66.7614 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.490456000  1000.63 0 49.9918  -  nan  -0.0835793 -0.0972238 -0.0040078  -0.0835793 -0.0972238 -0.0040078  0.149147 -0.0514064 10.1371  0.149147 -0.0514064 10.1371  - - -  - - -  72.8262 69.6134 70.2064 66.5759 - - - - 73.0353 - 69.8227 - - - - - 138 146 133 71 0 0 0 0
1701778892.495509000  1000.64 0 49.9894  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  -0.0735025 0.102416 9.49476  -0.0735025 0.102416 9.49476  - - -  - - -  72.2838 69.8541 70.7179 66.0613 - - - - - 68.4182 - - - - - - 138 146 133 71 0 0 0 0
1701778892.500456000  1000.64 0 49.9894  -  nan  -0.0685029 0.0187338 0.00651825  -0.0685029 0.0187338 0.00651825  -0.0323232 0.0453799 10.1846  -0.0323232 0.0453799 10.1846  - - -  - - -  72.6296 70.0609 70.4766 66.1112 - - - - - - - 67.2585 - - - - 138 146 133 71 0 0 0 0
1701778892.505505000  1000.63 0 49.9865  -  nan  -0.0691596 -0.0972894 -0.0030182  -0.0691596 -0.0972894 -0.0030182  0.150253 -0.0489661 9.90876  0.150253 -0.0489661 9.90876  - - -  - - -  73.0133 70.3067 69.8453 65.7084 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.510496000  1000.63 0 49.9869  -  nan  -0.0394995 0.0180604 -0.00506955  -0.0394995 0.0180604 -0.00506955  -0.0257773 0.106076 9.15258  -0.0257773 0.106076 9.15258  - - -  - - -  72.5349 70.2193 70.3931 65.6055 - - - - 73.0353 - 70.6514 - - - - - 138 146 133 71 0 0 0 0
1701778892.515519000  1000.63 0 49.9873  -  nan  -0.0680366 0.0607371 -0.00853367  -0.0680366 0.0607371 -0.00853367  -0.0344133 -0.00454105 10.3031  -0.0344133 -0.00454105 10.3031  - - -  - - -  73.8655 70.2467 69.6399 65.4574 - - - - - 70.4424 - 65.7722 - - - - 138 146 133 71 0 0 0 0
1701778892.520573000  1000.63 0 49.9873  -  nan  0.00320374 -0.0839775 -0.0121322  0.00320374 -0.0839775 -0.0121322  0.0604841 0.00155959 9.73295  0.0604841 0.00155959 9.73295  - - -  - - -  73.8152 70.3061 69.5418 64.992 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.525463000  1000.63 0 49.9856  -  nan  -0.0250421 0.0469009 0.00849708  -0.0250421 0.0469009 0.00849708  -0.0259664 0.059406 8.87211  -0.0259664 0.059406 8.87211  - - -  - - -  73.161 69.9418 70.2032 65.6119 - - - - 72.59 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.530547000  1000.63 0 49.9871  -  nan  -0.0397714 0.0034079 0.00902778  -0.0397714 0.0034079 0.00902778  0.0992993 -0.106002 10.5979  0.0992993 -0.106002 10.5979  - - -  - - -  73.9885 70.4912 69.4563 65.7312 - - - - - - 69.2137 - - - - - 138 146 133 71 0 0 0 0
1701778892.535519000  1000.63 0 49.9894  -  nan  0.0616479 -0.0978839 0.00595884  0.0616479 -0.0978839 0.00595884  0.0578411 -0.0495815 9.96567  0.0578411 -0.0495815 9.96567  - - -  - - -  73.682 70.4866 69.1845 65.5083 - - - - - 70.028 - 66.1376 - - - - 138 146 133 71 0 0 0 0
1701778892.540590000  1000.63 0 49.9894  -  nan  -0.0106856 0.0615596 0.0225587  -0.0106856 0.0615596 0.0225587  -0.0709267 0.0618463 8.64343  -0.0709267 0.0618463 8.64343  - - -  - - -  73.2751 70.0392 69.6118 66.0048 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.545468000  1000.63 0 49.9885  -  nan  0.0188367 -0.0110408 0.0135518  0.0188367 -0.0110408 0.0135518  0.00661378 -0.107222 10.7114  0.00661378 -0.107222 10.7114  - - -  - - -  74.0055 70.642 68.8857 66.2623 - - - - 74.4048 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.550473000  1000.63 0 49.9886  15.705  nan  0.134739 -0.127122 -0.00159953  0.134739 -0.127122 -0.00159953  0.0604841 0.00155959 9.73295  0.0604841 0.00155959 9.73295  - - -  - - -  73.5479 70.3237 69.1201 66.2019 - - - - - - 69.8227 - - - - - 138 146 133 71 0 0 0 0
1701778892.555527000  1000.63 0 49.9908  -  nan  0.0336036 0.0613583 0.0255982  0.0336036 0.0613583 0.0255982  -0.117311 0.0137609 8.58989  -0.117311 0.0137609 8.58989  - - -  - - -  72.8263 69.2882 70.2435 67.0256 - - - - - 71.0732 - 66.1376 - - - - 138 146 133 71 0 0 0 0
1701778892.560647000  1000.63 0 49.9908  -  nan  0.106 -0.112809 -0.0040737  0.106 -0.112809 -0.0040737  0.050747 -0.111488 11.1109  0.050747 -0.111488 11.1109  - - -  - - -  73.5765 69.9542 69.3918 67.048 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.565465000  1000.63 0 49.9907  -  nan  0.193314 -0.171529 -0.0105862  0.193314 -0.171529 -0.0105862  0.0588252 -0.00210079 10.0755  0.0588252 -0.00210079 10.0755  - - -  - - -  72.3266 68.7163 70.4332 67.2472 - - - - 73.7137 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.570574000  1000.63 0 49.9916  -  nan  0.019411 0.0461573 -0.00203044  0.019411 0.0461573 -0.00203044  -0.120076 0.00766022 9.16075  -0.120076 0.00766022 9.16075  - - -  - - -  71.8402 68.0517 71.0243 67.6704 - - - - - - 68.0272 - - - - - 138 146 133 71 0 0 0 0
1701778892.575562000  1000.63 0 49.9931  -  nan  0.120495 -0.127638 -0.0171252  0.120495 -0.127638 -0.0171252  0.00707694 -0.0599472 10.9353  0.00707694 -0.0599472 10.9353  - - -  - - -  72.9777 69.0253 70.254 67.0411 - - - - - 69.6185 - 65.0533 - - - - 138 146 133 71 0 0 0 0
1701778892.580573000  1000.63 0 49.9931  -  nan  0.134739 -0.127122 -0.00159953  0.134739 -0.127122 -0.00159953  0.0112219 -0.0508016 10.0795  0.0112219 -0.0508016 10.0795  - - -  - - -  72.14 68.1874 70.8243 67.2837 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.585527000  1000.63 0 49.9918  -  nan  0.0189823 0.0330601 0.0255985  0.0189823 0.0330601 0.0255985  -0.0306097 -0.087711 8.88532  -0.0306097 -0.087711 8.88532  - - -  - - -  71.3969 67.4761 71.3291 67.7147 - - - - 72.812 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.590543000  1000.63 0 49.9936  -  nan  0.178864 -0.126781 0.0150069  0.178864 -0.126781 0.0150069  0.0594454 0.0908301 10.5799  0.0594454 0.0908301 10.5799  - - -  - - -  72.247 68.7924 70.2676 67.5364 - - - - - - 71.5001 - - - - - 138 146 133 71 0 0 0 0
1701778892.595621000  1000.63 0 49.9928  -  nan  0.0760044 -0.0832252 0.0200205  0.0760044 -0.0832252 0.0200205  0.00984182 -0.0538466 10.3644  0.00984182 -0.0538466 10.3644  - - -  - - -  71.1852 67.7048 70.8415 68.1218 - - - - - 69.0131 - 68.0272 - - - - 138 146 133 71 0 0 0 0
1701778892.600580000  1000.63 0 49.9928  -  nan  -0.0108872 0.0331959 0.0235487  -0.0108872 0.0331959 0.0235487  0.0597789 -0.0453057 9.56557  0.0597789 -0.0453057 9.56557  - - -  - - -  71.0513 68.0698 70.8393 67.8875 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.605570000  1000.63 0 49.9906  -  nan  0.106411 -0.0550689 -0.00608897  0.106411 -0.0550689 -0.00608897  0.0144851 0.0932704 10.3512  0.0144851 0.0932704 10.3512  - - -  - - -  71.619 68.6205 70.4222 67.57 - - - - 71.286 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.610530000  1000.63 0 49.9915  -  nan  -0.0396634 0.0186027 0.00849745  -0.0396634 0.0186027 0.00849745  0.0595 -0.0459211 9.62315  0.0595 -0.0459211 9.62315  - - -  - - -  71.1732 67.4697 70.9079 67.8296 - - - - - - 70.028 - - - - - 138 146 133 71 0 0 0 0
1701778892.615580000  1000.64 0 49.993  -  nan  -0.0391971 0.060606 -0.00655448  -0.0391971 0.060606 -0.00655448  0.107382 0.00339508 9.56153  0.107382 0.00339508 9.56153  - - -  - - -  71.6824 68.5585 70.4136 66.9846 - - - - - 67.6407 - 68.0272 - - - - 138 146 133 71 0 0 0 0
1701778892.620603000  1000.65 0 49.993  -  nan  0.04859 0.0449029 -0.0281543  0.04859 0.0449029 -0.0281543  0.0632264 0.145426 10.1188  0.0632264 0.145426 10.1188  - - -  - - -  71.9067 68.1173 70.3894 67.0576 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.625465000  1000.65 0 49.9917  -  nan  -0.0678726 0.0601947 -0.0221007  -0.0678726 0.0601947 -0.0221007  0.151942 0.0453799 10.1859  0.151942 0.0453799 10.1859  - - -  - - -  71.9215 67.2185 70.5049 67.0959 - - - - 71.7154 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.630569000  1000.65 0 49.9915  -  nan  -0.0673687 0.131104 -0.0245756  -0.0673687 0.131104 -0.0245756  0.0176139 0.0539208 9.38572  0.0176139 0.0539208 9.38572  - - -  - - -  71.9051 67.4151 70.3842 66.6887 - - - - - - 71.286 - - - - - 138 146 133 71 0 0 0 0
1701778892.635564000  1000.65 0 49.9932  -  nan  -0.00979058 0.11666 -0.0201222  -0.00979058 0.11666 -0.0201222  0.0182661 0.147866 9.89007  0.0182661 0.147866 9.89007  - - -  - - -  72.5544 67.6561 70.0783 66.3312 - - - - - 66.507 - 66.6933 - - - - 138 146 133 71 0 0 0 0
1701778892.640582000  1000.65 0 49.9932  -  nan  -0.126607 0.104092 -0.000480683  -0.126607 0.104092 -0.000480683  0.243256 0.000339461 9.84846  0.243256 0.000339461 9.84846  - - -  - - -  72.2859 67.1392 70.0168 66.6672 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.645495000  1000.65 0 49.9908  -  nan  -0.110709 0.190668 0.0111414  -0.110709 0.190668 0.0111414  0.0634061 0.053316 9.44265  0.0634061 0.053316 9.44265  - - -  - - -  72.0343 68.0143 69.5559 66.0189 - - - - 72.59 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.650532000  1000.65 0 49.9918  -  nan  -0.0242287 0.161369 0.0045019  -0.0242287 0.161369 0.0045019  0.0190932 0.149691 9.71931  0.0190932 0.149691 9.71931  - - -  - - -  72.3887 67.8812 69.1632 66.2859 - - - - - - 71.5001 - - - - - 138 146 133 71 0 0 0 0
1701778892.655477000  1000.65 0 49.9952  -  nan  -0.140863 0.103615 -0.0150373  -0.140863 0.103615 -0.0150373  0.240613 -0.0508016 10.0812  0.240613 -0.0508016 10.0812  - - -  - - -  72.058 67.1662 69.2438 66.7708 - - - - - 67.6407 - 67.0691 - - - - 138 146 133 71 0 0 0 0
1701778892.660545000  1000.65 0 49.9952  -  nan  -0.110236 0.233684 -0.00394592  -0.110236 0.233684 -0.00394592  0.0218581 0.155792 9.14845  0.0218581 0.155792 9.14845  - - -  - - -  71.8357 67.6112 69.4932 65.9355 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.665480000  1000.66 0 49.9937  -  nan  -0.095753 0.218895 -0.0160283  -0.095753 0.218895 -0.0160283  0.0193721 0.150307 9.66173  0.0193721 0.150307 9.66173  - - -  - - -  72.4881 67.1497 69.0669 66.2988 - - - - 72.1501 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.670550000  1000.66 0 49.9953  -  nan  -0.214155 0.10449 -0.00648894  -0.214155 0.10449 -0.00648894  0.19813 0.000339461 9.84813  0.19813 0.000339461 9.84813  - - -  - - -  72.2172 66.7842 69.2078 66.2897 - - - - - - 69.8227 - - - - - 138 146 133 71 0 0 0 0
1701778892.675475000  1000.66 0 49.998  -  nan  -0.154525 0.233886 -0.00698539  -0.154525 0.233886 -0.00698539  0.0223212 0.203067 9.37233  0.0223212 0.203067 9.37233  - - -  - - -  71.3758 67.044 69.7501 65.7456 - - - - - 68.2221 - 66.3218 - - - - 138 146 133 71 0 0 0 0
1701778892.680557000  1000.66 0 49.998  -  nan  -0.154626 0.219704 -0.00649041  -0.154626 0.219704 -0.00649041  0.109104 0.0987557 9.83862  0.109104 0.0987557 9.83862  - - -  - - -  71.7959 66.7044 69.2914 66.127 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.685534000  1000.66 0 49.9972  -  nan  -0.214092 0.0897655 -0.019561  -0.214092 0.0897655 -0.019561  0.197303 -0.00148542 10.0189  0.197303 -0.00148542 10.0189  - - -  - - -  71.3751 66.5301 69.3944 66.0011 - - - - 72.1501 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.690567000  1000.67 0 49.9975  -  nan  -0.183163 0.26238 -0.00995454  -0.183163 0.26238 -0.00995454  -0.0218072 0.207343 8.97189  -0.0218072 0.207343 8.97189  - - -  - - -  70.4474 66.2692 70.252 65.7492 - - - - - - 70.028 - - - - - 138 146 133 71 0 0 0 0
1701778892.695492000  1000.67 0 49.9979  -  nan  -0.198877 0.248811 0.00304715  -0.198877 0.248811 0.00304715  0.01725 0.099371 9.78036  0.01725 0.099371 9.78036  - - -  - - -  71.161 66.3305 69.5226 66.0362 - - - - - 66.1376 - 64.6998 - - - - 138 146 133 71 0 0 0 0
1701778892.700564000  1000.67 0 49.9979  -  nan  -0.213991 0.103947 -0.0200559  -0.213991 0.103947 -0.0200559  0.155813 0.0539208 9.38673  0.155813 0.0539208 9.38673  - - -  - - -  70.627 66.0298 69.5325 65.9845 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.705521000  1000.67 0 49.9981  -  nan  -0.227351 0.276764 -0.013489  -0.227351 0.276764 -0.013489  -0.0212591 0.208552 8.85871  -0.0212591 0.208552 8.85871  - - -  - - -  69.5119 65.6755 70.6615 66.0718 - - - - 70.2346 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.710566000  1000.67 0 49.9993  -  nan  -0.256866 0.205515 0.00060906  -0.256866 0.205515 0.00060906  0.104221 0.0417301 10.5271  0.104221 0.0417301 10.5271  - - -  - - -  69.8949 65.658 70.3011 66.1616 - - - - - - 70.2346 - - - - - 138 146 133 71 0 0 0 0
1701778892.715480000  1000.67 0 50.0012  -  nan  -0.257578 0.105229 0.00410926  -0.257578 0.105229 0.00410926  0.200499 0.0508758 9.672  0.200499 0.0508758 9.672  - - -  - - -  68.8798 65.4002 70.4435 66.002 - - - - - 65.7722 - 65.9544 - - - - 138 146 133 71 0 0 0 0
1701778892.720592000  1000.67 0 50.0012  -  nan  -0.300133 0.34956 -0.00745091  -0.300133 0.34956 -0.00745091  -0.0648346 0.214048 8.34411  -0.0648346 0.214048 8.34411  - - -  - - -  68.1414 65.0359 71.0632 66.1589 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.725470000  1000.67 0 50.0021  -  nan  -0.315019 0.307623 0.00661143  -0.315019 0.307623 0.00661143  0.107813 0.0496556 9.7855  0.107813 0.0496556 9.7855  - - -  - - -  69.6719 65.4691 69.975 66.0892 - - - - 69.6185 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.730570000  1000.67 0 50.0019  -  nan  -0.301047 0.220911 -0.00296075  -0.301047 0.220911 -0.00296075  0.158488 0.106076 9.15393  0.158488 0.106076 9.15393  - - -  - - -  68.7689 65.1113 70.2463 65.9531 - - - - - - 70.4424 - - - - - 138 146 133 71 0 0 0 0
1701778892.735546000  1000.67 0 50.0052  -  nan  -0.372914 0.422357 -0.00141282  -0.372914 0.422357 -0.00141282  0.0739172 0.215268 8.23095  0.0739172 0.215268 8.23095  - - -  - - -  68.1163 64.6775 70.8113 66.0815 - - - - - 64.5245 - 66.8807 - - - - 138 146 133 71 0 0 0 0
