# logged on Fri Dec  1 17:10:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447058.751500000  1000.16 0 49.9966  -  nan  -0.082721 0.0471631 0.0045387  -0.082721 0.0471631 0.0045387  0.0652493 0.103636 9.3816  0.0652493 0.103636 9.3816  - - -  - - -  73.6991 68.0059 70.0862 69.1475 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.756500000  1000.16 0 49.997  -  nan  -0.0393987 0.0322423 -0.00556453  -0.0393987 0.0322423 -0.00556453  -0.0295583 0.0514805 9.61373  -0.0295583 0.0514805 9.61373  - - -  - - -  73.8542 68.1082 70.0125 69.3242 - - - - 73.7137 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.761499000  1000.16 0 49.9973  -  nan  -0.0831314 -0.0105774 0.00655397  -0.0831314 -0.0105774 0.00655397  0.0120889 0.0417301 10.5265  0.0120889 0.0417301 10.5265  - - -  - - -  73.449 68.0895 70.2142 69.4495 - - - - - - 70.028 - - - - - 139 146 0 70 0 0 0 0
1701447058.766497000  1000.16 0 49.9978  -  nan  -0.0830306 0.0036045 0.00605899  -0.0830306 0.0036045 0.00605899  0.0219479 0.109737 8.8104  0.0219479 0.109737 8.8104  - - -  - - -  72.9339 68.2003 70.2899 69.116 - - - - - 68.0272 - 68.8137 - - - - 139 146 0 70 0 0 0 0
1701447058.771513000  1000.16 0 49.9978  -  nan  -0.0542288 -0.0254326 -0.00453885  -0.0542288 -0.0254326 -0.00453885  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  73.0629 68.1896 70.6323 69.6425 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.776498000  1000.16 0 49.999  -  nan  -0.0688124 -0.0248248 0.00803855  -0.0688124 -0.0248248 0.00803855  0.0557862 -0.00880619 10.7029  0.0557862 -0.00880619 10.7029  - - -  - - -  72.7334 68.0682 70.9305 69.6315 - - - - 73.7137 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.781498000  1000.16 0 50.0001  -  nan  -0.054128 -0.0112508 -0.00503383  -0.054128 -0.0112508 -0.00503383  -0.0256875 0.0600214 8.81453  -0.0256875 0.0600214 8.81453  - - -  - - -  72.4216 67.9795 71.1371 69.4962 - - - - - - 70.4424 - - - - - 139 146 0 70 0 0 0 0
1701447058.786502000  1000.16 0 50.002  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  0.015955 0.0502604 9.72824  0.015955 0.0502604 9.72824  - - -  - - -  72.6289 67.662 71.3984 70.2308 - - - - - 68.6153 - 69.2137 - - - - 139 146 0 70 0 0 0 0
1701447058.791497000  1000.16 0 50.002  -  nan  -0.039809 -0.0254981 -0.00354926  -0.039809 -0.0254981 -0.00354926  0.0544062 -0.0118512 10.9878  0.0544062 -0.0118512 10.9878  - - -  - - -  72.1908 67.4988 71.5706 70.1186 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.796499000  1000.16 0 50.0018  -  nan  0.00359573 0.0184061 0.0114662  0.00359573 0.0184061 0.0114662  -0.0221854 0.114002 8.41096  -0.0221854 0.114002 8.41096  - - -  - - -  72.0135 67.2851 71.5737 70.185 - - - - 71.286 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.801505000  1000.16 0 50.0016  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  0.0138649 0.000339461 9.84679  0.0138649 0.000339461 9.84679  - - -  - - -  72.1093 66.8743 71.6598 71.0116 - - - - - - 72.1501 - - - - - 139 146 0 70 0 0 0 0
1701447058.806503000  1000.16 0 50.0013  -  nan  -0.0250798 0.0179949 -0.00407995  -0.0250798 0.0179949 -0.00407995  0.0568922 -0.00636593 10.4746  0.0568922 -0.00636593 10.4746  - - -  - - -  71.7507 66.7716 71.7532 70.7071 - - - - - 67.6407 - 69.4155 - - - - 139 146 0 70 0 0 0 0
1701447058.811517000  1000.16 0 50.0013  -  nan  0.0197765 0.0739787 -0.0165874  0.0197765 0.0739787 -0.0165874  0.0209317 0.0612415 8.70069  0.0209317 0.0612415 8.70069  - - -  - - -  71.672 66.3345 71.6718 70.8059 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.816500000  1000.16 0 50.0002  -  nan  -0.0682005 0.0612794 0.00503332  -0.0682005 0.0612794 0.00503332  0.0600882 0.0459952 10.1277  0.0600882 0.0459952 10.1277  - - -  - - -  72.2851 66.0625 71.3526 71.3842 - - - - 71.5001 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.821501000  1000.16 0 50.0012  -  nan  -0.0390963 0.0747879 -0.00704946  -0.0390963 0.0747879 -0.00704946  0.0578763 0.0411147 10.5844  0.0578763 0.0411147 10.5844  - - -  - - -  71.9037 66.0289 71.2379 71.0299 - - - - - 66.3218 - - - - - - 139 146 0 70 0 0 0 0
1701447058.826502000  1000.15 0 49.999  -  nan  -0.0243743 0.117268 -0.0075448  -0.0243743 0.117268 -0.0075448  0.0671871 0.107912 8.9815  0.0671871 0.107912 8.9815  - - -  - - -  71.9092 65.5723 71.2344 71.237 - - - - - - 70.8617 71.0732 - - - - 139 146 0 70 0 0 0 0
1701447058.831516000  1000.15 0 49.999  -  nan  -0.110956 0.132385 -0.000410359  -0.110956 0.132385 -0.000410359  0.106429 0.0466 10.0714  0.106429 0.0466 10.0714  - - -  - - -  72.218 65.7401 71.025 71.114 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.836525000  1000.15 0 49.9991  -  nan  -0.0820531 0.11753 -0.0115032  -0.0820531 0.11753 -0.0115032  0.105876 0.0453799 10.1856  0.105876 0.0453799 10.1856  - - -  - - -  72.0613 65.6158 70.7606 70.7445 - - - - 70.4424 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.841505000  1000.14 0 49.9992  -  nan  -0.110482 0.175402 -0.0154976  -0.110482 0.175402 -0.0154976  0.0687562 0.157627 8.97703  0.0687562 0.157627 8.97703  - - -  - - -  71.9597 65.2275 70.8868 70.9582 - - - - - - 71.5001 - - - - - 139 146 0 70 0 0 0 0
1701447058.846506000  1000.14 0 49.9994  -  nan  -0.18351 0.189916 -0.0210113  -0.18351 0.189916 -0.0210113  0.152221 0.0459952 10.1284  0.152221 0.0459952 10.1284  - - -  - - -  72.4575 65.7109 70.4955 70.5313 - - - - - 65.0533 - 70.4424 - - - - 139 146 0 70 0 0 0 0
1701447058.851518000  1000.14 0 49.9994  -  nan  -0.140188 0.174995 -0.0311145  -0.140188 0.174995 -0.0311145  0.109383 0.099371 9.78104  0.109383 0.099371 9.78104  - - -  - - -  72.2384 65.2734 70.4593 70.1514 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.856505000  1000.14 0 50.0004  -  nan  -0.213234 0.234152 -0.0110145  -0.213234 0.234152 -0.0110145  0.0679243 0.155792 9.14879  0.0679243 0.155792 9.14879  - - -  - - -  72.322 65.0791 70.5823 70.0857 - - - - 71.9321 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.861500000  1000.14 0 49.9994  -  nan  -0.256702 0.204972 -0.0129579  -0.256702 0.204972 -0.0129579  0.107171 0.0944905 10.2377  0.107171 0.0944905 10.2377  - - -  - - -  72.3765 65.6398 70.2404 69.6746 - - - - - - 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701447058.866500000  1000.14 0 49.9994  -  nan  -0.22759 0.219494 -0.0250761  -0.22759 0.219494 -0.0250761  0.112332 0.152131 9.49164  0.112332 0.152131 9.49164  - - -  - - -  71.7609 65.4576 70.2979 69.4675 - - - - - 65.9544 - 71.286 - - - - 139 146 0 70 0 0 0 0
1701447058.871501000  1000.14 0 49.9994  -  nan  -0.315063 0.277704 -0.00593026  -0.315063 0.277704 -0.00593026  0.0684773 0.157012 9.03461  0.0684773 0.157012 9.03461  - - -  - - -  71.8545 65.2981 70.3935 69.3991 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.876502000  1000.14 0 49.9995  -  nan  -0.315467 0.220976 -0.00395034  -0.315467 0.220976 -0.00395034  0.106339 0.092655 10.4095  0.106339 0.092655 10.4095  - - -  - - -  72.0244 66.0702 69.9461 68.8959 - - - - 72.1501 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.881499000  1000.14 0 49.9995  -  nan  -0.272207 0.22078 -0.000981555  -0.272207 0.22078 -0.000981555  0.11418 0.202462 9.42959  0.11418 0.202462 9.42959  - - -  - - -  71.1372 65.7407 70.2719 69.0761 - - - - - - 70.028 - - - - - 139 146 0 70 0 0 0 0
1701447058.886500000  1000.14 0 49.9996  -  nan  -0.402731 0.308563 0.0141702  -0.402731 0.308563 0.0141702  0.0682032 0.156407 9.0912  0.0682032 0.156407 9.0912  - - -  - - -  71.1622 65.9368 70.1842 69.2089 - - - - - 64.1766 - 70.028 - - - - 139 146 0 70 0 0 0 0
1701447058.891516000  1000.14 0 49.9996  -  nan  -0.359554 0.249541 -0.00797977  -0.359554 0.249541 -0.00797977  0.107171 0.0944905 10.2377  0.107171 0.0944905 10.2377  - - -  - - -  71.1608 66.5472 69.9319 68.7974 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.896568000  1000.14 0 50.0006  -  nan  -0.344661 0.292492 -0.0220775  -0.344661 0.292492 -0.0220775  0.116392 0.207343 8.9729  0.116392 0.207343 8.9729  - - -  - - -  70.7367 65.8663 70.3358 68.8018 - - - - 71.286 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.901566000  1000.14 0 50.0016  -  nan  -0.417651 0.335912 -0.0150141  -0.417651 0.335912 -0.0150141  0.114269 0.156407 9.09154  0.114269 0.156407 9.09154  - - -  - - -  70.9688 65.9045 70.3251 68.8121 - - - - - - 70.4424 - - - - - 139 146 0 70 0 0 0 0
1701447058.906567000  1000.14 0 49.9994  -  nan  -0.358917 0.292015 -0.036634  -0.358917 0.292015 -0.036634  0.106429 0.0466 10.0714  0.106429 0.0466 10.0714  - - -  - - -  71.1857 66.1661 70.3687 68.437 - - - - - 64.0041 - 69.4155 - - - - 139 146 0 70 0 0 0 0
1701447058.911563000  1000.14 0 49.9994  -  nan  -0.344094 0.348677 -0.0376244  -0.344094 0.348677 -0.0376244  0.0695833 0.159452 8.80627  0.0695833 0.159452 8.80627  - - -  - - -  70.8796 65.4016 70.7616 68.5775 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
