# logged on Tue Nov 14 13:36:35 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965395.806482000  999.622 0 49.9919  -  nan  0.019184 -0.0248158 -0.0151544  0.019184 -0.0248158 -0.0151544  0.108422 -0.0473047 9.95081  0.108422 -0.0473047 9.95081  - - -  - - -  74.3345 71.875 67.5926 66.9474 - - - - - 72.812 68.0272 - - - - - 138 145 0 71 0 0 0 0
1699965395.811477000  999.626 0 49.9907  -  nan  0.00350326 0.0592745 -0.00387803  0.00350326 0.0592745 -0.00387803  0.0121407 0.0901689 10.1669  0.0121407 0.0901689 10.1669  - - -  - - -  73.933 72.1926 67.9045 66.5142 - - - - - - - 66.8807 - - - - 138 145 0 71 0 0 0 0
1699965395.816491000  999.639 0 49.9907  -  nan  0.075304 0.00314956 -0.0151207  0.075304 0.00314956 -0.0151207  -0.0342119 0.0467222 9.59714  -0.0342119 0.0467222 9.59714  - - -  - - -  74.1396 72.3532 67.3431 66.2502 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.821482000  999.645 0 49.9934  -  nan  0.0475455 -0.0386973 -0.0291292  0.0475455 -0.0386973 -0.0291292  0.0592828 -0.0473047 9.95046  0.0592828 -0.0473047 9.95046  - - -  - - -  73.9816 71.8196 67.7545 66.7083 - - - - 74.173 - 67.4491 - - - - - 138 145 0 71 0 0 0 0
1699965395.826483000  999.651 0 49.9931  -  nan  -0.0527535 0.0314945 0.00984537  -0.0527535 0.0314945 0.00984537  0.0117467 0.0899334 10.2238  0.0117467 0.0899334 10.2238  - - -  - - -  73.7486 72.129 67.9387 66.4212 - - - - - 72.59 - - - - - - 138 145 0 71 0 0 0 0
1699965395.831487000  999.657 0 49.9908  -  nan  -0.0103094 -0.0107675 0.0115808  -0.0103094 -0.0107675 0.0115808  -0.0857363 0.0452963 9.94097  -0.0857363 0.0452963 9.94097  - - -  - - -  73.6799 72.9859 67.4413 65.5488 - - - - - - - 66.3218 - - - - 138 145 0 71 0 0 0 0
1699965395.836481000  999.669 0 49.9908  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  0.0129288 -0.0456392 9.54807  0.0129288 -0.0456392 9.54807  - - -  - - -  73.3239 72.7399 67.7744 65.8448 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.841473000  999.675 0 49.9933  -  nan  -0.0808136 0.0175118 0.00982851  -0.0808136 0.0175118 0.00982851  -0.0369907 0.0450607 9.99818  -0.0369907 0.0450607 9.99818  - - -  - - -  73.195 73.0269 68.0045 65.7038 - - - - 74.638 - 68.2221 - - - - - 138 145 0 71 0 0 0 0
1699965395.846541000  999.687 0 49.994  -  nan  0.0333539 -0.0670423 -5.28709e-05  0.0333539 -0.0670423 -5.28709e-05  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  73.1658 73.3957 67.7652 65.354 - - - - - 72.59 - - - - - - 138 145 0 71 0 0 0 0
1699965395.851476000  999.686 0 49.9926  -  nan  -0.00985722 -0.0672723 -0.000653254  -0.00985722 -0.0672723 -0.000653254  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  72.6135 72.9859 68.4002 65.7453 - - - - - - - 65.7722 - - - - 138 145 0 71 0 0 0 0
