# logged on Fri Jan  5 15:25:07 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704464707.790111000  1000.17 0 49.9964  -  nan  -0.0983633 0.0657878 0.112559  -0.0983633 0.0657878 0.112559  -0.813655 0.0914455 10.5159  -0.813655 0.0914455 10.5159  - - -  - - -  78.5463 68.1645 70.4046 61.6367 - - - - 77.5555 - - 62.1659 - - - - 139 146 0 71 0 0 0 0
1704464707.795135000  1000.17 0 49.9967  -  nan  0.033028 -0.186607 -0.0618192  0.033028 -0.186607 -0.0618192  -0.228491 -0.166083 11.57  -0.228491 -0.166083 11.57  - - -  - - -  77.4294 68.9597 70.0557 61.8563 - - - - - - 69.8227 - - - - - 139 146 0 71 0 0 0 0
1704464707.800125000  1000.17 0 49.9967  -  nan  -0.0673314 0.0874351 -0.0511937  -0.0673314 0.0874351 -0.0511937  0.626567 0.267424 8.00216  0.626567 0.267424 8.00216  - - -  - - -  76.9199 68.1101 70.7981 61.6259 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.805143000  1000.16 0 49.9971  -  nan  -0.157765 0.111893 0.189416  -0.157765 0.111893 0.189416  -0.669742 0.150307 9.65669  -0.669742 0.150307 9.65669  - - -  - - -  78.3546 71.4194 68.4809 61.8898 - - - - - 66.6933 - - - - - - 139 146 0 71 0 0 0 0
1704464707.810131000  1000.14 0 49.9949  -  nan  0.106824 -0.189148 -0.112038  0.106824 -0.189148 -0.112038  0.00790881 -0.0581117 10.7635  0.00790881 -0.0581117 10.7635  - - -  - - -  75.4954 70.2582 69.5081 62.2006 - - - - 77.5555 - - 62.004 - - - - 139 146 0 71 0 0 0 0
1704464707.815127000  1000.14 0 49.9944  -  nan  0.00572502 0.0549087 -0.141194  0.00572502 0.0549087 -0.141194  0.531504 0.258883 8.80069  0.531504 0.258883 8.80069  - - -  - - -  77.3252 67.2088 71.5347 61.3629 - - - - - - 71.286 - - - - - 139 146 0 71 0 0 0 0
1704464707.820125000  1000.13 0 49.9944  -  nan  -0.129127 0.0833981 0.192385  -0.129127 0.0833981 0.192385  -0.442383 0.053316 9.43895  -0.442383 0.053316 9.43895  - - -  - - -  78.3683 67.7626 71.0926 60.9274 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.825129000  1000.13 0 49.996  -  nan  0.0916553 -0.127507 -0.0191044  0.0916553 -0.127507 -0.0191044  -0.174985 -0.0118512 10.9862  -0.174985 -0.0118512 10.9862  - - -  - - -  76.4394 69.6093 69.9552 62.3341 - - - - - 68.2221 - - - - - - 139 146 0 71 0 0 0 0
1704464707.830150000  1000.13 0 49.9961  -  nan  0.0210108 0.0553808 -0.126567  0.0210108 0.0553808 -0.126567  0.156919 0.056361 9.15839  0.156919 0.056361 9.15839  - - -  - - -  77.5833 66.5773 71.9072 61.4542 - - - - 77.8089 - 70.028 62.9882 - - - - 139 146 0 71 0 0 0 0
1704464707.835134000  1000.12 0 49.9961  -  nan  -0.0559733 0.0394355 0.171755  -0.0559733 0.0394355 0.171755  -0.0286046 0.00827559 9.10384  -0.0286046 0.00827559 9.10384  - - -  - - -  78.3663 67.2865 71.3415 61.2248 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.840126000  1000.12 0 49.9961  -  nan  0.121964 -0.0153392 -0.0753883  0.121964 -0.0153392 -0.0753883  -0.308145 0.0908301 10.5772  -0.308145 0.0908301 10.5772  - - -  - - -  76.8377 68.9836 70.0472 62.97 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.845141000  1000.12 0 49.9965  -  nan  0.0488355 -0.0150069 -0.080407  0.0488355 -0.0150069 -0.080407  0.00909977 -0.101737 10.1981  0.00909977 -0.101737 10.1981  - - -  - - -  77.5989 67.1121 71.0254 62.1369 - - - - - 68.6153 - - - - - - 139 146 0 71 0 0 0 0
1704464707.850132000  1000.12 0 49.9959  -  nan  0.061246 0.0361562 0.110938  0.061246 0.0361562 0.110938  0.250876 0.0624617 8.5882  0.250876 0.0624617 8.5882  - - -  - - -  77.3156 67.8091 70.1767 63.0246 - - - - 77.5555 - - 62.1659 - - - - 139 146 0 71 0 0 0 0
1704464707.855132000  1000.11 0 49.9954  -  nan  0.0621783 0.0475877 0.0416393  0.0621783 0.0475877 0.0416393  -0.44736 0.0423349 10.4665  -0.44736 0.0423349 10.4665  - - -  - - -  77.3099 68.4787 69.5389 63.9339 - - - - - - 71.286 - - - - - 139 146 0 71 0 0 0 0
1704464707.860125000  1000.11 0 49.9954  -  nan  0.121334 -0.0568002 -0.0467694  0.121334 -0.0568002 -0.0467694  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  76.9611 67.1857 70.1631 63.3186 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.865141000  1000.11 0 49.9968  -  nan  0.0773546 0.0595347 -0.012134  0.0773546 0.0595347 -0.012134  0.39072 0.160672 8.69444  0.39072 0.160672 8.69444  - - -  - - -  77.3857 66.2447 70.5649 63.4556 - - - - - 67.2585 - - - - - - 139 146 0 71 0 0 0 0
1704464707.870132000  1000.11 0 49.9963  -  nan  0.0330741 0.0340792 0.0537221  0.0330741 0.0340792 0.0537221  -0.45283 -0.106607 10.6505  -0.45283 -0.106607 10.6505  - - -  - - -  78.0881 66.6817 70.1634 63.5335 - - - - 77.0535 - - 64.6998 - - - - 139 146 0 71 0 0 0 0
1704464707.875123000  1000.11 0 49.9947  -  nan  0.106914 -0.0567346 -0.047759  0.106914 -0.0567346 -0.047759  -0.17431 -0.0556715 10.5339  -0.17431 -0.0556715 10.5339  - - -  - - -  77.3126 66.7869 69.9474 63.3621 - - - - - - 70.8617 - - - - - 139 146 0 71 0 0 0 0
