# logged on Thu Dec 21 17:04:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174643.517785000  1000.2 0 50.0056  -  nan  0.0788536 0.0545763 -0.136175  0.0788536 0.0545763 -0.136175  0.248908 -0.0324997 8.3686  0.248908 -0.0324997 8.3686  - - -  - - -  76.8135 67.3399 68.7347 65.5114 - - - - - 69.8227 - - - - - - 139 0 133 70 0 0 0 0
1703174643.522801000  1000.2 0 50.006  -  nan  -0.0245386 0.0452352 -0.033173  -0.0245386 0.0452352 -0.033173  -0.395381 0.286647 10.8436  -0.395381 0.286647 10.8436  - - -  - - -  78.2227 66.4587 69.4315 65.6653 - - - - - - - 65.591 - - - - 139 0 133 70 0 0 0 0
1703174643.527800000  1000.2 0 50.006  -  nan  0.0934011 -0.00160736 -0.0923986  0.0934011 -0.00160736 -0.0923986  0.0992899 -0.244783 9.64135  0.0992899 -0.244783 9.64135  - - -  - - -  77.418 67.0442 69.0865 65.1001 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.532785000  1000.2 0 50.006  -  nan  0.0785257 0.055661 -0.109041  0.0785257 0.055661 -0.109041  0.0712422 0.163113 8.46375  0.0712422 0.163113 8.46375  - - -  - - -  77.7112 66.0712 69.7304 65.398 - - - - 76.8049 - 69.0131 - - - - - 139 0 133 70 0 0 0 0
1703174643.537808000  1000.2 0 50.0054  -  nan  -0.0394995 0.0180604 -0.00506955  -0.0394995 0.0180604 -0.00506955  -0.398519 0.187216 10.8525  -0.398519 0.187216 10.8525  - - -  - - -  78.3575 66.0689 69.7337 65.8118 - - - - - 67.8334 - - - - - - 139 0 133 70 0 0 0 0
1703174643.542815000  1000.2 0 50.0068  -  nan  0.0774102 -0.0287775 -0.0643658  0.0774102 -0.0287775 -0.0643658  0.0984628 -0.246608 9.81211  0.0984628 -0.246608 9.81211  - - -  - - -  77.1609 67.0693 69.3013 65.4785 - - - - - - - 65.591 - - - - 139 0 133 70 0 0 0 0
1703174643.547812000  1000.2 0 50.0062  -  nan  0.0342966 0.01552 -0.0552879  0.0342966 0.01552 -0.0552879  0.112354 0.0143656 8.53498  0.112354 0.0143656 8.53498  - - -  - - -  77.3341 66.0948 69.9551 65.9753 - - - - 77.5555 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.552794000  1000.2 0 50.0065  -  nan  -0.0687116 -0.0106429 0.00754357  -0.0687116 -0.0106429 0.00754357  -0.303711 0.239372 10.6204  -0.303711 0.239372 10.6204  - - -  - - -  77.6039 66.748 69.8526 66.2915 - - - - - - 69.2137 - - - - - 139 0 133 70 0 0 0 0
1703174643.557798000  1000.2 0 50.0049  -  nan  0.00395371 -0.0273605 -0.0422505  0.00395371 -0.0273605 -0.0422505  -0.126963 -0.145352 9.63074  -0.126963 -0.145352 9.63074  - - -  - - -  76.9024 67.6775 69.5704 65.7423 - - - - - 65.9544 - - - - - - 139 0 133 70 0 0 0 0
1703174643.562814000  1000.2 0 50.0054  -  nan  -0.0101381 -0.0283796 -0.0703741  -0.0101381 -0.0283796 -0.0703741  0.15932 0.107912 8.98217  0.15932 0.107912 8.98217  - - -  - - -  76.7295 67.1039 70.2889 65.9582 - - - - - - - 66.3218 - - - - 139 0 133 70 0 0 0 0
