# logged on Thu Dec 21 15:55:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170553.625870000  1000.74 0 50.0024  -  nan  -0.0548214 -0.0379875 0.0366571  -0.0548214 -0.0379875 0.0366571  -0.08377 -0.149617 10.0302  -0.08377 -0.149617 10.0302  - - -  - - -  75.1894 67.6467 69.2453 63.2914 - - - - - - - 63.3232 - - - - 139 146 134 71 0 0 0 0
1703170553.630871000  1000.74 0 50.0042  -  nan  0.0479965 -0.0858445 -0.0507628  0.0479965 -0.0858445 -0.0507628  -0.173483 -0.0538466 10.3631  -0.173483 -0.0538466 10.3631  - - -  - - -  75.0919 67.538 69.0166 63.5882 - - - - - 66.507 - - - - - - 139 146 134 71 0 0 0 0
1703170553.635875000  1000.73 0 50.0048  -  nan  -0.0112343 -0.0392688 0.0124919  -0.0112343 -0.0392688 0.0124919  -0.253406 0.341232 10.3845  -0.253406 0.341232 10.3845  - - -  - - -  74.9319 66.9208 69.7033 62.8772 - - - - - - 69.8227 - - - - - 139 146 134 71 0 0 0 0
1703170553.640860000  1000.73 0 50.0033  -  nan  -0.0544935 -0.0390721 0.00952312  -0.0544935 -0.0390721 0.00952312  0.14969 -0.188967 9.06636  0.14969 -0.188967 9.06636  - - -  - - -  74.8356 67.699 69.2191 62.6622 - - - - 76.3126 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.645885000  1000.72 0 50.003  -  nan  0.00378975 -0.0268181 -0.0286835  0.00378975 -0.0268181 -0.0286835  -0.441735 0.147251 9.94429  -0.441735 0.147251 9.94429  - - -  - - -  75.4071 67.8121 68.9872 63.0009 - - - - - - - 63.3232 - - - - 139 146 134 71 0 0 0 0
1703170553.650863000  1000.72 0 50.0037  -  nan  0.00303979 -0.0834352 0.0014348  0.00303979 -0.0834352 0.0014348  -0.122953 0.18538 11.0263  -0.122953 0.18538 11.0263  - - -  - - -  74.7919 67.5568 69.375 62.4854 - - - - - 65.591 - - - - - - 139 146 134 71 0 0 0 0
1703170553.655886000  1000.72 0 50.0033  -  nan  -0.0108688 -0.0114474 -0.00206504  -0.0108688 -0.0114474 -0.00206504  0.430564 -0.17494 7.75589  0.430564 -0.17494 7.75589  - - -  - - -  74.6041 67.6726 69.3229 62.3027 - - - - - - 69.0131 - - - - - 139 146 134 71 0 0 0 0
1703170553.660874000  1000.71 0 50.001  -  nan  0.003223 -0.0104282 0.0260585  0.003223 -0.0104282 0.0260585  -0.672043 0.191481 10.4514  -0.672043 0.191481 10.4514  - - -  - - -  74.0165 69.7286 67.2251 64.8313 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.665876000  1000.7 0 50.0019  -  nan  0.0473662 -0.127305 -0.0221439  0.0473662 -0.127305 -0.0221439  -0.0393853 -0.0155116 11.3297  -0.0393853 -0.0155116 11.3297  - - -  - - -  73.0532 69.7373 67.4095 64.6218 - - - - - - - 61.6827 - - - - 139 146 134 71 0 0 0 0
1703170553.670869000  1000.7 0 50.0037  15.48  nan  -0.024815 0.0316344 -0.0181419  -0.024815 0.0316344 -0.0181419  0.252037 -0.0718493 7.4031  0.252037 -0.0718493 7.4031  - - -  - - -  72.7612 68.9303 67.9413 64.3261 - - - - - 66.6933 - - - - - - 139 146 134 71 0 0 0 0
