# logged on Tue Jan  9 15:09:42 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704809382.576138000  1000.94 0 50  -  nan  -0.0547838 -0.00908145 0.0492341  -0.0547838 -0.00908145 0.0492341  -0.631781 0.178675 11.6501  -0.631781 0.178675 11.6501  - - -  - - -  77.9418 61.3434 72.917 66.0946 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.581153000  1000.94 0 50.0028  -  nan  0.0927892 -0.0877115 -0.0893934  0.0927892 -0.0877115 -0.0893934  0.280659 -0.293278 9.53298  0.280659 -0.293278 9.53298  - - -  - - -  76.1516 61.5554 72.6746 66.1445 - - - - 76.3126 62.004 - - - - - - 139 146 134 70 0 0 0 0
1704809382.586130000  1000.94 0 50.0035  -  nan  0.00513272 0.114929 -0.0608027  0.00513272 0.114929 -0.0608027  0.0730854 0.213433 8.4027  0.0730854 0.213433 8.4027  - - -  - - -  77.3767 59.3887 73.8303 66.2717 - - - - - - 73.2601 - - - - - 139 146 134 70 0 0 0 0
1704809382.591159000  1000.94 0 50.0032  -  nan  -0.0554513 -0.00687342 0.104471  -0.0554513 -0.00687342 0.104471  -0.584798 0.134445 11.1416  -0.584798 0.134445 11.1416  - - -  - - -  78.4022 60.7883 72.9013 66.0827 - - - - - - - 66.8807 - - - - 139 146 134 70 0 0 0 0
1704809382.596151000  1000.94 0 50.0032  -  nan  0.0627634 -0.0134454 -0.0387164  0.0627634 -0.0134454 -0.0387164  0.284629 -0.192012 9.35229  0.284629 -0.192012 9.35229  - - -  - - -  76.2556 62.3678 71.9485 66.5299 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.601154000  1000.95 0 50.0035  -  nan  0.00472993 0.130776 -0.0196276  0.00472993 0.130776 -0.0196276  -0.0183051 0.261323 8.56832  -0.0183051 0.261323 8.56832  - - -  - - -  77.1694 60.6994 72.7433 66.7733 - - - - 78.3208 61.8429 - - - - - - 139 146 134 70 0 0 0 0
1704809382.606147000  1000.94 0 50.0031  -  nan  -0.0987288 0.0379664 0.127116  -0.0987288 0.0379664 0.127116  -0.401473 0.134445 11.1429  -0.401473 0.134445 11.1429  - - -  - - -  78.2271 61.6195 72.0938 66.551 - - - - - - 73.0353 - - - - - 139 146 134 70 0 0 0 0
1704809382.611166000  1000.95 0 50.0018  -  nan  -0.0100181 0.0593515 -0.0326784  -0.0100181 0.0593515 -0.0326784  0.150616 -0.0944164 9.51412  0.150616 -0.0944164 9.51412  - - -  - - -  76.4139 63.2288 71.1291 66.6062 - - - - - - - 66.1376 - - - - 139 146 134 70 0 0 0 0
1704809382.616150000  1000.94 0 50.0018  -  nan  -0.0530756 0.0879119 -0.0366371  -0.0530756 0.0879119 -0.0366371  -0.0239293 0.156407 9.09053  -0.0239293 0.156407 9.09053  - - -  - - -  77.5294 61.7783 71.8134 66.2792 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.621154000  1000.95 0 50.0025  -  nan  -0.127729 0.0642578 0.0688392  -0.127729 0.0642578 0.0688392  -0.257092 0.240592 10.5066  -0.257092 0.240592 10.5066  - - -  - - -  78.1552 61.6375 72.0272 65.9706 - - - - 77.0535 61.207 - - - - - - 139 146 134 70 0 0 0 0
