# logged on Tue Nov 14 14:33:39 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699968819.337776000  1000.37 0 49.9939  -  nan  -0.0102319 -0.0246003 0.0119549  -0.0102319 -0.0246003 0.0119549  0.060896 -0.000287183 9.88833  0.060896 -0.000287183 9.88833  - - -  - - -  76.4507 74.4733 67.1606 64.4644 - - - - - - 67.6407 - - - - - 139 146 0 71 0 0 0 0
1699968819.342769000  1000.37 0 49.9955  -  nan  0.0324314 0.0734478 0.0099099  0.0324314 0.0734478 0.0099099  -0.0294438 0.0946862 9.0762  -0.0294438 0.0946862 9.0762  - - -  - - -  76.2679 74.6341 67.1488 64.5296 - - - - 77.0535 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.347767000  1000.37 0 49.9955  -  nan  0.0469468 0.018006 -0.00215538  0.0469468 0.018006 -0.00215538  -0.039374 -0.00147746 10.1749  -0.039374 -0.00147746 10.1749  - - -  - - -  76.8974 74.4889 66.8809 64.9989 - - - - - 74.8727 - 64.5245 - - - - 139 146 0 71 0 0 0 0
1699968819.352772000  1000.37 0 49.9955  -  nan  -0.00994022 -0.0524514 -0.00105406  -0.00994022 -0.0524514 -0.00105406  0.0608864 0.0899334 10.2242  0.0608864 0.0899334 10.2242  - - -  - - -  76.2617 74.3963 67.4483 64.6431 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1699968819.357780000  1000.37 0 49.9939  -  nan  0.0034258 0.0731074 -0.00425212  0.0034258 0.0731074 -0.00425212  -0.0238629 0.144076 8.44145  -0.0238629 0.144076 8.44145  - - -  - - -  75.935 74.5871 67.6961 64.1162 - - - - - - 66.8807 - - - - - 139 146 0 71 0 0 0 0
1699968819.362770000  1000.38 0 49.9945  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  0.00538056 -0.0501523 10.6375  0.00538056 -0.0501523 10.6375  - - -  - - -  76.8539 74.7101 67.2188 64.5261 - - - - 76.8049 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.367780000  1000.38 0 49.9966  -  nan  -0.00970229 -0.094938 9.49255e-05  -0.00970229 -0.094938 9.49255e-05  0.104077 -0.00384973 10.7486  0.104077 -0.00384973 10.7486  - - -  - - -  76.4439 74.255 67.4484 64.4576 - - - - - 74.8727 - 65.0533 - - - - 139 146 0 71 0 0 0 0
1699968819.372806000  1000.39 0 49.9966  -  nan  0.00321155 0.0871256 0.0091309  0.00321155 0.0871256 0.0091309  -0.0730025 0.144076 8.4411  -0.0730025 0.144076 8.4411  - - -  - - -  75.9865 74.2962 67.63 64.1064 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1699968819.377767000  1000.39 0 49.9959  -  nan  0.0327413 0.0181163 0.0114063  0.0327413 0.0181163 0.0114063  0.00813594 -0.0945579 10.0691  0.00813594 -0.0945579 10.0691  - - -  - - -  76.8651 74.7733 67.0028 64.5018 - - - - - - 67.4491 - - - - - 139 146 0 71 0 0 0 0
1699968819.382804000  1000.39 0 49.9973  -  nan  -0.00970229 -0.094938 9.49255e-05  -0.00970229 -0.094938 9.49255e-05  0.10447 0.0414982 10.8592  0.10447 0.0414982 10.8592  - - -  - - -  76.2494 74.4603 67.447 64.5431 - - - - 76.558 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.387791000  1000.39 0 49.9986  -  nan  -0.0109347 0.100884 0.00856134  -0.0109347 0.100884 0.00856134  -0.073781 0.189664 8.72414  -0.073781 0.189664 8.72414  - - -  - - -  75.6976 74.5574 67.7563 64.039 - - - - - 74.4048 - - - - - - 139 146 0 71 0 0 0 0
1699968819.392773000  1000.39 0 49.9987  -  nan  0.0188923 0.00303525 -0.00214551  0.0188923 0.00303525 -0.00214551  0.0564807 -0.0950332 10.1842  0.0564807 -0.0950332 10.1842  - - -  - - -  76.7202 74.8236 66.8488 64.4423 - - - - - - - 64.1766 - - - - 139 146 0 71 0 0 0 0
1699968819.397782000  1000.38 0 49.9989  -  nan  -0.00964297 -0.0812904 -0.0140363  -0.00964297 -0.0812904 -0.0140363  0.0573141 0.0426843 10.5725  0.0573141 0.0426843 10.5725  - - -  - - -  76.6125 74.4756 66.9648 64.6757 - - - - - - 66.6933 - - - - - 139 146 0 71 0 0 0 0
1699968819.402780000  1000.38 0 50.001  -  nan  -0.0248666 0.100623 -0.00539125  -0.0248666 0.100623 -0.00539125  0.0224747 0.0963476 8.67551  0.0224747 0.0963476 8.67551  - - -  - - -  75.8589 74.4072 67.6921 64.0463 - - - - 76.558 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.407780000  1000.39 0 50.0009  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  0.00778177 -0.0026636 10.4616  0.00778177 -0.0026636 10.4616  - - -  - - -  77.1239 74.9051 66.9351 64.0738 - - - - - 75.1089 - - - - - - 139 146 0 71 0 0 0 0
1699968819.412776000  1000.39 0 49.9998  -  nan  -0.00994022 -0.0524514 -0.00105406  -0.00994022 -0.0524514 -0.00105406  0.0592979 0.0438705 10.2862  0.0592979 0.0438705 10.2862  - - -  - - -  76.7698 74.4524 67.1568 64.2197 - - - - - - - 64.6998 - - - - 139 146 0 71 0 0 0 0
1699968819.417771000  1000.4 0 49.9988  -  nan  -0.0389947 0.0869009 0.00854448  -0.0389947 0.0869009 0.00854448  0.0220737 0.0961079 8.73337  0.0220737 0.0961079 8.73337  - - -  - - -  76.1536 74.3438 67.4404 64.1562 - - - - - - 67.4491 - - - - - 139 146 0 71 0 0 0 0
1699968819.422780000  1000.4 0 49.9999  -  nan  0.0327231 0.0455968 -0.00309903  0.0327231 0.0455968 -0.00309903  -0.0397763 0.0433952 10.4002  -0.0397763 0.0433952 10.4002  - - -  - - -  76.871 74.7228 66.8366 64.418 - - - - 76.558 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.427775000  1000.39 0 50.0009  -  nan  0.00412852 -0.0523765 -0.000858591  0.00412852 -0.0523765 -0.000858591  0.10725 -0.00195274 10.2907  0.10725 -0.00195274 10.2907  - - -  - - -  76.863 74.2935 66.676 64.6433 - - - - - 75.5858 - - - - - - 139 146 0 71 0 0 0 0
1699968819.432772000  1000.39 0 50.0008  -  nan  -0.0246935 0.0454772 0.00986223  -0.0246935 0.0454772 0.00986223  0.0200899 0.0949218 9.01969  0.0200899 0.0949218 9.01969  - - -  - - -  76.4228 74.2335 67.0379 64.4731 - - - - - - - 64.5245 - - - - 139 146 0 71 0 0 0 0
1699968819.437770000  1000.39 0 50.0008  -  nan  0.0324907 0.0870954 -0.0042213  0.0324907 0.0870954 -0.0042213  -0.033811 0.0469619 9.53928  -0.033811 0.0469619 9.53928  - - -  - - -  76.6521 74.7547 67.081 64.3197 - - - - - - 66.3218 - - - - - 139 146 0 71 0 0 0 0
1699968819.442773000  1000.4 0 50.0007  -  nan  0.00405106 -0.0385436 -0.00123268  0.00405106 -0.0385436 -0.00123268  0.0589053 -0.00147746 10.1756  0.0589053 -0.00147746 10.1756  - - -  - - -  77.1547 74.3164 66.6581 64.8159 - - - - 75.8265 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.447774000  1000.39 0 50.0006  -  nan  -0.0525931 0.0028407 0.0106203  -0.0525931 0.0028407 0.0106203  0.0656559 0.0927851 9.5358  0.0656559 0.0927851 9.5358  - - -  - - -  76.4119 74.2203 67.2614 64.6254 - - - - - 73.7137 - - - - - - 139 146 0 71 0 0 0 0
1699968819.452791000  1000.38 0 50.0016  -  nan  0.018422 0.0870205 -0.00441677  0.018422 0.0870205 -0.00441677  -0.0805742 0.0934959 9.36316  -0.0805742 0.0934959 9.36316  - - -  - - -  76.5906 74.5855 67.1978 64.4023 - - - - - - - 65.591 - - - - 139 146 0 71 0 0 0 0
1699968819.457784000  1000.38 0 50.0004  16.125  nan  0.0042653 -0.0525617 -0.0146157  0.0042653 -0.0525617 -0.0146157  0.0589053 -0.00147746 10.1756  0.0589053 -0.00147746 10.1756  - - -  - - -  77.3467 74.5039 66.6351 64.7834 - - - - - - 66.6933 - - - - - 139 146 0 71 0 0 0 0
