# logged on Tue Dec  5 10:59:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770382.484074000  1000.2 0 50.0009  -  nan  0.0615847 -0.0831597 0.0190309  0.0615847 -0.0831597 0.0190309  -0.0718436 0.106076 9.15224  -0.0718436 0.106076 9.15224  - - -  - - -  71.3559 70.0729 72.2901 69.9154 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.489056000  1000.2 0 50.0009  -  nan  0.0323349 -0.140769 0.0190669  0.0323349 -0.140769 0.0190669  0.0150381 0.0944905 10.2371  0.0150381 0.0944905 10.2371  - - -  - - -  71.7892 70.5811 72.0517 69.92 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.494148000  1000.2 0 50.0082  -  nan  -0.0265379 -0.13996 0.0286049  -0.0265379 -0.13996 0.0286049  0.0568922 -0.00636593 10.4746  0.0568922 -0.00636593 10.4746  - - -  - - -  71.494 70.8168 71.9674 69.6315 - - - - - 70.6514 - - - - - - 139 146 0 70 0 0 0 0
1701770382.498957000  1000.2 0 50.0034  -  nan  0.00261109 -0.0965324 0.0290638  0.00261109 -0.0965324 0.0290638  -0.0257773 0.106076 9.15258  -0.0257773 0.106076 9.15258  - - -  - - -  71.4044 71.1795 71.7404 69.1787 - - - - 70.4424 - - 71.0732 - - - - 139 146 0 70 0 0 0 0
1701770382.503960000  1000.21 0 50.002  -  nan  0.00230154 -0.140091 0.0305841  0.00230154 -0.140091 0.0305841  0.0153122 0.0950953 10.1805  0.0153122 0.0950953 10.1805  - - -  - - -  71.8877 71.7081 71.7205 69.1565 - - - - - - 73.0353 - - - - - 139 146 0 70 0 0 0 0
1701770382.508956000  1000.22 0 50.002  -  nan  -0.0551054 -0.125176 0.0125283  -0.0551054 -0.125176 0.0125283  0.0576022 0.04051 10.641  0.0576022 0.04051 10.641  - - -  - - -  71.5465 71.8579 71.5734 68.7418 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.513980000  1000.23 0 50.002  -  nan  -0.0115815 -0.111733 0.00143516  -0.0115815 -0.111733 0.00143516  -0.0279892 0.101196 9.60927  -0.0279892 0.101196 9.60927  - - -  - - -  71.7668 72.113 71.4576 68.2825 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.519049000  1000.24 0 50.0009  -  nan  -0.0116823 -0.125915 0.00193014  -0.0116823 -0.125915 0.00193014  0.106707 0.0472154 10.0138  0.106707 0.0472154 10.0138  - - -  - - -  72.0918 72.0775 71.5891 68.203 - - - - 70.4424 71.5001 72.1501 67.6407 - - - - 139 146 0 70 0 0 0 0
1701770382.524050000  1000.24 0 50.0009  -  nan  -0.0406297 -0.140979 0.000481281  -0.0406297 -0.140979 0.000481281  0.0610371 0.00277971 9.61878  0.0610371 0.00277971 9.61878  - - -  - - -  72.1398 71.8917 71.5733 68.1891 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.529065000  1000.26 0 50.0009  -  nan  0.0326628 -0.141854 -0.00806705  0.0326628 -0.141854 -0.00806705  0.01863 0.102416 9.49543  0.01863 0.102416 9.49543  - - -  - - -  72.2025 71.9314 71.601 67.9187 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
