# logged on Tue Nov 14 13:17:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699964228.843942000  1000.11 0 50.0053  -  nan  -0.00994022 -0.0524514 -0.00105406  -0.00994022 -0.0524514 -0.00105406  0.0137306 0.0911195 9.93749  0.0137306 0.0911195 9.93749  - - -  - - -  71.1609 71.1166 68.6604 65.8451 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.848944000  1000.1 0 50.0053  -  nan  -0.0664294 -0.0387328 0.0115471  -0.0664294 -0.0387328 0.0115471  0.0117481 0.044821 10.0564  0.0117481 0.044821 10.0564  - - -  - - -  70.6307 70.7539 69.007 66.1815 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.853957000  1000.1 0 50.0063  -  nan  -0.0807306 0.00269092 0.0102293  -0.0807306 0.00269092 0.0102293  -0.0314345 0.0934959 9.36351  -0.0314345 0.0934959 9.36351  - - -  - - -  70.6965 71.484 68.7616 65.5811 - - - - 71.9321 71.0732 68.2221 - - - - - 139 145 134 71 0 0 0 0
1699964228.858944000  1000.1 0 50.0056  -  nan  -0.00977975 -0.0811052 -0.000279164  -0.00977975 -0.0811052 -0.000279164  -0.0373916 0.044821 10.056  -0.0373916 0.044821 10.056  - - -  - - -  70.8021 71.379 68.8541 65.8278 - - - - - - - 65.4108 - - - - 139 145 134 71 0 0 0 0
1699964228.863952000  1000.1 0 50.0056  -  nan  -0.0662926 -0.0389181 -0.00221005  -0.0662926 -0.0389181 -0.00221005  -0.0358017 0.0457716 9.82659  -0.0358017 0.0457716 9.82659  - - -  - - -  70.3517 70.9901 69.3811 65.8249 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.868940000  1000.1 0 50.0056  -  nan  -0.0525931 0.0028407 0.0106203  -0.0525931 0.0028407 0.0106203  -0.0318271 0.048148 9.25296  -0.0318271 0.048148 9.25296  - - -  - - -  70.5459 71.4271 69.0418 65.6776 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.873956000  1000.11 0 50.0062  -  nan  0.0334314 -0.0808751 0.000321219  0.0334314 -0.0808751 0.000321219  -0.0373916 0.044821 10.056  -0.0373916 0.044821 10.056  - - -  - - -  70.5119 71.4371 69.2453 65.8764 - - - - 70.028 71.7154 68.4182 65.4108 - - - - 139 145 134 71 0 0 0 0
1699964228.878958000  1000.1 0 50.0062  -  nan  -0.0383694 -0.0247501 0.0115639  -0.0383694 -0.0247501 0.0115639  0.0125513 0.000188099 9.77326  0.0125513 0.000188099 9.77326  - - -  - - -  70.1458 70.8268 69.5225 66.2455 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.884013000  1000.11 0 50.0062  -  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  -0.0797792 0.0939712 9.24844  -0.0797792 0.0939712 9.24844  - - -  - - -  70.3093 71.1883 69.2198 66.0722 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.888998000  1000.1 0 50.0062  -  nan  0.0614914 -0.0668925 0.000338076  0.0614914 -0.0668925 0.000338076  0.0101665 -0.00123775 10.1174  0.0101665 -0.00123775 10.1174  - - -  - - -  70.4775 71.1164 69.2461 66.4199 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.893946000  1000.11 0 50.0055  -  nan  -0.0102319 -0.0246003 0.0119549  -0.0102319 -0.0246003 0.0119549  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  70.0968 70.6274 69.6204 66.6371 - - - - 70.4424 71.7154 69.0131 - - - - - 139 145 134 71 0 0 0 0
1699964228.898940000  1000.1 0 50.005  -  nan  0.00352141 0.0317941 0.0106273  0.00352141 0.0317941 0.0106273  -0.0330161 0.0474371 9.42455  -0.0330161 0.0474371 9.42455  - - -  - - -  70.5023 71.0072 69.1962 66.5226 - - - - - - - 66.507 - - - - 139 145 134 71 0 0 0 0
1699964228.903933000  1000.11 0 50.005  -  nan  0.0906876 -0.0521017 -0.0134149  0.0906876 -0.0521017 -0.0134149  0.0077584 -0.0487306 10.2943  0.0077584 -0.0487306 10.2943  - - -  - - -  70.6998 70.7757 69.1446 66.8462 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.909004000  1000.1 0 50.005  -  nan  0.046893 0.00337031 0.0120025  0.046893 0.00337031 0.0120025  0.0121504 -5.16086e-05 9.83112  0.0121504 -5.16086e-05 9.83112  - - -  - - -  70.395 69.9491 69.525 67.1804 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.913925000  1000.11 0 50.0076  -  nan  0.0607238 0.0459319 0.011049  0.0607238 0.0459319 0.011049  -0.033417 0.0471974 9.48242  -0.033417 0.0471974 9.48242  - - -  - - -  70.7445 70.1972 68.998 67.1937 - - - - 70.6514 71.7154 68.8137 66.507 - - - - 139 145 134 71 0 0 0 0
1699964228.918938000  1000.1 0 50.0076  -  nan  0.0903959 -0.0242507 -0.000406004  0.0903959 -0.0242507 -0.000406004  0.00897069 -0.00195274 10.29  0.00897069 -0.00195274 10.29  - - -  - - -  70.6704 70.1138 68.7665 67.5351 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.923932000  1000.11 0 50.0076  -  nan  0.0608787 0.0182661 0.0117972  0.0608787 0.0182661 0.0117972  0.0137402 0.000898956 9.60167  0.0137402 0.000898956 9.60167  - - -  - - -  70.4622 69.7234 69.1122 67.5993 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.928932000  1000.1 0 50.0076  -  nan  0.0325089 0.059615 0.010284  0.0325089 0.059615 0.010284  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  70.7874 70.2432 68.7597 67.2925 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.933948000  1000.11 0 50.0091  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.0109532 0.0443457 10.1711  0.0109532 0.0443457 10.1711  - - -  - - -  70.9931 70.1663 68.4238 67.2281 - - - - 70.4424 70.6514 69.6185 67.6407 - - - - 139 145 134 71 0 0 0 0
1699964228.938941000  1000.1 0 50.0091  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  0.0640674 0.0467222 9.59784  0.0640674 0.0467222 9.59784  - - -  - - -  70.8415 70.1303 68.7538 67.1201 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.943932000  1000.11 0 50.0091  -  nan  0.00350326 0.0592745 -0.00387803  0.00350326 0.0592745 -0.00387803  0.0121407 0.0901689 10.1669  0.0121407 0.0901689 10.1669  - - -  - - -  71.1176 70.6041 68.6138 66.5604 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
