# logged on Mon Jan  8 14:29:13 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704720553.587466000  1001.96 0 50.0048  -  nan  0.0341327 0.0160624 -0.0417209  0.0341327 0.0160624 -0.0417209  0.579773 0.124983 7.38778  0.579773 0.124983 7.38778  - - -  - - -  76.4196 65.9362 70.732 62.6318 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.592405000  1001.96 0 50.0048  -  nan  -0.0980986 0.0794273 0.0984972  -0.0980986 0.0794273 0.0984972  -0.669647 0.243021 10.2762  -0.669647 0.243021 10.2762  - - -  - - -  78.0123 66.4 70.3843 62.9276 - - - - 76.558 - - 63.3232 - - - - 139 146 134 70 0 0 0 0
1704720553.597422000  1001.96 0 50.0048  -  nan  0.00211832 -0.213098 0.00596032  0.00211832 -0.213098 0.00596032  0.00200571 -0.163643 11.3433  0.00200571 -0.163643 11.3433  - - -  - - -  76.8216 68.0498 68.8994 63.2868 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.602431000  1001.96 0 50.0068  -  nan  0.0495855 0.0416102 -0.110525  0.0495855 0.0416102 -0.110525  0.626189 0.174083 7.44122  0.626189 0.174083 7.44122  - - -  - - -  75.4762 66.5764 70.7964 62.9224 - - - - - 66.1376 70.4424 - - - - - 139 146 134 70 0 0 0 0
1704720553.607418000  1001.96 0 50.0068  -  nan  -0.129102 0.0397679 0.166736  -0.129102 0.0397679 0.166736  -0.669005 0.198186 9.82398  -0.669005 0.198186 9.82398  - - -  - - -  78.0532 66.6949 69.9176 62.9641 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.612420000  1001.96 0 50.0083  -  nan  0.0174672 -0.22735 0.00751557  0.0174672 -0.22735 0.00751557  -0.315 -0.0611674 11.0471  -0.315 -0.0611674 11.0471  - - -  - - -  76.2837 69.4806 68.0758 63.5102 - - - - 76.8049 - - 62.6566 - - - - 139 146 134 70 0 0 0 0
1704720553.617401000  1001.96 0 50.0083  -  nan  0.0357325 0.0252858 -0.166257  0.0357325 0.0252858 -0.166257  0.485338 0.166158 8.18184  0.485338 0.166158 8.18184  - - -  - - -  75.1626 67.3952 70.4607 63.1 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.622396000  1001.96 0 50.0097  -  nan  -0.129236 -0.00437176 0.153721  -0.129236 -0.00437176 0.153721  -0.483544 0.154572 9.25893  -0.483544 0.154572 9.25893  - - -  - - -  77.1926 66.7489 70.4291 62.4962 - - - - - 66.3218 69.8227 - - - - - 139 146 134 70 0 0 0 0
1704720553.627425000  1001.96 0 50.0097  -  nan  0.00249104 -0.184264 -0.00863199  0.00249104 -0.184264 -0.00863199  -0.267239 0.0331892 11.3236  -0.267239 0.0331892 11.3236  - - -  - - -  75.3568 69.8944 68.8863 63.3508 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.632427000  1001.96 0 50.0088  -  nan  0.00609019 0.0101551 -0.194946  0.00609019 0.0101551 -0.194946  0.245869 -0.0392051 8.99605  0.245869 -0.0392051 8.99605  - - -  - - -  75.6916 66.9703 71.1438 62.2468 - - - - 77.8089 - - 62.004 - - - - 139 146 134 70 0 0 0 0
