# logged on Thu Dec 21 15:43:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703169832.834986000  1001.18 0 50.0018  -  nan  0.0496231 0.0705162 -0.0979483  0.0496231 0.0705162 -0.0979483  0.0710531 0.116442 8.18329  0.0710531 0.116442 8.18329  - - -  - - -  76.7713 71.0024 69.5884 63.6896 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.840006000  1001.18 0 49.9996  -  nan  -0.0830682 -0.0253015 -0.00651804  -0.0830682 -0.0253015 -0.00651804  -0.48817 0.374687 11.8051  -0.48817 0.374687 11.8051  - - -  - - -  78.2444 70.8479 69.914 63.4781 - - - - - - - 63.3232 - - - - 139 0 134 71 0 0 0 0
1703169832.845115000  1001.17 0 50.0026  -  nan  0.0492566 -0.0754977 -0.147196  0.0492566 -0.0754977 -0.147196  0.50207 -0.543281 9.78525  0.50207 -0.543281 9.78525  - - -  - - -  77.1049 71.3389 70.0206 62.3224 - - - - - 71.7154 70.6514 - - - - - 139 0 134 71 0 0 0 0
1703169832.850042000  1001.17 0 50.0003  -  nan  -0.00888421 0.0991468 -0.102967  -0.00888421 0.0991468 -0.102967  -0.14994 0.366239 8.04511  -0.14994 0.366239 8.04511  - - -  - - -  78.6546 69.2649 71.2408 62.4897 - - - - 75.3466 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.855003000  1001.17 0 50.0003  -  nan  -0.0834785 -0.083042 -0.00450277  -0.0834785 -0.083042 -0.00450277  -0.588291 0.219245 12.5017  -0.588291 0.219245 12.5017  - - -  - - -  78.4555 70.7166 70.6698 62.5076 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.860032000  1001.17 0 49.9973  -  nan  0.0200333 -0.0585448 -0.109004  0.0200333 -0.0585448 -0.109004  0.552934 -0.440189 9.43414  0.552934 -0.440189 9.43414  - - -  - - -  76.8264 70.9163 70.9018 61.9913 - - - - - - - 63.6618 - - - - 139 0 134 71 0 0 0 0
1703169832.865022000  1001.17 0 50.0006  -  nan  -0.0679734 0.0460129 -0.0216057  -0.0679734 0.0460129 -0.0216057  -0.288413 0.365635 8.10069  -0.288413 0.365635 8.10069  - - -  - - -  78.0883 69.8242 71.3474 62.4307 - - - - - 69.0131 69.6185 - - - - - 139 0 134 71 0 0 0 0
1703169832.870025000  1001.17 0 49.9995  -  nan  -0.0984277 -0.110256 0.0226316  -0.0984277 -0.110256 0.0226316  -0.408014 0.073759 12.174  -0.408014 0.073759 12.174  - - -  - - -  77.5009 71.7973 70.8304 62.3601 - - - - 79.3651 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.875024000  1001.17 0 49.9995  -  nan  -0.0101757 -0.0572856 -0.0829511  -0.0101757 -0.0572856 -0.0829511  0.232516 -0.437749 9.20344  0.232516 -0.437749 9.20344  - - -  - - -  76.0932 71.4263 70.9186 62.0517 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.880028000  1001.17 0 49.9976  -  nan  -0.0393686 -0.0124397 -0.0321473  -0.0393686 -0.0124397 -0.0321473  -0.24468 0.405794 8.89585  -0.24468 0.405794 8.89585  - - -  - - -  77.3883 70.2867 71.4747 62.6138 - - - - - - - 63.1552 - - - - 139 0 134 71 0 0 0 0
