# logged on Tue Jan  2 13:17:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704197871.548973000  1001.24 0 50.0044  -  nan  -0.024337 0.0735989 -0.0341629  -0.024337 0.0735989 -0.0341629  0.344937 0.300058 9.59408  0.344937 0.300058 9.59408  - - -  - - -  78.7442 67.2845 71.3204 63.1143 - - - - - 68.2221 - - - - - - 139 0 134 71 0 0 0 0
1704197871.553975000  1001.25 0 50.006  -  nan  -0.157035 0.0949607 0.121107  -0.157035 0.0949607 0.121107  -0.490152 0.00217496 9.67134  -0.490152 0.00217496 9.67134  - - -  - - -  79.9594 67.5867 70.3006 62.4894 - - - - 80.7103 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.558978000  1001.24 0 50.006  -  nan  0.120942 -0.159184 -0.0703679  0.120942 -0.159184 -0.0703679  -0.219649 -0.146572 9.74424  -0.219649 -0.146572 9.74424  - - -  - - -  79.1789 69.4274 69.1457 63.0534 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.564067000  1001.25 0 50.0079  -  nan  -0.0392979 0.0464241 -0.0060595  -0.0392979 0.0464241 -0.0060595  0.108551 0.0975355 9.95279  0.108551 0.0975355 9.95279  - - -  - - -  78.6326 67.0871 71.576 63.6706 - - - - - - 69.8227 62.004 - - - - 139 0 134 71 0 0 0 0
1704197871.568981000  1001.24 0 50.0071  -  nan  -0.0111967 -0.0103627 0.0250689  -0.0111967 -0.0103627 0.0250689  -0.205964 0.205507 9.14231  -0.205964 0.205507 9.14231  - - -  - - -  79.2395 67.7809 70.427 63.3722 - - - - - 68.2221 - - - - - - 139 0 134 71 0 0 0 0
1704197871.573993000  1001.25 0 50.0074  -  nan  0.0333195 -0.0258305 0.00146941  0.0333195 -0.0258305 0.00146941  -0.30938 -0.0950211 9.56735  -0.30938 -0.0950211 9.56735  - - -  - - -  78.8407 68.2554 70.4812 63.8296 - - - - 79.8977 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.578984000  1001.24 0 50.0074  -  nan  0.0480789 -0.0270194 -0.0256441  0.0480789 -0.0270194 -0.0256441  0.00771974 -0.104782 10.4831  0.00771974 -0.104782 10.4831  - - -  - - -  78.7642 67.4647 71.1866 64.1735 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.583996000  1001.25 0 50.0089  -  nan  0.0482128 0.0171202 -0.0126283  0.0482128 0.0171202 -0.0126283  0.0300675 0.358919 8.73148  0.0300675 0.358919 8.73148  - - -  - - -  78.8157 66.5138 71.3681 64.146 - - - - - - 71.0732 64.5245 - - - - 139 0 134 71 0 0 0 0
1704197871.588983000  1001.24 0 50.009  -  nan  -0.0401177 0.0491358 0.0617755  -0.0401177 0.0491358 0.0617755  -0.451913 -0.150837 10.1417  -0.451913 -0.150837 10.1417  - - -  - - -  79.2733 67.0257 71.2357 64.2867 - - - - - 67.2585 - - - - - - 139 0 134 71 0 0 0 0
1704197871.593988000  1001.25 0 50.0101  -  nan  0.150266 -0.116337 -0.084445  0.150266 -0.116337 -0.084445  0.052406 -0.107827 10.7683  0.052406 -0.107827 10.7683  - - -  - - -  78.9153 67.7497 70.5517 64.4583 - - - - 78.5793 - - - - - - - 139 0 134 71 0 0 0 0
