# logged on Mon Nov 20 15:45:31 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700491531.381125000  1000.46 0 49.9951  -  nan  0.0900805 0.0320689 -0.00192908  0.0900805 0.0320689 -0.00192908  0.157577 0.0438705 10.2869  0.157577 0.0438705 10.2869  - - -  - - -  77.7871 75.3932 75.7254 72.9465 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.386125000  1000.46 0 49.9951  -  nan  0.119894 -0.19264 -0.0377265  0.119894 -0.19264 -0.0377265  0.107194 -0.140145 9.78675  0.107194 -0.140145 9.78675  - - -  - - -  76.6506 73.4572 77.2991 73.9758 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.391169000  1000.46 0 49.9948  -  nan  -0.167993 0.283216 0.0289681  -0.167993 0.283216 0.0289681  -0.330447 -0.0458789 9.60349  -0.330447 -0.0458789 9.60349  - - -  - - -  76.1716 73.9911 77.8239 73.5125 - - - - - - 76.3126 72.1501 - - - - 139 145 134 71 0 0 0 0
1700491531.396140000  1000.46 0 49.9959  -  nan  0.248523 -0.191956 -0.0359393  0.248523 -0.191956 -0.0359393  0.354136 0.136236 10.3367  0.354136 0.136236 10.3367  - - -  - - -  77.6079 74.6706 76.2931 73.0763 - - - - 78.3208 74.638 - - - - - - 139 145 134 71 0 0 0 0
1700491531.401135000  1000.46 0 49.9959  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  -0.189483 -0.280004 9.68272  -0.189483 -0.280004 9.68272  - - -  - - -  75.7362 72.4272 78.6079 74.538 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.406139000  1000.46 0 49.9959  -  nan  -0.0542002 0.241334 0.0316948  -0.0542002 0.241334 0.0316948  -0.082558 0.0923098 9.64948  -0.082558 0.0923098 9.64948  - - -  - - -  76.6457 74.4743 77.1386 73.1896 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.411131000  1000.46 0 49.9974  -  nan  0.291478 -0.277075 -0.0605692  0.291478 -0.277075 -0.0605692  0.35372 0.044821 10.0588  0.35372 0.044821 10.0588  - - -  - - -  76.8439 73.6719 76.8565 73.7971 - - - - - - 76.0688 73.4862 - - - - 139 145 134 71 0 0 0 0
1700491531.416134000  1000.46 0 49.9999  -  nan  -0.19635 0.142756 0.0323575  -0.19635 0.142756 0.0323575  -0.336508 -0.279768 9.62481  -0.336508 -0.279768 9.62481  - - -  - - -  75.366 72.2723 78.7661 74.4466 - - - - 78.064 74.638 - - - - - - 139 145 134 71 0 0 0 0
1700491531.421136000  1000.45 0 49.9999  -  nan  0.161557 0.0597306 -0.0301828  0.161557 0.0597306 -0.0301828  0.213949 0.27752 10.0934  0.213949 0.27752 10.0934  - - -  - - -  77.1028 75.054 76.3918 72.414 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.426126000  1000.45 0 49.9999  -  nan  0.177394 -0.207342 -0.050287  0.177394 -0.207342 -0.050287  0.205072 -0.140385 9.84531  0.205072 -0.140385 9.84531  - - -  - - -  76.0548 72.4377 78.0686 73.9478 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.431130000  1000.45 0 50.0005  -  nan  -0.268538 0.268046 0.0417298  -0.268538 0.268046 0.0417298  -0.283708 -0.0933676 9.77969  -0.283708 -0.0933676 9.77969  - - -  - - -  76.157 73.8654 77.6393 72.8581 - - - - - - 76.3126 75.1089 - - - - 139 145 134 71 0 0 0 0
