# logged on Fri Dec  1 18:10:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701450603.799306000  1001.29 0 49.9946  -  nan  -0.0119726 -0.0959245 0.0416412  -0.0119726 -0.0959245 0.0416412  0.16043 0.249122 9.71139  0.16043 0.249122 9.71139  - - -  - - -  71.1302 68.3143 71.0279 75.1826 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.804306000  1001.28 0 49.9942  -  nan  -0.0841344 -0.0808727 0.0497652  -0.0841344 -0.0808727 0.0497652  0.10874 0.144206 10.2333  0.10874 0.144206 10.2333  - - -  - - -  71.0334 67.8738 71.2633 75.3123 - - - - 71.0732 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.809308000  1001.28 0 49.9962  -  nan  -0.0551941 -0.0668219 0.0512494  -0.0551941 -0.0668219 0.0512494  0.11556 0.205507 9.14466  0.11556 0.205507 9.14466  - - -  - - -  70.9501 68.0226 71.1999 74.9538 - - - - - 68.6153 - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701450603.814307000  1001.28 0 49.9966  -  nan  -0.055131 -0.0815461 0.0381774  -0.055131 -0.0815461 0.0381774  0.15905 0.246077 9.99632  0.15905 0.246077 9.99632  - - -  - - -  71.0217 67.8511 71.3129 75.2694 - - - - - - 71.286 - - - - - 139 146 134 71 0 0 0 0
1701450603.819306000  1001.28 0 49.9966  -  nan  -0.142534 -0.0370473 0.0442158  -0.142534 -0.0370473 0.0442158  0.158308 0.198186 9.83003  0.158308 0.198186 9.83003  - - -  - - -  70.8992 67.5269 71.3337 75.2849 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.824307000  1001.28 0 49.9949  -  nan  -0.0695059 -0.0515615 0.0497295  -0.0695059 -0.0515615 0.0497295  0.160246 0.202462 9.42993  0.160246 0.202462 9.42993  - - -  - - -  70.8942 67.7742 71.1567 75.0332 - - - - 71.286 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.829308000  1001.28 0 49.9949  -  nan  -0.112664 -0.037183 0.0462657  -0.112664 -0.037183 0.0462657  0.156928 0.195141 10.115  0.156928 0.195141 10.115  - - -  - - -  70.731 67.5579 71.2456 75.4388 - - - - - 67.6407 - 74.638 - - - - 139 146 134 71 0 0 0 0
1701450603.834307000  1001.28 0 49.9944  -  nan  -0.156815 0.00610616 0.0553083  -0.156815 0.00610616 0.0553083  0.159414 0.200627 9.60168  0.159414 0.200627 9.60168  - - -  - - -  70.6606 67.5532 70.9965 75.3427 - - - - - - 70.6514 - - - - - 139 146 134 71 0 0 0 0
1701450603.839306000  1001.28 0 49.9944  -  nan  -0.112664 -0.037183 0.0462657  -0.112664 -0.037183 0.0462657  0.205759 0.201242 9.54444  0.205759 0.201242 9.54444  - - -  - - -  70.7983 67.8047 70.7635 75.151 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.844307000  1001.28 0 49.992  -  nan  -0.171127 0.0213665 0.0537884  -0.171127 0.0213665 0.0537884  0.11409 0.248517 9.76764  0.11409 0.248517 9.76764  - - -  - - -  70.5806 67.5067 70.9588 75.3649 - - - - 71.0732 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.849309000  1001.29 0 49.9944  -  nan  -0.185446 0.0356139 0.0523038  -0.185446 0.0356139 0.0523038  0.24821 0.149086 9.77758  0.24821 0.149086 9.77758  - - -  - - -  70.6676 67.7043 70.5252 75.3015 - - - - - 69.0131 - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701450603.854308000  1001.28 0 49.9949  -  nan  -0.156815 0.00610616 0.0553083  -0.156815 0.00610616 0.0553083  0.207328 0.250957 9.53997  0.207328 0.250957 9.53997  - - -  - - -  70.5915 67.7317 70.3493 75.2501 - - - - - - 70.028 - - - - - 139 146 134 71 0 0 0 0
1701450603.859305000  1001.29 0 49.9949  -  nan  -0.200694 0.0640479 0.0502536  -0.200694 0.0640479 0.0502536  0.158587 0.198802 9.77244  0.158587 0.198802 9.77244  - - -  - - -  70.3892 67.4318 70.393 75.5314 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.864307000  1001.28 0 49.9934  -  nan  -0.200731 0.0351418 0.0376765  -0.200731 0.0351418 0.0376765  0.249226 0.197582 9.88728  0.249226 0.197582 9.88728  - - -  - - -  70.3844 67.5039 70.1697 75.3871 - - - - 69.6185 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.869307000  1001.29 0 49.9937  -  nan  -0.200631 0.0493237 0.0371815  -0.200631 0.0493237 0.0371815  0.207139 0.204287 9.2595  0.207139 0.204287 9.2595  - - -  - - -  70.2184 67.1452 70.2991 75.4096 - - - - - 67.6407 - 74.638 - - - - 139 146 134 71 0 0 0 0
1701450603.874307000  1001.28 0 49.9933  -  nan  -0.229231 0.106725 0.0467894  -0.229231 0.106725 0.0467894  0.112521 0.198802 9.77211  0.112521 0.198802 9.77211  - - -  - - -  70.2221 67.0014 70.4496 75.4714 - - - - - - 71.0732 - - - - - 139 146 134 71 0 0 0 0
1701450603.879312000  1001.29 0 49.9933  -  nan  -0.21505 0.0493892 0.036192  -0.21505 0.0493892 0.036192  0.247931 0.148471 9.83516  0.247931 0.148471 9.83516  - - -  - - -  70.2451 66.8866 70.0927 75.5097 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.884305000  1001.28 0 49.993  -  nan  -0.243953 0.0642445 0.0472848  -0.243953 0.0642445 0.0472848  0.163474 0.255838 9.08295  0.163474 0.255838 9.08295  - - -  - - -  69.799 66.5477 70.3203 75.6438 - - - - 71.0732 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.889307000  1001.29 0 49.9952  -  nan  -0.243285 0.134611 0.0312429  -0.243285 0.134611 0.0312429  0.158587 0.198802 9.77244  0.158587 0.198802 9.77244  - - -  - - -  69.6453 66.6929 70.3693 75.6854 - - - - - 66.3218 - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701450603.894305000  1001.28 0 49.9937  -  nan  -0.243625 0.0631598 0.0201508  -0.243625 0.0631598 0.0201508  0.24821 0.149086 9.77758  0.24821 0.149086 9.77758  - - -  - - -  69.7355 66.3188 70.1428 75.7156 - - - - - - 69.8227 - - - - - 139 146 134 71 0 0 0 0
1701450603.899306000  1001.29 0 49.9937  -  nan  -0.30205 0.150615 0.0402505  -0.30205 0.150615 0.0402505  0.120357 0.308598 8.79321  0.120357 0.308598 8.79321  - - -  - - -  69.2263 65.8803 70.5863 75.7875 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.904304000  1001.28 0 49.9923  -  nan  -0.302259 0.121239 0.0412758  -0.302259 0.121239 0.0412758  0.202531 0.147866 9.89142  0.202531 0.147866 9.89142  - - -  - - -  69.3555 66.3247 70.3079 75.7879 - - - - 70.4424 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.909307000  1001.29 0 49.9948  -  nan  -0.287877 0.0922672 0.0296884  -0.287877 0.0922672 0.0296884  0.202805 0.148471 9.83483  0.202805 0.148471 9.83483  - - -  - - -  69.0631 65.9974 70.3572 75.8035 - - - - - 65.9544 - 74.638 - - - - 139 146 134 71 0 0 0 0
1701450603.914306000  1001.28 0 49.9943  -  nan  -0.360356 0.20761 0.0342415  -0.360356 0.20761 0.0342415  0.121463 0.311039 8.56487  0.121463 0.311039 8.56487  - - -  - - -  68.5276 65.713 70.7965 75.8151 - - - - - - 70.8617 - - - - - 139 146 134 71 0 0 0 0
1701450603.919315000  1001.29 0 49.9943  -  nan  -0.360703 0.135145 0.0231848  -0.360703 0.135145 0.0231848  0.291678 0.145426 10.1204  0.291678 0.145426 10.1204  - - -  - - -  69.1497 66.1379 70.3534 75.6887 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.924323000  1001.28 0 49.9939  -  nan  -0.389434 0.150471 0.0206752  -0.389434 0.150471 0.0206752  0.20548 0.200627 9.60202  0.20548 0.200627 9.60202  - - -  - - -  68.7097 65.7094 70.6963 75.6009 - - - - 68.0272 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.929328000  1001.28 0 49.9979  -  nan  -0.43291 0.26514 0.0136406  -0.43291 0.26514 0.0136406  0.167803 0.311643 8.50861  0.167803 0.311643 8.50861  - - -  - - -  68.4742 65.9036 70.8601 75.3687 - - - - - 66.3218 - 76.0688 - - - - 139 146 134 71 0 0 0 0
1701450603.934327000  1001.28 0 49.9981  -  nan  -0.462096 0.192807 0.000604638  -0.462096 0.192807 0.000604638  0.292505 0.147251 9.94966  0.292505 0.147251 9.94966  - - -  - - -  69.1277 66.1862 70.4801 75.268 - - - - - - 70.8617 - - - - - 139 146 134 71 0 0 0 0
1701450603.939328000  1001.28 0 49.9981  -  nan  -0.46185 0.251089 0.0121564  -0.46185 0.251089 0.0121564  0.164027 0.257058 8.96877  0.164027 0.257058 8.96877  - - -  - - -  68.5712 66.0327 70.7222 75.0624 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.944322000  1001.28 0 49.9983  -  nan  -0.476023 0.309438 0.0227185  -0.476023 0.309438 0.0227185  0.211936 0.307378 8.90806  0.211936 0.307378 8.90806  - - -  - - -  68.6966 66.1461 70.727 75.1329 - - - - 69.4155 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.949327000  1001.29 0 49.9996  -  nan  -0.534941 0.280328 0.0197147  -0.534941 0.280328 0.0197147  0.24821 0.149086 9.77758  0.24821 0.149086 9.77758  - - -  - - -  68.8915 66.3391 70.4139 75.2252 - - - - - 65.9544 - 75.8265 - - - - 139 146 134 71 0 0 0 0
1701450603.954327000  1001.28 0 49.9987  -  nan  -0.505628 0.323213 0.00660664  -0.505628 0.323213 0.00660664  0.257337 0.307983 8.8518  0.257337 0.307983 8.8518  - - -  - - -  68.5094 66.4736 70.4574 75.0578 - - - - - - 70.2346 - - - - - 139 146 134 71 0 0 0 0
1701450603.959326000  1001.29 0 49.9987  -  nan  -0.548742 0.36751 0.0156846  -0.548742 0.36751 0.0156846  0.253282 0.252782 9.36954  0.253282 0.252782 9.36954  - - -  - - -  68.8702 66.5442 70.4106 75.1755 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.964323000  1001.28 0 49.9998  -  nan  -0.578611 0.367646 0.0136347  -0.578611 0.367646 0.0136347  0.20557 0.154572 9.26397  0.20557 0.154572 9.26397  - - -  - - -  68.8562 66.62 70.169 75.1581 - - - - 67.2585 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.969327000  1001.29 0 50.0008  -  nan  -0.563662 0.39486 -0.0134997  -0.563662 0.39486 -0.0134997  0.29767 0.204902 9.20258  0.29767 0.204902 9.20258  - - -  - - -  68.9289 66.6407 70.0822 75.227 - - - - - 66.1376 - 73.7137 - - - - 139 146 134 71 0 0 0 0
1701450603.974327000  1001.28 0 50.0007  -  nan  -0.592464 0.423897 -0.00290182  -0.592464 0.423897 -0.00290182  0.207881 0.252178 9.4258  0.207881 0.252178 9.4258  - - -  - - -  69.1112 66.4083 70.4059 75.1514 - - - - - - 71.0732 - - - - - 139 146 134 71 0 0 0 0
