# logged on Tue Jan  9 13:33:49 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704803629.304008000  999.603 0 49.997  -  nan  0.137215 -0.0181551 -0.143203  0.137215 -0.0181551 -0.143203  0.248507 0.0119254 8.76433  0.248507 0.0119254 8.76433  - - -  - - -  75.0344 68.5061 68.5704 64.8599 - - - - - - - 62.4922 - - - - 138 146 134 70 0 0 0 0
1704803629.309009000  999.604 0 49.9963  -  nan  -0.0105848 0.0757414 0.0220637  -0.0105848 0.0757414 0.0220637  -0.116228 0.153967 9.31821  -0.116228 0.153967 9.31821  - - -  - - -  77.352 65.998 70.3962 64.0749 - - - - 75.5858 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.314003000  999.603 0 49.9967  -  nan  0.0171661 -0.0791281 0.112  0.0171661 -0.0791281 0.112  -0.17566 0.0319691 11.4385  -0.17566 0.0319691 11.4385  - - -  - - -  77.9056 66.881 69.4383 64.0019 - - - - - 67.8334 - - - - - - 138 146 134 70 0 0 0 0
1704803629.319020000  999.602 0 49.998  -  nan  0.0781785 -0.0168037 -0.120098  0.0781785 -0.0168037 -0.120098  -0.0752239 0.00705546 9.21767  -0.0752239 0.00705546 9.21767  - - -  - - -  75.9429 67.4493 68.8344 64.5226 - - - - - - 69.6185 - - - - - 138 146 134 70 0 0 0 0
1704803629.324010000  999.602 0 49.9992  -  nan  0.018799 -0.0399468 0.000974789  0.018799 -0.0399468 0.000974789  0.0164181 0.0975355 9.95212  0.0164181 0.0975355 9.95212  - - -  - - -  77.5674 65.9667 69.9817 63.8397 - - - - - - - 64.0041 - - - - 138 146 134 70 0 0 0 0
1704803629.329018000  999.603 0 49.9993  -  nan  -0.0410316 -0.00693895 0.105461  -0.0410316 -0.00693895 0.105461  -0.170863 0.13506 11.087  -0.170863 0.13506 11.087  - - -  - - -  77.0062 66.6373 69.4777 64.2558 - - - - 77.5555 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.334019000  999.601 0 50.0004  -  nan  0.0193658 -0.0563367 -0.0537673  0.0193658 -0.0563367 -0.0537673  -0.260918 -0.0434808 9.39246  -0.260918 -0.0434808 9.39246  - - -  - - -  76.3074 67.4848 68.7713 64.1785 - - - - - 66.3218 - - - - - - 138 146 134 70 0 0 0 0
1704803629.339018000  999.603 0 50.0023  -  nan  0.0196937 -0.0574214 -0.0809013  0.0196937 -0.0574214 -0.0809013  0.205759 0.201242 9.54444  0.205759 0.201242 9.54444  - - -  - - -  76.8421 66.4655 69.8239 63.7384 - - - - - - 70.8617 - - - - - 138 146 134 70 0 0 0 0
1704803629.344019000  999.602 0 50.0021  -  nan  -0.128032 0.0217123 0.0703242  -0.128032 0.0217123 0.0703242  -0.261889 0.137501 10.858  -0.261889 0.137501 10.858  - - -  - - -  77.4394 66.2279 70.2887 63.1997 - - - - - - - 64.3501 - - - - 138 146 134 70 0 0 0 0
1704803629.349014000  999.602 0 50.0029  -  nan  0.0180791 -0.141246 0.00451035  0.0180791 -0.141246 0.00451035  -0.311039 -0.0986815 9.90986  -0.311039 -0.0986815 9.90986  - - -  - - -  77.055 67.6385 68.9274 62.8853 - - - - 77.3036 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.354012000  999.601 0 50.0026  -  nan  -0.00973531 -0.0442272 -0.111549  -0.00973531 -0.0442272 -0.111549  0.296839 0.203067 9.37433  0.296839 0.203067 9.37433  - - -  - - -  76.2481 66.7683 70.0535 63.2259 - - - - - 66.6933 - - - - - - 138 146 134 70 0 0 0 0
1704803629.359034000  999.603 0 50.0033  -  nan  -0.172003 -0.00580213 0.110051  -0.172003 -0.00580213 0.110051  -0.352831 0.0938752 10.2919  -0.352831 0.0938752 10.2919  - - -  - - -  77.3581 65.844 71.091 62.3831 - - - - - - 69.8227 - - - - - 138 146 134 70 0 0 0 0
1704803629.364020000  999.602 0 50.004  -  nan  -0.0123198 -0.168389 0.0305844  -0.0123198 -0.168389 0.0305844  -0.259313 0.0969308 10.0067  -0.259313 0.0969308 10.0067  - - -  - - -  76.4607 68.4498 68.9235 62.7512 - - - - - - - 62.9882 - - - - 138 146 134 70 0 0 0 0
1704803629.368991000  999.603 0 50.0036  -  nan  -0.0246662 -0.116084 -0.110029  -0.0246662 -0.116084 -0.110029  0.201879 0.0539208 9.38707  0.201879 0.0539208 9.38707  - - -  - - -  75.7324 67.4783 70.0952 63.0904 - - - - 77.3036 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.373996000  999.601 0 50.0042  -  nan  -0.143738 -0.0631313 0.127612  -0.143738 -0.0631313 0.127612  -0.258118 0.053316 9.4403  -0.258118 0.053316 9.4403  - - -  - - -  76.9621 66.5681 70.9285 62.3081 - - - - - 65.2316 - - - - - - 138 146 134 70 0 0 0 0
1704803629.378984000  999.601 0 50.0038  -  nan  -0.0559252 -0.122465 0.0803633  -0.0559252 -0.122465 0.0803633  -0.305006 0.190261 10.5683  -0.305006 0.190261 10.5683  - - -  - - -  75.7423 69.3257 68.8296 63.4986 - - - - - - 70.6514 - - - - - 138 146 134 70 0 0 0 0
1704803629.383994000  999.6 0 50.0034  -  nan  -0.0682457 -0.0412147 -0.0467035  -0.0682457 -0.0412147 -0.0467035  -0.0797149 -0.0944164 9.51244  -0.0797149 -0.0944164 9.51244  - - -  - - -  75.7098 68.2567 69.7875 63.1405 - - - - - - - 62.004 - - - - 138 146 134 70 0 0 0 0
1704803629.388991000  999.601 0 50.0021  -  nan  -0.0700802 -0.10876 0.0653117  -0.0700802 -0.10876 0.0653117  0.0641433 0.101196 9.60994  0.0641433 0.101196 9.60994  - - -  - - -  76.7588 67.4309 69.9773 62.8193 - - - - 77.3036 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.393988000  999.601 0 50.0019  -  nan  -0.0395443 -0.0118586 -0.0176112  -0.0395443 -0.0118586 -0.0176112  -0.208356 0.292737 10.2751  -0.208356 0.292737 10.2751  - - -  - - -  76.1515 68.1132 69.6723 63.6171 - - - - - 68.6153 - - - - - - 138 146 134 70 0 0 0 0
1704803629.398992000  999.601 0 50.0027  -  nan  -0.0398798 -0.084362 -0.029637  -0.0398798 -0.084362 -0.029637  -0.268943 -0.199948 10.0909  -0.268943 -0.199948 10.0909  - - -  - - -  76.8958 67.6033 69.2971 63.1414 - - - - - - 69.4155 - - - - - 138 146 134 70 0 0 0 0
1704803629.403990000  999.599 0 50.0014  -  nan  0.019321 -0.0862558 -0.066309  0.019321 -0.0862558 -0.066309  0.341789 0.0618463 8.64645  0.341789 0.0618463 8.64645  - - -  - - -  76.9788 66.6517 69.9457 62.987 - - - - - - - 64.0041 - - - - 138 146 134 70 0 0 0 0
1704803629.408990000  999.602 0 50.0013  -  nan  -0.0683645 0.0618217 0.0186003  -0.0683645 0.0618217 0.0186003  -0.300573 0.338802 10.6115  -0.300573 0.338802 10.6115  - - -  - - -  77.5722 65.9059 70.6518 63.5833 - - - - 76.558 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.413986000  999.601 0 50.0002  -  nan  -0.0127485 -0.181486 0.0582134  -0.0127485 -0.181486 0.0582134  -0.319253 -0.301819 10.3278  -0.319253 -0.301819 10.3278  - - -  - - -  77.96 66.9127 68.8113 63.302 - - - - - 68.4182 - - - - - - 138 146 134 70 0 0 0 0
1704803629.418985000  999.602 0 50.0001  -  nan  0.0781409 -0.0457097 -0.132675  0.0781409 -0.0457097 -0.132675  0.576734 0.118278 8.01522  0.576734 0.118278 8.01522  - - -  - - -  76.0816 66.4317 70.0749 64.2981 - - - - - - 69.2137 - - - - - 138 146 134 70 0 0 0 0
1704803629.423991000  999.601 0 50.0001  -  nan  -0.0978597 0.0641221 0.0708891  -0.0978597 0.0641221 0.0708891  -0.530918 0.382007 11.1197  -0.530918 0.382007 11.1197  - - -  - - -  78.6735 65.0556 70.5227 64.0051 - - - - - - - 63.1552 - - - - 138 146 134 70 0 0 0 0
1704803629.428989000  999.6 0 49.9991  -  nan  0.000391821 -0.265448 0.117445  0.000391821 -0.265448 0.117445  -0.278069 -0.358844 11.0167  -0.278069 -0.358844 11.0167  - - -  - - -  78.3076 66.6743 68.8363 63.8924 - - - - 77.8089 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.433989000  999.6 0 49.9992  -  nan  0.0935199 -0.104644 -0.157702  0.0935199 -0.104644 -0.157702  0.668479 0.119498 7.90172  0.668479 0.119498 7.90172  - - -  - - -  75.0114 66.9814 69.5493 65.3283 - - - - - 67.0691 - - - - - - 138 146 134 70 0 0 0 0
1704803629.438986000  999.603 0 50.0003  -  nan  -0.143063 0.00824866 0.111535  -0.143063 0.00824866 0.111535  -0.708363 0.443309 10.0297  -0.708363 0.443309 10.0297  - - -  - - -  77.8765 64.3329 71.4076 64.8007 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
