# logged on Mon Jan  8 11:15:00 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708900.532818000  1000.27 0 49.996  -  nan  -0.0992023 -0.00504984 0.142203  -0.0992023 -0.00504984 0.142203  -0.816972 0.0841247 11.201  -0.816972 0.0841247 11.201  - - -  - - -  78.2495 68.5626 69.539 61.8441 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.537819000  1000.28 0 49.996  -  nan  0.0925052 -0.1749 -0.113522  0.0925052 -0.1749 -0.113522  0.328393 -0.150837 10.1474  0.328393 -0.150837 10.1474  - - -  - - -  75.9346 69.6851 68.8784 62.3813 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.542847000  1000.28 0 49.9957  -  nan  -0.0677974 0.118007 0.00305341  -0.0677974 0.118007 0.00305341  0.308172 0.228074 7.03431  0.308172 0.228074 7.03431  - - -  - - -  75.9742 67.4797 70.7981 62.1559 - - - - - 69.0131 70.028 - - - - - 138 0 0 71 0 0 0 0
1704708900.547811000  1000.27 0 49.9956  -  nan  -0.100008 -0.0459297 0.185358  -0.100008 -0.0459297 0.185358  -0.772475 0.0344093 11.2058  -0.772475 0.0344093 11.2058  - - -  - - -  78.0361 68.8772 69.4109 62.6317 - - - - 76.0688 - - 62.1659 - - - - 138 0 0 71 0 0 0 0
1704708900.552811000  1000.27 0 49.9956  -  nan  0.135865 -0.160915 -0.111048  0.135865 -0.160915 -0.111048  0.282601 -0.150232 10.0904  0.282601 -0.150232 10.0904  - - -  - - -  75.2076 70.3621 68.7922 63.1924 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.557815000  1000.28 0 49.9956  -  nan  -0.0240346 0.116145 -0.0356479  -0.0240346 0.116145 -0.0356479  0.214602 0.220754 7.71868  0.214602 0.220754 7.71868  - - -  - - -  76.0623 66.9033 71.5294 62.6721 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.562811000  1000.28 0 49.9934  -  nan  -0.0712768 -0.0612556 0.187868  -0.0712768 -0.0612556 0.187868  -0.542575 -0.0118512 10.9835  -0.542575 -0.0118512 10.9835  - - -  - - -  77.8282 67.9907 70.2338 62.978 - - - - - 69.0131 68.6153 - - - - - 138 0 0 71 0 0 0 0
1704708900.567813000  1000.28 0 49.9957  -  nan  0.150922 -0.118507 -0.138713  0.150922 -0.118507 -0.138713  0.103633 -0.0501862 10.0226  0.103633 -0.0501862 10.0226  - - -  - - -  75.7401 69.8493 69.2806 63.7855 - - - - 76.0688 - - 62.9882 - - - - 138 0 0 71 0 0 0 0
1704708900.572810000  1000.28 0 49.9957  -  nan  0.0489179 0.0438182 -0.0552883  0.0489179 0.0438182 -0.0552883  0.159958 0.0630664 8.53094  0.159958 0.0630664 8.53094  - - -  - - -  76.8368 66.0173 72.0026 63.1044 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.577822000  1000.29 0 49.9957  -  nan  -0.0274693 -0.0331989 0.161708  -0.0274693 -0.0331989 0.161708  -0.26033 0.0484355 9.89699  -0.26033 0.0484355 9.89699  - - -  - - -  77.8837 66.6718 71.0128 63.4909 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
