# logged on Tue Nov 21 15:13:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700576024.283486000  1000.89 0 99.9988  -  nan  -0.0667986 0.00295108 0.0241819  -0.0667986 0.00295108 0.0241819  -0.129105 0.0932603 9.41968  -0.129105 0.0932603 9.41968  - - -  - - -  78.1048 79.36 80.1805 77.0179 - - - - 80.4376 - 79.1014 76.558 - - - - 139 146 134 70 0 0 0 0
1700576024.288494000  1000.89 0 99.9979  -  nan  0.0472622 -0.0383136 -0.000632298  0.0472622 -0.0383136 -0.000632298  0.0121339 -0.0461145 9.6628  0.0121339 -0.0461145 9.6628  - - -  - - -  78.2773 79.7101 79.9039 77.0572 - - - - - 79.3651 - - - - - - 139 146 134 70 0 0 0 0
1700576024.293500000  1000.89 0 99.9984  -  nan  -0.0800278 -0.122793 0.0136229  -0.0800278 -0.122793 0.0136229  0.0576765 -0.0943182 10.0116  0.0576765 -0.0943182 10.0116  - - -  - - -  78.1633 78.8142 80.0607 77.9204 - - - - 78.5793 - 79.8977 78.3208 - - - - 139 146 134 70 0 0 0 0
1700576024.298498000  1000.9 0 99.9984  -  nan  0.018833 -0.0106123 0.0119857  0.018833 -0.0106123 0.0119857  -0.129088 0.139323 9.58801  -0.129088 0.139323 9.58801  - - -  - - -  77.6676 79.2561 80.4249 77.4281 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1700576024.303486000  1000.9 0 99.9985  -  nan  0.0475776 -0.0946331 0.000890782  0.0475776 -0.0946331 0.000890782  0.153531 -0.187874 10.0208  0.153531 -0.187874 10.0208  - - -  - - -  78.1053 78.7375 80.2393 78.0233 - - - - 79.6305 79.6305 80.7103 77.5555 - - - - 139 146 134 70 0 0 0 0
1700576024.308500000  1000.9 0 99.9976  -  nan  -0.023926 -0.0673472 -0.000848728  -0.023926 -0.0673472 -0.000848728  -0.0837442 0.00137424 9.48624  -0.0837442 0.00137424 9.48624  - - -  - - -  77.6794 78.3599 80.6202 78.25 - - - - - 79.6305 - - - - - - 139 146 134 70 0 0 0 0
1700576024.313492000  1000.9 0 100.002  -  nan  0.10467 -0.0107267 -0.0290815  0.10467 -0.0107267 -0.0290815  0.014936 0.00161395 9.42908  0.014936 0.00161395 9.42908  - - -  - - -  77.9506 78.4336 80.7307 77.9849 - - - - 77.5555 - 79.3651 77.0535 - - - - 139 146 134 70 0 0 0 0
1700576024.318514000  1000.89 0 100.002  -  nan  -0.00956551 -0.0951233 -0.0136622  -0.00956551 -0.0951233 -0.0136622  0.200263 -0.235367 10.198  0.200263 -0.235367 10.198  - - -  - - -  78.3181 77.821 80.6349 78.4162 - - - - - 79.8977 - - - - - - 139 146 134 70 0 0 0 0
1700576024.323486000  1000.88 0 100.002  -  nan  0.0612353 0.00307466 -0.0153162  0.0612353 0.00307466 -0.0153162  -0.0817631 0.0927851 9.53475  -0.0817631 0.0927851 9.53475  - - -  - - -  78.0345 78.0067 80.9492 78.0663 - - - - 77.3036 - 80.1667 79.1014 - - - - 139 146 134 70 0 0 0 0
1700576024.328496000  1000.88 0 100.003  -  nan  0.0904733 -0.0380835 -3.19144e-05  0.0904733 -0.0380835 -3.19144e-05  0.155138 -0.14086 9.95969  0.155138 -0.14086 9.95969  - - -  - - -  78.4638 77.7857 80.6719 78.5784 - - - - - 77.5555 - - - - - - 139 146 134 70 0 0 0 0
1700576024.333493000  1000.88 0 100.001  -  nan  -0.0241457 -0.052341 0.0125076  -0.0241457 -0.052341 0.0125076  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  78.19 77.5163 80.7578 78.8431 - - - - 77.0535 - 80.7103 78.3208 - - - - 139 146 134 70 0 0 0 0
1700576024.338492000  1000.88 0 100  15.028  nan  0.0901579 0.018236 -0.00155499  0.0901579 0.018236 -0.00155499  -0.0302387 0.0942109 9.19093  -0.0302387 0.0942109 9.19093  - - -  - - -  77.9891 78.133 80.7522 78.4793 - - - - - 78.3208 - - - - - - 139 146 134 70 0 0 0 0
1700576024.343503000  1000.88 0 100.001  -  nan  0.0192022 -0.0522962 -0.000649155  0.0192022 -0.0522962 -0.000649155  0.20227 -0.188114 10.079  0.20227 -0.188114 10.079  - - -  - - -  78.4589 77.6573 80.4892 79.0373 - - - - 77.8089 - 80.4376 78.8395 - - - - 139 146 134 70 0 0 0 0
1700576024.348512000  1000.88 0 100  -  nan  0.0186725 0.0180415 0.0112108  0.0186725 0.0180415 0.0112108  -0.0829355 0.138137 9.87467  -0.0829355 0.138137 9.87467  - - -  - - -  78.1953 77.9551 80.6897 78.6436 - - - - - 77.8089 - - - - - - 139 146 134 70 0 0 0 0
1700576024.353483000  1000.88 0 100  -  nan  0.0610985 0.00325993 -0.00155909  0.0610985 0.00325993 -0.00155909  0.158774 -0.000526891 9.94689  0.158774 -0.000526891 9.94689  - - -  - - -  78.3741 78.0887 80.3379 78.7056 - - - - 77.8089 - 81.2612 77.8089 - - - - 139 146 134 70 0 0 0 0
1700576024.358487000  1000.87 0 99.9984  -  nan  -0.0662926 -0.0389181 -0.00221005  -0.0662926 -0.0389181 -0.00221005  0.111602 -0.0454036 9.49191  0.111602 -0.0454036 9.49191  - - -  - - -  78.5563 77.8761 80.2577 78.808 - - - - - 77.3036 - - - - - - 139 146 134 70 0 0 0 0
1700576024.363482000  1000.88 0 100  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.0305998 0.186101 9.58444  -0.0305998 0.186101 9.58444  - - -  - - -  78.4398 78.3511 80.4449 78.2421 - - - - 79.1014 - 80.9848 80.1667 - - - - 139 146 134 70 0 0 0 0
1700576024.368487000  1000.87 0 99.999  -  nan  -0.0523788 -0.0111774 -0.00276275  -0.0523788 -0.0111774 -0.00276275  0.201097 -0.142762 10.4189  0.201097 -0.142762 10.4189  - - -  - - -  78.9039 78.0053 80.2042 78.5022 - - - - - 76.0688 - - - - - - 139 146 134 70 0 0 0 0
1700576024.373484000  1000.88 0 100.002  -  nan  -0.0667448 0.0175867 0.010024  -0.0667448 0.0175867 0.010024  -0.0334019 0.138373 9.81815  -0.0334019 0.138373 9.81815  - - -  - - -  78.6385 78.5203 80.3123 77.9114 - - - - 79.3651 - 79.8977 79.3651 - - - - 139 146 134 70 0 0 0 0
