# logged on Fri Jan  5 14:24:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704461090.736119000  1001.38 0 50.0032  -  nan  -0.0251053 0.0616251 0.0215691  -0.0251053 0.0616251 0.0215691  0.157198 0.0569764 9.10081  0.157198 0.0569764 9.10081  - - -  - - -  77.1198 68.4911 70.6009 61.7941 - - - - 76.3126 69.8227 - - - - - - 139 0 134 70 0 0 0 0
1704461090.741128000  1001.38 0 50.0019  -  nan  -0.0103201 0.089381 0.00800175  -0.0103201 0.089381 0.00800175  -0.306765 0.0938752 10.2923  -0.306765 0.0938752 10.2923  - - -  - - -  77.433 68.9918 69.7712 62.3107 - - - - - - 70.8617 - - - - - 139 0 134 70 0 0 0 0
1704461090.746147000  1001.38 0 50.0019  -  nan  0.0624986 -0.027085 -0.0246545  0.0624986 -0.027085 -0.0246545  0.101232 -0.101737 10.1988  0.101232 -0.101737 10.1988  - - -  - - -  77.3462 68.8047 69.4006 62.5688 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.751116000  1001.38 0 50.0017  -  nan  0.0490191 0.130575 -0.0165881  0.0490191 0.130575 -0.0165881  0.438535 0.118278 8.01421  0.438535 0.118278 8.01421  - - -  - - -  77.1735 67.7273 70.2178 62.7572 - - - - - - - 61.5233 - - - - 139 0 134 70 0 0 0 0
1704461090.756128000  1001.38 0 50.0025  -  nan  -0.0257608 0.136369 0.115032  -0.0257608 0.136369 0.115032  -0.72475 0.0380697 10.8636  -0.72475 0.0380697 10.8636  - - -  - - -  78.396 68.1752 69.2294 63.155 - - - - 77.3036 67.8334 - - - - - - 139 0 134 70 0 0 0 0
1704461090.761111000  1001.38 0 50.0025  -  nan  0.135973 -0.0731452 -0.0723835  0.135973 -0.0731452 -0.0723835  0.144902 -0.153277 10.3744  0.144902 -0.153277 10.3744  - - -  - - -  77.566 69.2585 68.3378 63.3552 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.766126000  1001.37 0 50.0003  -  nan  0.0641063 0.128302 -0.0708356  0.0641063 0.128302 -0.0708356  0.576918 0.164937 8.29669  0.576918 0.164937 8.29669  - - -  - - -  77.0251 67.0386 70.111 63.742 - - - - - - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704461090.771125000  1001.38 0 50.0012  -  nan  -0.0408739 0.109698 0.155734  -0.0408739 0.109698 0.155734  -0.725734 -0.00941095 10.7538  -0.725734 -0.00941095 10.7538  - - -  - - -  78.7473 67.3556 69.3141 63.5424 - - - - - - - 63.4921 - - - - 139 0 134 70 0 0 0 0
1704461090.776124000  1001.37 0 50.0002  -  nan  0.209467 -0.118231 -0.121117  0.209467 -0.118231 -0.121117  0.100126 -0.104177 10.4272  0.100126 -0.104177 10.4272  - - -  - - -  76.9995 69.2875 68.2497 64.0813 - - - - 78.3208 67.2585 - - - - - - 139 0 134 70 0 0 0 0
1704461090.781140000  1001.38 0 49.9992  -  nan  0.0498322 0.172468 -0.0597785  0.0498322 0.172468 -0.0597785  0.439924 0.260103 8.68585  0.439924 0.260103 8.68585  - - -  - - -  77.0253 66.205 70.7268 64.0757 - - - - - - 69.4155 - - - - - 139 0 134 70 0 0 0 0
