# logged on Tue Jan  2 13:28:09 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198489.142825000  1001.04 0 49.9782  -  nan  -0.0692411 -0.037922 0.0356675  -0.0692411 -0.037922 0.0356675  -0.258023 0.146031 10.0598  -0.258023 0.146031 10.0598  - - -  - - -  79.389 66.4646 72.35 61.717 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.147822000  1001.04 0 49.9782  -  nan  -0.0254901 -0.0397455 -0.00206468  -0.0254901 -0.0397455 -0.00206468  0.290716 -0.0398205 9.05396  0.290716 -0.0398205 9.05396  - - -  - - -  78.9252 67.2028 72.2207 61.3526 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.152842000  1001.04 0 49.9782  -  nan  -0.0543103 0.0339348 0.0341469  -0.0543103 0.0339348 0.0341469  -0.436295 0.205507 9.14062  -0.436295 0.205507 9.14062  - - -  - - -  79.195 67.221 72.3008 61.6287 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.157820000  1001.04 0 49.9758  -  nan  -0.0406481 -0.0963358 0.026095  -0.0406481 -0.0963358 0.026095  -0.174432 -0.0106311 10.872  -0.174432 -0.0106311 10.872  - - -  - - -  79.7982 67.2625 71.7106 62.3062 - - - - 80.1667 67.4491 72.59 61.6827 - - - - 138 0 0 70 0 0 0 0
1704198489.162825000  1001.03 0 49.9758  -  nan  0.00395371 -0.0273605 -0.0422505  0.00395371 -0.0273605 -0.0422505  0.478055 0.0575811 9.04656  0.478055 0.0575811 9.04656  - - -  - - -  78.7213 66.8937 72.2776 62.2077 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.167816000  1001.03 0 49.9758  -  nan  -0.0979229 0.0788463 0.0839611  -0.0979229 0.0788463 0.0839611  -0.389123 0.207947 8.91261  -0.389123 0.207947 8.91261  - - -  - - -  79.9203 66.3014 72.1207 62.6537 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.172820000  1001.03 0 49.9758  -  nan  0.00297662 -0.068711 0.0145068  0.00297662 -0.068711 0.0145068  -0.406579 -0.0599472 10.9323  -0.406579 -0.0599472 10.9323  - - -  - - -  79.9942 67.8057 71.2215 62.8271 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.177814000  1001.04 0 49.9748  -  nan  0.00431923 0.000460928 -0.0568075  0.00431923 0.000460928 -0.0568075  0.294806 0.106076 9.15492  0.294806 0.106076 9.15492  - - -  - - -  79.1679 66.5913 72.1357 62.7846 - - - - 79.8977 67.4491 72.59 61.5233 - - - - 138 0 0 70 0 0 0 0
1704198489.182812000  1001.03 0 49.9748  -  nan  -0.0973302 0.0914012 0.0427652  -0.0973302 0.0914012 0.0427652  -0.115954 0.154572 9.26162  -0.115954 0.154572 9.26162  - - -  - - -  80.6108 65.9762 72.093 62.7581 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.187832000  1001.03 0 49.9748  -  nan  0.00348775 0.00321129 0.0119966  0.00348775 0.00321129 0.0119966  -0.449293 0.0380697 10.8656  -0.449293 0.0380697 10.8656  - - -  - - -  80.6028 67.3883 71.2962 62.7539 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.192823000  1001.03 0 49.9748  -  nan  -0.0251505 -0.0408689 -0.0301677  -0.0251505 -0.0408689 -0.0301677  0.152186 -0.044701 9.50966  0.152186 -0.044701 9.50966  - - -  - - -  79.919 66.5873 71.7749 62.9038 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.197812000  1001.03 0 49.9776  -  nan  -0.068566 0.033458 0.0195903  -0.068566 0.033458 0.0195903  0.162642 0.254002 9.2547  0.162642 0.254002 9.2547  - - -  - - -  80.3516 66.0197 71.9728 63.1659 - - - - 79.3651 68.0272 70.8617 63.6618 - - - - 138 0 0 70 0 0 0 0
1704198489.202814000  1001.03 0 49.9776  -  nan  -0.068894 0.0345427 0.0467243  -0.068894 0.0345427 0.0467243  -0.629305 0.0453799 10.1802  -0.629305 0.0453799 10.1802  - - -  - - -  80.4878 67.1894 71.3542 62.9706 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.207817000  1001.03 0 49.9776  -  nan  0.00324101 -0.127646 -0.0387503  0.00324101 -0.127646 -0.0387503  -0.130834 -0.153893 10.4299  -0.130834 -0.153893 10.4299  - - -  - - -  79.5894 67.2816 71.8246 63.0431 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.212815000  1001.03 0 49.9776  -  nan  -0.0540272 0.00293111 -0.00552881  -0.0540272 0.00293111 -0.00552881  0.440113 0.306774 8.96632  0.440113 0.306774 8.96632  - - -  - - -  79.3719 65.9406 73.2647 62.916 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.217814000  1001.03 0 49.9789  -  nan  -0.157274 0.0376909 0.10952  -0.157274 0.0376909 0.10952  -0.85897 0.0447751 10.2351  -0.85897 0.0447751 10.2351  - - -  - - -  80.3662 66.696 72.5087 62.7714 - - - - 80.9848 65.9544 70.4424 62.004 - - - - 138 0 0 70 0 0 0 0
1704198489.222814000  1001.03 0 49.9789  -  nan  0.0618975 -0.23142 -0.0864227  0.0618975 -0.23142 -0.0864227  -0.131661 -0.155718 10.6007  -0.131661 -0.155718 10.6007  - - -  - - -  79.0128 68.0532 72.105 63.0673 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.227813000  1001.03 0 49.9789  -  nan  -0.110956 0.0598103 -0.0396055  -0.110956 0.0598103 -0.0396055  0.304032 0.357698 8.84766  0.304032 0.357698 8.84766  - - -  - - -  78.4691 65.1576 74.6429 63.1217 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.232822000  1001.03 0 49.9789  -  nan  -0.12824 -0.00766445 0.0713495  -0.12824 -0.00766445 0.0713495  -0.636155 -0.106607 10.6491  -0.636155 -0.106607 10.6491  - - -  - - -  80.2265 66.506 73.1468 62.5207 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.237816000  1001.03 0 49.9793  -  nan  0.0768539 -0.203194 -0.113592  0.0768539 -0.203194 -0.113592  -0.0817377 -0.0526265 10.2496  -0.0817377 -0.0526265 10.2496  - - -  - - -  79.1933 67.9249 72.5897 62.7921 - - - - 79.6305 66.507 73.7137 63.8325 - - - - 138 0 0 70 0 0 0 0
1704198489.242815000  1001.03 0 49.9793  -  nan  -0.184551 0.0907144 0.00962291  -0.184551 0.0907144 0.00962291  0.164211 0.303718 9.25024  0.164211 0.303718 9.25024  - - -  - - -  78.9458 64.9067 74.9833 63.1488 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.247816000  1001.03 0 49.9793  -  nan  -0.185654 0.00623723 0.0533291  -0.185654 0.00623723 0.0533291  -0.304827 0.0981509 9.89218  -0.304827 0.0981509 9.89218  - - -  - - -  80.0023 67.2657 73.0089 62.4077 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
