# logged on Mon Dec  4 14:28:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701696481.985176000  1001.25 0 50.0014  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  0.244915 0.00399984 9.50595  0.244915 0.00399984 9.50595  - - -  - - -  75.0576 70.7829 73.9795 65.8134 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696481.990182000  1001.24 0 50.0023  -  nan  0.0928043 0.0594645 -0.0110737  0.0928043 0.0594645 -0.0110737  -0.0290952 0.0987557 9.83761  -0.0290952 0.0987557 9.83761  - - -  - - -  75.4214 70.9619 73.7102 65.6725 - - - - - - - 65.7722 - - - - 139 146 134 71 0 0 0 0
1701696481.995178000  1001.24 0 50.0009  -  nan  0.106889 -0.0131044 -0.02211  0.106889 -0.0131044 -0.02211  0.148594 -0.0526265 10.2513  0.148594 -0.0526265 10.2513  - - -  - - -  75.7945 70.4394 73.3067 66.08 - - - - - 72.1501 73.7137 - - - - - 139 146 134 71 0 0 0 0
1701696482.000186000  1001.23 0 50.0018  -  nan  0.0479032 -0.0264384 -0.011108  0.0479032 -0.0264384 -0.011108  0.15317 0.00277971 9.61945  0.15317 0.00277971 9.61945  - - -  - - -  75.3545 70.0918 73.5385 66.305 - - - - 74.8727 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.005182000  1001.22 0 50.0018  -  nan  0.107627 0.116126 -0.0120641  0.107627 0.116126 -0.0120641  -0.0301113 0.0502604 9.7279  -0.0301113 0.0502604 9.7279  - - -  - - -  75.5853 70.1507 73.5523 66.286 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.010186000  1001.22 0 50.0037  -  nan  0.135791 -0.0279596 -0.0332028  0.135791 -0.0279596 -0.0332028  0.237385 -0.104177 10.4282  0.237385 -0.104177 10.4282  - - -  - - -  76.1963 69.8603 72.7856 66.6232 - - - - - - - 65.4108 - - - - 139 146 134 71 0 0 0 0
1701696482.015185000  1001.22 0 50.002  -  nan  0.0771199 0.00121322 -0.0246548  0.0771199 0.00121322 -0.0246548  0.0642331 0.0551409 9.27189  0.0642331 0.0551409 9.27189  - - -  - - -  75.5954 69.0914 73.4747 66.6509 - - - - - 70.6514 73.4862 - - - - - 139 146 134 71 0 0 0 0
1701696482.020181000  1001.22 0 50.0038  -  nan  0.0931443 0.130916 1.83559e-05  0.0931443 0.130916 1.83559e-05  -0.0754355 0.0981509 9.89386  -0.0754355 0.0981509 9.89386  - - -  - - -  75.7241 69.3097 73.5951 66.5883 - - - - 75.3466 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.025255000  1001.21 0 50.0038  -  nan  0.106202 -0.0844456 -0.00506366  0.106202 -0.0844456 -0.00506366  0.327661 -0.0599472 10.9376  0.327661 -0.0599472 10.9376  - - -  - - -  76.154 69.308 72.8601 66.7491 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.030183000  1001.2 0 50.0044  -  nan  0.0481496 0.0318444 0.000443733  0.0481496 0.0318444 0.000443733  0.019736 0.104856 9.26709  0.019736 0.104856 9.26709  - - -  - - -  74.8116 68.6797 73.645 66.8492 - - - - - - - 65.7722 - - - - 139 146 134 71 0 0 0 0
