# logged on Wed Nov 29 16:43:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701272633.352064000  1000.64 0 100.006  -  nan  0.0480864 0.0465686 0.0135157  0.0480864 0.0465686 0.0135157  -0.0374297 -0.149012 9.97393  -0.0374297 -0.149012 9.97393  - - -  - - -  82.5083 81.5309 82.8412 81.4938 - - - - 80.4376 - 83.2501 - - - - - 139 0 134 71 0 0 0 0
1701272633.357084000  1000.63 0 100.007  -  nan  0.0919908 -0.0550034 -0.00707856  0.0919908 -0.0550034 -0.00707856  0.233599 -0.297543 9.93176  0.233599 -0.297543 9.93176  - - -  - - -  82.8751 80.8695 82.5188 82.0926 - - - - - 82.672 - 82.3859 - - - - 139 0 134 71 0 0 0 0
1701272633.362073000  1000.62 0 100.01  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  -0.0368767 -0.147792 9.85975  -0.0368767 -0.147792 9.85975  - - -  - - -  82.8716 80.6663 82.701 82.2067 - - - - 81.8197 - 83.5422 - - - - - 139 0 134 71 0 0 0 0
1701272633.367150000  1000.63 0 100.01  -  nan  0.107097 0.0162723 -0.0231353  0.107097 0.0162723 -0.0231353  0.194561 -0.145352 9.6331  0.194561 -0.145352 9.6331  - - -  - - -  83.4771 80.809 82.1768 82.0217 - - - - - 82.3859 - 81.8197 - - - - 139 0 134 71 0 0 0 0
1701272633.372085000  1000.63 0 100.014  -  nan  0.0481048 0.00192535 -0.0120979  0.0481048 0.00192535 -0.0120979  0.146372 -0.196287 9.7514  0.146372 -0.196287 9.7514  - - -  - - -  83.5808 80.2253 82.3943 82.392 - - - - 82.672 - 82.672 - - - - - 139 0 134 71 0 0 0 0
1701272633.377104000  1000.63 0 100.013  -  nan  0.0485528 0.0885718 -0.00153618  0.0485528 0.0885718 -0.00153618  0.0107587 -0.0980767 9.85563  0.0107587 -0.0980767 9.85563  - - -  - - -  83.9593 80.5511 81.862 82.1518 - - - - - 80.9848 - 82.3859 - - - - 139 0 134 71 0 0 0 0
1701272633.382101000  1000.63 0 100.014  -  nan  0.0765411 -0.0549332 -0.00813884  0.0765411 -0.0549332 -0.00813884  0.189211 -0.249663 10.0987  0.189211 -0.249663 10.0987  - - -  - - -  84.2693 80.3063 81.5637 82.5441 - - - - 84.4309 - 84.1326 - - - - - 139 0 134 71 0 0 0 0
1701272633.387102000  1000.63 0 100.016  -  nan  -0.0106856 0.0615596 0.0225587  -0.0106856 0.0615596 0.0225587  -0.0377037 -0.149617 10.0305  -0.0377037 -0.149617 10.0305  - - -  - - -  84.0072 80.484 81.6761 82.5468 - - - - - - - 81.5395 - - - - 139 0 134 71 0 0 0 0
1701272633.392096000  1000.62 0 100.013  -  nan  0.0921292 -0.0119155 0.0050035  0.0921292 -0.0119155 0.0050035  0.148958 -0.0980767 9.85664  0.148958 -0.0980767 9.85664  - - -  - - -  84.333 80.9137 80.9946 82.4006 - - - - 83.2501 80.1667 81.5395 - - - - - 139 0 134 71 0 0 0 0
1701272633.397083000  1000.6 0 100.012  -  nan  0.0185343 -0.0535864 0.0150368  0.0185343 -0.0535864 0.0150368  0.0573779 -0.0968566 9.74179  0.0573779 -0.0968566 9.74179  - - -  - - -  84.0305 80.5303 81.4593 82.7954 - - - - - 80.1667 - 82.672 - - - - 139 0 134 71 0 0 0 0
1701272633.402074000  1000.59 0 100.014  -  nan  0.0189374 0.00314107 0.0130568  0.0189374 0.00314107 0.0130568  -0.0356715 -0.0526265 10.2499  -0.0356715 -0.0526265 10.2499  - - -  - - -  83.9465 81.1035 81.4845 82.2802 - - - - 83.5422 - 81.8197 - - - - - 139 0 134 71 0 0 0 0
1701272633.407080000  1000.59 0 100.013  -  nan  0.047467 -0.113124 -0.0226388  0.047467 -0.113124 -0.0226388  0.100769 -0.149012 9.97494  0.100769 -0.149012 9.97494  - - -  - - -  83.9465 80.9073 81.5053 82.2768 - - - - - 80.4376 - 82.1018 - - - - 139 0 134 71 0 0 0 0
1701272633.412077000  1000.59 0 100.013  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  -0.125758 -0.0501862 10.0209  -0.125758 -0.0501862 10.0209  - - -  - - -  83.6037 80.9383 82.0465 82.1311 - - - - 85.034 - 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.417077000  1000.58 0 100.013  -  nan  0.0184519 -0.112411 -0.010082  0.0184519 -0.112411 -0.010082  0.05812 -0.0489661 9.90809  0.05812 -0.0489661 9.90809  - - -  - - -  83.7389 81.386 81.8165 81.8042 - - - - - - - 81.5395 - - - - 139 0 134 71 0 0 0 0
1701272633.422075000  1000.58 0 100.011  -  nan  -0.0548407 -0.111537 -0.00153363  -0.0548407 -0.111537 -0.00153363  -0.0342914 -0.0495815 9.965  -0.0342914 -0.0495815 9.965  - - -  - - -  83.1306 81.3461 82.4743 81.6823 - - - - 84.4309 80.7103 80.7103 - - - - - 139 0 134 71 0 0 0 0
1701272633.427098000  1000.57 0 100.011  -  nan  0.00303979 -0.0834352 0.0014348  0.00303979 -0.0834352 0.0014348  -0.0316484 0.00155959 9.73228  -0.0316484 0.00155959 9.73228  - - -  - - -  82.8733 81.9364 82.6379 81.1229 - - - - - 81.8197 - 82.1018 - - - - 139 0 134 71 0 0 0 0
1701272633.432089000  1000.57 0 100.011  -  nan  -0.0120926 -0.183656 0.00394541  -0.0120926 -0.183656 0.00394541  0.0102057 -0.0992969 9.9698  0.0102057 -0.0992969 9.9698  - - -  - - -  82.6474 81.7718 82.9906 81.3293 - - - - 83.5422 - 81.8197 - - - - - 139 0 134 71 0 0 0 0
1701272633.437088000  1000.58 0 100.011  -  nan  -0.0837433 -0.0966815 0.0095592  -0.0837433 -0.0966815 0.0095592  -0.173209 -0.0532418 10.3065  -0.173209 -0.0532418 10.3065  - - -  - - -  82.1606 82.4065 83.3527 80.744 - - - - - 82.672 - 81.2612 - - - - 139 0 134 71 0 0 0 0
1701272633.442079000  1000.57 0 100.01  -  nan  0.032562 -0.156036 -0.00757207  0.032562 -0.156036 -0.00757207  0.0583941 -0.0483613 9.8515  0.0583941 -0.0483613 9.8515  - - -  - - -  81.9962 82.7191 83.3381 80.4768 - - - - 84.1326 - 83.5422 - - - - - 139 0 134 71 0 0 0 0
1701272633.447080000  1000.57 0 100.01  -  nan  -0.0693612 -0.125653 -0.00202824  -0.0693612 -0.125653 -0.00202824  -0.0808209 -0.0968566 9.74078  -0.0808209 -0.0968566 9.74078  - - -  - - -  81.609 82.5975 83.8274 80.6836 - - - - - - - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.452062000  1000.56 0 100.008  -  nan  0.0186275 -0.112993 -0.024618  0.0186275 -0.112993 -0.024618  0.0144179 0.00155959 9.73261  0.0144179 0.00155959 9.73261  - - -  - - -  81.5777 83.058 83.9094 80.1635 - - - - 82.672 81.8197 83.5422 - - - - - 139 0 134 71 0 0 0 0
1701272633.457066000  1000.55 0 100.009  -  nan  -0.0115514 -0.156415 -0.0251476  -0.0115514 -0.156415 -0.0251476  0.100859 -0.195067 9.63689  0.100859 -0.195067 9.63689  - - -  - - -  81.3618 82.5824 84.3518 80.4369 - - - - - - - 79.8977 - - - - 139 0 134 71 0 0 0 0
1701272633.462059000  1000.53 0 100.005  -  nan  -0.0256989 -0.0691223 -0.00103937  -0.0256989 -0.0691223 -0.00103937  -0.0816479 -0.0986815 9.91154  -0.0816479 -0.0986815 9.91154  - - -  - - -  81.3601 83.0325 84.5457 79.9476 - - - - 82.672 83.8364 84.1326 - - - - - 139 0 134 71 0 0 0 0
1701272633.467136000  1000.52 0 100.006  -  nan  0.0913717 -0.142121 -0.00403798  0.0913717 -0.142121 -0.00403798  0.145545 -0.198112 9.92216  0.145545 -0.198112 9.92216  - - -  - - -  81.6794 83.0186 84.4091 79.9557 - - - - - 82.3859 - 80.1667 - - - - 139 0 134 71 0 0 0 0
1701272633.472069000  1000.5 0 100.005  -  nan  -0.0112791 -0.0691878 -4.97753e-05  -0.0112791 -0.0691878 -4.97753e-05  0.0536868 -0.197508 9.86489  0.0536868 -0.197508 9.86489  - - -  - - -  81.2575 82.792 84.6449 80.32 - - - - 82.1018 - 85.034 - - - - - 139 0 134 71 0 0 0 0
1701272633.477067000  1000.49 0 100.006  -  nan  0.106586 -0.05565 -0.020625  0.106586 -0.05565 -0.020625  0.104276 -0.0950211 9.57037  0.104276 -0.0950211 9.57037  - - -  - - -  81.6204 83.2217 84.0287 79.9713 - - - - - - - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.482059000  1000.48 0 100.001  -  nan  0.106202 -0.0844456 -0.00506366  0.106202 -0.0844456 -0.00506366  0.189853 -0.294498 9.64649  0.189853 -0.294498 9.64649  - - -  - - -  81.6344 82.4822 84.2077 80.5749 - - - - 80.7103 82.672 84.4309 - - - - - 139 0 134 71 0 0 0 0
1701272633.487066000  1000.47 0 100.002  -  nan  0.0769891 0.0317133 0.00242292  0.0769891 0.0317133 0.00242292  0.0541499 -0.150232 10.0888  0.0541499 -0.150232 10.0888  - - -  - - -  81.753 82.8082 84.0193 80.4277 - - - - - 83.5422 - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.492069000  1000.46 0 100.002  -  nan  0.165119 -0.0553357 -0.0020599  0.165119 -0.0553357 -0.0020599  0.233599 -0.297543 9.93176  0.233599 -0.297543 9.93176  - - -  - - -  82.14 82.7006 83.5659 80.5632 - - - - 82.1018 - 84.7314 - - - - - 139 0 134 71 0 0 0 0
1701272633.497068000  1000.45 0 100.003  -  nan  0.092338 0.0174612 0.00397818  0.092338 0.0174612 0.00397818  0.0511015 -0.295718 9.75965  0.0511015 -0.295718 9.75965  - - -  - - -  82.0562 82.3721 83.6898 80.8104 - - - - - 84.1326 - 78.5793 - - - - 139 0 134 71 0 0 0 0
1701272633.502059000  1000.44 0 100.001  -  nan  0.180327 0.0301218 -0.0186116  0.180327 0.0301218 -0.0186116  0.19327 -0.194452 9.57998  0.19327 -0.194452 9.57998  - - -  - - -  82.6407 82.6234 83.0308 80.4816 - - - - 80.9848 - 83.8364 - - - - - 139 0 134 71 0 0 0 0
1701272633.507066000  1000.45 0 100.004  -  nan  0.135761 0.0167223 -0.00662002  0.135761 0.0167223 -0.00662002  0.232304 -0.346654 9.87963  0.232304 -0.346654 9.87963  - - -  - - -  82.8021 82.0921 82.9699 80.9697 - - - - - 83.2501 - 80.4376 - - - - 139 0 134 71 0 0 0 0
1701272633.512080000  1000.46 0 100.002  -  nan  0.180655 0.101612 -0.00655042  0.180655 0.101612 -0.00655042  0.0992001 -0.198728 9.9794  0.0992001 -0.198728 9.9794  - - -  - - -  83.1095 82.3587 82.5246 80.6979 - - - - 80.7103 - 82.96 - - - - - 139 0 134 71 0 0 0 0
1701272633.517071000  1000.48 0 100.005  -  nan  0.282358 0.0149342 -0.0246858  0.282358 0.0149342 -0.0246858  0.324603 -0.344213 9.65195  0.324603 -0.344213 9.65195  - - -  - - -  83.491 81.9746 82.1837 81.0233 - - - - - 82.672 - 80.9848 - - - - 139 0 134 71 0 0 0 0
1701272633.522057000  1000.48 0 100.004  -  nan  0.180491 0.102155 0.00701657  0.180491 0.102155 0.00701657  0.0492583 -0.346038 9.82071  0.0492583 -0.346038 9.82071  - - -  - - -  83.4097 81.5486 82.2499 81.4231 - - - - 82.96 - 83.5422 - - - - - 139 0 134 71 0 0 0 0
1701272633.527066000  1000.47 0 100.007  -  nan  0.29664 0.0443558 0.00341694  0.29664 0.0443558 0.00341694  0.191701 -0.244167 9.58444  0.191701 -0.244167 9.58444  - - -  - - -  83.7265 81.8262 81.5823 81.2343 - - - - - 81.8197 - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.532068000  1000.46 0 100.007  -  nan  0.25328 0.0303705 0.000943133  0.25328 0.0303705 0.000943133  0.0953246 -0.346038 9.82105  0.0953246 -0.346038 9.82105  - - -  - - -  83.5315 81.1276 81.7895 81.9033 - - - - 82.672 - 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.537064000  1000.47 0 100.011  -  nan  0.282623 0.101149 0.000447432  0.282623 0.101149 0.000447432  0.0507376 -0.250268 10.1543  0.0507376 -0.250268 10.1543  - - -  - - -  83.5202 81.4131 81.6472 81.7366 - - - - - - - 80.1667 - - - - 139 0 134 71 0 0 0 0
1701272633.542088000  1000.47 0 100.006  -  nan  0.311754 -0.0282178 -0.00754859  0.311754 -0.0282178 -0.00754859  0.187457 -0.346038 9.82172  0.187457 -0.346038 9.82172  - - -  - - -  83.5719 80.9985 81.4539 81.9747 - - - - 82.672 83.2501 81.5395 - - - - - 139 0 134 71 0 0 0 0
1701272633.547087000  1000.46 0 100.009  -  nan  0.238897 0.0593421 0.0125306  0.238897 0.0593421 0.0125306  -0.040842 -0.249048 10.0394  -0.040842 -0.249048 10.0394  - - -  - - -  83.2534 81.0116 81.6938 81.923 - - - - - 81.5395 - 80.1667 - - - - 139 0 134 71 0 0 0 0
1701272633.552068000  1000.46 0 100.009  -  nan  0.326483 0.0152752 -0.00807929  0.326483 0.0152752 -0.00807929  0.0995688 -0.244167 9.58377  0.0995688 -0.244167 9.58377  - - -  - - -  83.4297 81.3449 81.3554 81.6511 - - - - 84.4309 - 81.8197 - - - - - 139 0 134 71 0 0 0 0
1701272633.557075000  1000.45 0 100.011  -  nan  0.223276 -0.0136334 -0.0141225  0.223276 -0.0136334 -0.0141225  0.0481524 -0.348479 10.0491  0.0481524 -0.348479 10.0491  - - -  - - -  83.2417 81.0967 81.6786 81.8216 - - - - - 81.2612 - 81.5395 - - - - 139 0 134 71 0 0 0 0
1701272633.562067000  1000.43 0 100.013  -  nan  0.296506 0.000216151 -0.00959883  0.296506 0.000216151 -0.00959883  0.00808364 -0.150232 10.0884  0.00808364 -0.150232 10.0884  - - -  - - -  83.1038 81.6179 81.7672 81.1396 - - - - 83.5422 - 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.567071000  1000.42 0 100.016  -  nan  0.296266 -0.0570536 -0.0211859  0.296266 -0.0570536 -0.0211859  0.0963407 -0.297543 9.93075  0.0963407 -0.297543 9.93075  - - -  - - -  82.993 81.3571 81.8533 81.3442 - - - - - - - 82.3859 - - - - 139 0 134 71 0 0 0 0
1701272633.572081000  1000.42 0 100.011  -  nan  0.252869 -0.0273699 0.0029584  0.252869 -0.0273699 0.0029584  -0.0851549 -0.152673 10.3161  -0.0851549 -0.152673 10.3161  - - -  - - -  82.5321 81.7577 82.1999 80.8628 - - - - 82.672 81.5395 81.8197 - - - - - 139 0 134 71 0 0 0 0
1701272633.577073000  1000.42 0 100.011  -  nan  0.354703 -0.071973 -0.00305952  0.354703 -0.071973 -0.00305952  0.0558088 -0.146572 9.74626  0.0558088 -0.146572 9.74626  - - -  - - -  82.1717 81.999 82.2774 80.5025 - - - - - 81.8197 - 82.672 - - - - 139 0 134 71 0 0 0 0
1701272633.582069000  1000.44 0 100.013  -  nan  0.208379 -0.0555323 0.000908887  0.208379 -0.0555323 0.000908887  0.00586712 -0.293883 9.58756  0.00586712 -0.293883 9.58756  - - -  - - -  81.6884 82.0518 82.6959 80.5154 - - - - 82.3859 - 81.8197 - - - - - 139 0 134 71 0 0 0 0
1701272633.587089000  1000.45 0 100.012  -  nan  0.295927 -0.0559302 0.00691715  0.295927 -0.0559302 0.00691715  0.0115906 -0.0962412 9.68387  0.0115906 -0.0962412 9.68387  - - -  - - -  81.6369 82.7916 82.54 79.7659 - - - - - 81.5395 - 82.1018 - - - - 139 0 134 71 0 0 0 0
1701272633.592074000  1000.46 0 100.015  -  nan  0.311067 -0.099559 0.00949772  0.311067 -0.099559 0.00949772  0.0971678 -0.295718 9.75999  0.0971678 -0.295718 9.75999  - - -  - - -  81.2941 82.7239 82.8697 79.9682 - - - - 80.4376 - 82.96 - - - - - 139 0 134 71 0 0 0 0
1701272633.597085000  1000.47 0 100.012  -  nan  0.25297 -0.013188 0.00246342  0.25297 -0.013188 0.00246342  -0.0374297 -0.149012 9.97393  -0.0374297 -0.149012 9.97393  - - -  - - -  81.1532 83.3526 82.9757 79.4486 - - - - - 83.8364 - 78.8395 - - - - 139 0 134 71 0 0 0 0
1701272633.602078000  1000.47 0 100.014  -  nan  0.39932 -0.0732589 -0.027154  0.39932 -0.0732589 -0.027154  0.100859 -0.195067 9.63689  0.100859 -0.195067 9.63689  - - -  - - -  81.1381 83.6197 82.9508 79.0789 - - - - 80.9848 - 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.607079000  1000.47 0 100.013  -  nan  0.296304 -0.0281476 -0.00860888  0.296304 -0.0281476 -0.00860888  0.00567805 -0.340553 9.30709  0.00567805 -0.340553 9.30709  - - -  - - -  80.9616 83.2274 83.3621 79.271 - - - - - 84.7314 - 80.4376 - - - - 139 0 134 71 0 0 0 0
1701272633.612085000  1000.47 0 100.017  -  nan  0.413987 -0.0150417 -0.0146127  0.413987 -0.0150417 -0.0146127  0.00927942 -0.193847 9.52204  0.00927942 -0.193847 9.52204  - - -  - - -  81.221 83.6846 83.0761 78.857 - - - - 81.2612 - 82.3859 79.3651 - - - - 139 0 134 71 0 0 0 0
1701272633.617088000  1000.48 0 100.011  -  nan  0.384737 -0.072651 -0.0145766  0.384737 -0.072651 -0.0145766  0.183798 -0.445675 9.94473  0.183798 -0.445675 9.94473  - - -  - - -  80.9604 83.2815 83.3898 79.3257 - - - - - 83.5422 - - - - - - 139 0 134 71 0 0 0 0
1701272633.622085000  1000.47 0 100.017  -  nan  0.385393 0.0433721 -0.00504018  0.385393 0.0433721 -0.00504018  0.00633027 -0.246608 9.81144  0.00633027 -0.246608 9.81144  - - -  - - -  80.6892 83.6147 83.4883 79.0646 - - - - 80.9848 - 82.672 80.1667 - - - - 139 0 134 71 0 0 0 0
1701272633.627084000  1000.47 0 100.012  -  nan  0.516119 -0.0160474 -0.0211819  0.516119 -0.0160474 -0.0211819  0.18939 -0.341773 9.42261  0.18939 -0.341773 9.42261  - - -  - - -  80.9116 83.5546 83.1787 79.1752 - - - - - 84.1326 - - - - - - 139 0 134 71 0 0 0 0
1701272633.632078000  1000.46 0 100.012  -  nan  0.428507 -0.000925352 -0.0141181  0.428507 -0.000925352 -0.0141181  0.0959994 -0.389859 9.36873  0.0959994 -0.389859 9.36873  - - -  - - -  80.5368 83.0604 83.5602 79.5501 - - - - 79.8977 - 83.5422 - - - - - 139 0 134 71 0 0 0 0
