# logged on Fri Jan  5 14:43:08 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704462188.889318000  1000.1 0 50.0034  -  nan  -0.0254212 0.135246 0.0869292  -0.0254212 0.135246 0.0869292  0.063959 0.0545361 9.32848  0.063959 0.0545361 9.32848  - - -  - - -  78.8344 66.6558 69.2779 63.6931 - - - - 75.5858 70.8617 69.0131 64.6998 - - - - 139 146 133 71 0 0 0 0
1704462188.894341000  1000.1 0 50.0034  -  nan  0.0766795 -0.0118453 0.00394321  0.0766795 -0.0118453 0.00394321  -0.495129 -0.00880619 10.6989  -0.495129 -0.00880619 10.6989  - - -  - - -  78.3986 68.2197 67.8898 64.4446 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.899330000  1000.1 0 50.0034  -  nan  0.136585 -0.0596161 -0.114584  0.136585 -0.0596161 -0.114584  0.46973 -0.0514064 10.1394  0.46973 -0.0514064 10.1394  - - -  - - -  77.3082 67.2644 69.0019 64.1576 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.904338000  1000.1 0 50.002  -  nan  -0.054537 0.121776 0.099981  -0.054537 0.121776 0.099981  -0.251198 0.207343 8.97021  -0.251198 0.207343 8.97021  - - -  - - -  77.9952 66.2124 69.4639 63.8603 - - - - 79.3651 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.909333000  1000.1 0 50.0025  -  nan  0.0321526 -0.0955835 0.0582476  0.0321526 -0.0955835 0.0582476  -0.727946 -0.0142915 11.2105  -0.727946 -0.0142915 11.2105  - - -  - - -  77.396 68.8885 67.673 64.5354 - - - - - 68.2221 69.4155 63.6618 - - - - 139 146 133 71 0 0 0 0
1704462188.914337000  1000.1 0 50.0025  -  nan  0.151005 -0.0596816 -0.113594  0.151005 -0.0596816 -0.113594  0.613934 0.0545361 9.3325  0.613934 0.0545361 9.3325  - - -  - - -  76.2947 66.7614 69.9329 63.9 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.919328000  1000.1 0 50.0025  -  nan  -0.0831377 0.106602 0.0703938  -0.0831377 0.106602 0.0703938  -0.0646503 0.260708 8.62557  -0.0646503 0.260708 8.62557  - - -  - - -  77.7632 65.9829 70.1614 63.4898 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.924339000  1000.1 0 50.0022  -  nan  0.0463067 -0.227481 0.00949477  0.0463067 -0.227481 0.00949477  -0.498878 -0.0623875 11.1599  -0.498878 -0.0623875 11.1599  - - -  - - -  76.6416 69.4126 68.0803 64.4281 - - - - 78.8395 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.929332000  1000.1 0 49.9999  -  nan  0.136741 -0.133746 -0.167311  0.136741 -0.133746 -0.167311  0.475016 0.0508758 9.67401  0.475016 0.0508758 9.67401  - - -  - - -  75.4937 67.9877 69.7878 64.0601 - - - - - 68.0272 69.8227 64.1766 - - - - 139 146 133 71 0 0 0 0
1704462188.934342000  1000.1 0 49.9999  -  nan  -0.143081 0.0528919 0.137149  -0.143081 0.0528919 0.137149  -0.299666 0.155792 9.1461  -0.299666 0.155792 9.1461  - - -  - - -  77.1659 65.9237 70.6776 63.4076 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
