# logged on Tue Dec  5 13:02:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777763.001588000  1000.47 0 100.007  -  nan  0.0477393 -0.025896 0.002459  0.0477393 -0.025896 0.002459  0.0182887 0.0101005 8.93341  0.0182887 0.0101005 8.93341  - - -  - - -  74.1356 68.5511 71.0738 69.9132 - - - - - - 70.6514 69.4155 - - - - 139 146 0 70 0 0 0 0
1701777763.006586000  1000.46 0 100.008  -  nan  0.120621 -0.0845112 -0.00407406  0.120621 -0.0845112 -0.00407406  0.0624844 0.0975355 9.95245  0.0624844 0.0975355 9.95245  - - -  - - -  74.7315 68.9525 70.7829 69.8574 - - - - 73.9426 69.2137 - - - - - - 139 146 0 70 0 0 0 0
1701777763.011578000  1000.47 0 100.007  -  nan  0.149637 -0.0852233 -0.0166309  0.149637 -0.0852233 -0.0166309  0.0602725 0.092655 10.4091  0.0602725 0.092655 10.4091  - - -  - - -  74.3977 68.1397 71.1302 70.2296 - - - - - - 70.6514 69.8227 - - - - 139 146 0 70 0 0 0 0
1701777763.016583000  1000.46 0 100.007  -  nan  0.0765155 -0.0113029 0.0175102  0.0765155 -0.0113029 0.0175102  0.0640809 0.00949572 8.99034  0.0640809 0.00949572 8.99034  - - -  - - -  74.3445 67.6518 71.1557 70.405 - - - - 74.4048 68.2221 - - - - - - 139 146 0 70 0 0 0 0
1701777763.021584000  1000.47 0 100.005  -  nan  0.164847 -0.0699883 0.0120374  0.164847 -0.0699883 0.0120374  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  74.3122 67.6076 71.1655 70.4096 - - - - - - 71.0732 70.2346 - - - - 139 146 0 70 0 0 0 0
1701777763.026623000  1000.46 0 100.005  -  nan  0.135142 -0.0703948 -0.00357944  0.135142 -0.0703948 -0.00357944  0.0616573 0.0957106 10.1232  0.0616573 0.0957106 10.1232  - - -  - - -  73.8049 66.8796 71.1829 71.4136 - - - - 74.638 67.6407 - - - - - - 139 146 0 70 0 0 0 0
1701777763.031582000  1000.47 0 100.006  -  nan  0.062159 -0.0259616 0.0034486  0.062159 -0.0259616 0.0034486  0.107935 0.00461521 9.44736  0.107935 0.00461521 9.44736  - - -  - - -  73.9347 67.1537 71.089 71.0805 - - - - - - 71.7154 70.2346 - - - - 139 146 0 70 0 0 0 0
1701777763.036569000  1000.46 0 100.006  -  nan  0.164955 -0.0547934 0.0115071  0.164955 -0.0547934 0.0115071  0.0169711 0.0987557 9.83795  0.0169711 0.0987557 9.83795  - - -  - - -  74.3731 67.788 70.8204 70.843 - - - - 73.0353 66.3218 - - - - - - 139 146 0 70 0 0 0 0
1701777763.041600000  1000.47 0 100.005  -  nan  0.106448 -0.0261629 0.00648807  0.106448 -0.0261629 0.00648807  0.0622103 0.0969308 10.009  0.0622103 0.0969308 10.009  - - -  - - -  74.2248 67.3793 70.9322 71.3085 - - - - - - 71.9321 71.5001 - - - - 139 146 0 70 0 0 0 0
1701777763.046575000  1000.46 0 100.005  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  0.110488 0.101811 9.55269  0.110488 0.101811 9.55269  - - -  - - -  74.3289 67.6463 70.7199 71.0099 - - - - 73.9426 67.2585 - - - - - - 139 146 0 70 0 0 0 0
