# logged on Wed Jan  3 14:53:02 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704289982.955080000  1000.85 0 49.9827  -  nan  -0.0545567 -0.024348 0.0225951  -0.0545567 -0.024348 0.0225951  -0.115256 -0.0270144 7.85265  -0.115256 -0.0270144 7.85265  - - -  - - -  77.8411 67.7267 71.3233 59.8952 - - - - - - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1704289982.960080000  1000.85 0 49.9834  -  nan  -0.011216 -0.083912 -0.0131218  -0.011216 -0.083912 -0.0131218  -0.211768 0.192701 10.3406  -0.211768 0.192701 10.3406  - - -  - - -  77.7364 67.7484 72.2106 61.0607 - - - - - - - 61.0501 - - - - 139 146 134 70 0 0 0 0
1704289982.965082000  1000.84 0 49.9837  -  nan  -0.127812 0.00543276 0.0437205  -0.127812 0.00543276 0.0437205  -0.0797601 0.181115 11.4258  -0.0797601 0.181115 11.4258  - - -  - - -  77.3201 67.6547 71.917 60.1908 - - - - 77.8089 65.591 - - - - - - 139 146 134 70 0 0 0 0
1704289982.970075000  1000.84 0 49.9837  -  nan  0.0034802 -0.0703767 -0.0271632  0.0034802 -0.0703767 -0.0271632  0.158821 -0.0300594 8.13959  0.158821 -0.0300594 8.13959  - - -  - - -  77.1809 68.0032 70.9581 59.753 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.975094000  1000.84 0 49.9833  -  nan  -0.0683645 0.0618217 0.0186003  -0.0683645 0.0618217 0.0186003  -0.198681 0.314084 8.27758  -0.198681 0.314084 8.27758  - - -  - - -  78.0171 67.5108 71.7224 60.8357 - - - - - - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1704289982.980094000  1000.84 0 49.985  -  nan  -0.0688124 -0.0248248 0.00803855  -0.0688124 -0.0248248 0.00803855  -0.322153 0.0136672 13.1501  -0.322153 0.0136672 13.1501  - - -  - - -  78.2389 68.4536 71.035 60.3144 - - - - - - - 59.8229 - - - - 139 146 134 70 0 0 0 0
1704289982.985091000  1000.84 0 49.9868  -  nan  0.0927967 -0.0141235 -0.0502336  0.0927967 -0.0141235 -0.0502336  0.389484 -0.0251789 7.68458  0.389484 -0.0251789 7.68458  - - -  - - -  77.6638 67.0442 70.9819 59.8002 - - - - 77.3036 68.0272 - - - - - - 139 146 134 70 0 0 0 0
1704289982.990088000  1000.84 0 49.9868  -  nan  -0.0683524 0.134358 0.0568264  -0.0683524 0.134358 0.0568264  -0.287585 0.367459 7.92993  -0.287585 0.367459 7.92993  - - -  - - -  78.9376 66.8377 71.0514 61.4051 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.995093000  1000.83 0 49.9871  -  nan  0.0475377 -0.0542598 0.00344896  0.0475377 -0.0542598 0.00344896  -0.237249 -0.23166 13.0587  -0.237249 -0.23166 13.0587  - - -  - - -  78.776 68.2818 70.2599 61.5227 - - - - - - 71.0732 - - - - - 139 146 134 70 0 0 0 0
1704289983.000091000  1000.83 0 49.9894  -  nan  0.12211 0.0287617 -0.0633416  0.12211 0.0287617 -0.0633416  0.345018 0.115222 8.29947  0.345018 0.115222 8.29947  - - -  - - -  78.2727 65.7933 70.9877 61.5892 - - - - - - - 60.4303 - - - - 139 146 134 70 0 0 0 0
1704289983.005089000  1000.82 0 49.9923  -  nan  -0.0251492 0.149899 0.0728319  -0.0251492 0.149899 0.0728319  -0.247885 0.214653 8.28618  -0.247885 0.214653 8.28618  - - -  - - -  79.5159 66.2129 70.7321 62.3437 - - - - 78.8395 68.4182 - - - - - - 139 146 134 70 0 0 0 0
1704289983.010093000  1000.82 0 49.9923  -  nan  0.12117 -0.0562578 -0.0332024  0.12117 -0.0562578 -0.0332024  -0.137654 -0.215194 11.5185  -0.137654 -0.215194 11.5185  - - -  - - -  79.1405 67.4192 70.1544 62.6904 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.015089000  1000.82 0 49.9931  -  nan  0.0932447 0.072523 -0.0396718  0.0932447 0.072523 -0.0396718  0.0214941 0.201242 9.54309  0.0214941 0.201242 9.54309  - - -  - - -  78.9913 64.962 70.9928 62.4667 - - - - - - 72.59 - - - - - 139 146 134 70 0 0 0 0
1704289983.020088000  1000.82 0 49.9938  -  nan  0.0187928 0.0772327 0.0648146  0.0187928 0.0772327 0.0648146  -0.0322014 0.000339461 9.84645  -0.0322014 0.000339461 9.84645  - - -  - - -  79.3722 65.5544 70.4361 62.3624 - - - - - - - 64.1766 - - - - 139 146 134 70 0 0 0 0
1704289983.025083000  1000.82 0 49.996  -  nan  0.0927336 0.00060068 -0.0371615  0.0927336 0.00060068 -0.0371615  -0.0768828 0.00339508 9.56019  -0.0768828 0.00339508 9.56019  - - -  - - -  79.0519 65.9656 69.9834 62.8777 - - - - 79.6305 66.3218 - - - - - - 139 146 134 70 0 0 0 0
1704289983.030080000  1000.83 0 49.996  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  -0.217019 0.181115 11.4248  -0.217019 0.181115 11.4248  - - -  - - -  79.2274 65.1432 70.3277 62.8025 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.035086000  1000.82 0 49.9954  -  nan  0.0623229 -0.0265039 -0.0101184  0.0623229 -0.0265039 -0.0101184  0.241166 -0.0495815 9.96701  0.241166 -0.0495815 9.96701  - - -  - - -  78.6357 64.9938 70.0886 61.8446 - - - - - - 71.286 - - - - - 139 146 134 70 0 0 0 0
1704289983.040078000  1000.82 0 49.9982  -  nan  -0.0106856 0.0615596 0.0225587  -0.0106856 0.0615596 0.0225587  -0.245948 0.218929 7.88608  -0.245948 0.218929 7.88608  - - -  - - -  79.0562 64.9675 70.0135 62.1316 - - - - 80.4376 - - 61.3648 - - - - 139 146 134 70 0 0 0 0
1704289983.045083000  1000.82 0 49.9983  -  nan  -0.0261276 -0.0822195 0.0265896  -0.0261276 -0.0822195 0.0265896  -0.315971 0.119814 12.5127  -0.315971 0.119814 12.5127  - - -  - - -  78.8891 66.0635 69.8391 62.2901 - - - - - 65.9544 - - - - - - 139 146 134 70 0 0 0 0
1704289983.050083000  1000.82 0 49.9983  -  nan  0.033148 -0.0988762 -0.0241234  0.033148 -0.0988762 -0.0241234  0.287154 0.0429396 10.4153  0.287154 0.0429396 10.4153  - - -  - - -  77.4801 65.0222 70.2507 61.2587 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.055090000  1000.82 0 49.9965  -  nan  -0.0837424 0.021511 0.0733636  -0.0837424 0.021511 0.0733636  -0.288975 0.225634 7.25829  -0.288975 0.225634 7.25829  - - -  - - -  77.849 65.2348 70.2405 61.1607 - - - - - - 69.0131 - - - - - 139 146 134 70 0 0 0 0
1704289983.060087000  1000.82 0 49.9969  -  nan  -0.0263108 -0.155226 0.00196586  -0.0263108 -0.155226 0.00196586  -0.360294 0.0774087 11.8328  -0.360294 0.0774087 11.8328  - - -  - - -  77.7168 66.5832 70.0889 61.5447 - - - - - - - 60.8939 - - - - 139 146 134 70 0 0 0 0
1704289983.065083000  1000.82 0 49.9985  -  nan  -0.0253969 -0.0991517 -0.0417195  -0.0253969 -0.0991517 -0.0417195  -0.029185 0.144811 10.1757  -0.029185 0.144811 10.1757  - - -  - - -  76.8027 64.9608 70.7771 60.674 - - - - 79.6305 65.9544 - - - - - - 139 146 134 70 0 0 0 0
1704289983.070103000  1000.83 0 49.9985  -  nan  -0.0697146 -0.0809382 0.0507548  -0.0697146 -0.0809382 0.0507548  -0.112362 0.162497 8.52  -0.112362 0.162497 8.52  - - -  - - -  76.9661 65.1938 70.7337 60.2655 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.075087000  1000.83 0 49.9976  -  nan  -0.0693236 -0.096747 0.0105488  -0.0693236 -0.096747 0.0105488  -0.210572 0.149086 9.77422  -0.210572 0.149086 9.77422  - - -  - - -  76.8282 65.962 70.8104 61.0839 - - - - - - 70.6514 - - - - - 139 146 134 70 0 0 0 0
1704289983.080087000  1000.83 0 49.9968  -  nan  -0.0982006 -0.125522 -0.00400744  -0.0982006 -0.125522 -0.00400744  -0.220157 0.0816845 11.4337  -0.220157 0.0816845 11.4337  - - -  - - -  76.4751 65.7727 70.8411 60.6181 - - - - - - - 61.207 - - - - 139 146 134 70 0 0 0 0
