# logged on Tue Nov  7 14:59:09 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699365549.221554000  1000.45 0 49.9902  -  nan  -0.0391496 0.114567 0.0077963  -0.0391496 0.114567 0.0077963  0.155578 -0.0484909 10.2375  0.155578 -0.0484909 10.2375  - - -  - - -  69.6608 67.1204 68.6828 67.2379 - - - - - - 69.0131 - - - - - 139 145 0 70 0 0 0 0
1699365549.226564000  1000.46 0 49.9902  -  nan  -0.0389947 0.0869009 0.00854448  -0.0389947 0.0869009 0.00854448  0.0580705 -0.0940826 9.95472  0.0580705 -0.0940826 9.95472  - - -  - - -  70.1104 68.1214 67.6801 66.4511 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.231545000  1000.47 0 49.9912  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  0.109201 -0.0928923 9.66776  0.109201 -0.0928923 9.66776  - - -  - - -  70.0706 67.9344 67.767 66.4359 - - - - 69.0131 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.236558000  1000.47 0 49.99  -  nan  -0.0247117 0.0729576 -0.00464307  -0.0247117 0.0729576 -0.00464307  0.158357 -0.0468295 9.83643  0.158357 -0.0468295 9.83643  - - -  - - -  69.6621 67.2046 68.5204 67.0924 - - - - - 66.8807 - 65.4108 - - - - 139 145 0 70 0 0 0 0
1699365549.241540000  1000.48 0 49.992  -  nan  -0.0388397 0.0592351 0.00929266  -0.0388397 0.0592351 0.00929266  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  70.0746 68.3028 67.7124 66.1946 - - - - - - 66.507 - - - - - 139 145 0 70 0 0 0 0
1699365549.246537000  1000.49 0 49.992  -  nan  0.0614677 -0.0384239 -0.0141939  0.0614677 -0.0384239 -0.0141939  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  69.8354 68.0207 67.9925 66.1183 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.251536000  1000.49 0 49.9938  -  nan  -0.0666855 0.0312343 -0.00410722  -0.0666855 0.0312343 -0.00410722  0.108406 -0.0933676 9.78248  0.108406 -0.0933676 9.78248  - - -  - - -  69.4785 67.3951 68.9182 66.4961 - - - - 69.2137 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.256539000  1000.49 0 49.994  -  nan  -0.0525393 0.0174764 -0.00353766  -0.0525393 0.0174764 -0.00353766  0.0077584 -0.0487306 10.2943  0.0077584 -0.0487306 10.2943  - - -  - - -  69.6115 68.3037 68.4879 65.7635 - - - - - 68.0272 - 65.7722 - - - - 139 145 0 70 0 0 0 0
1699365549.261547000  1000.49 0 49.9946  -  nan  0.0616463 -0.0945582 0.00108626  0.0616463 -0.0945582 0.00108626  0.0141013 -0.0909912 9.20816  0.0141013 -0.0909912 9.20816  - - -  - - -  69.0233 67.711 69.0629 66.0169 - - - - - - 67.6407 - - - - - 139 145 0 70 0 0 0 0
1699365549.266533000  1000.5 0 49.9946  -  nan  -0.0664294 -0.0387328 0.0115471  -0.0664294 -0.0387328 0.0115471  0.107611 -0.0938429 9.89721  0.107611 -0.0938429 9.89721  - - -  - - -  68.5746 67.7736 69.7022 66.4671 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.271538000  1000.5 0 49.9951  -  nan  0.00405106 -0.0385436 -0.00123268  0.00405106 -0.0385436 -0.00123268  -0.0413579 -0.0026636 10.4613  -0.0413579 -0.0026636 10.4613  - - -  - - -  68.5309 68.4981 69.2535 66.0205 - - - - 70.028 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.276616000  1000.51 0 49.9946  -  nan  0.0617238 -0.108391 0.00146035  0.0617238 -0.108391 0.00146035  0.0133228 -0.0454036 9.49121  0.0133228 -0.0454036 9.49121  - - -  - - -  68.1799 67.8495 69.6446 66.2414 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.281537000  1000.51 0 49.9948  -  nan  -0.0664057 -0.0672013 0.0260791  -0.0664057 -0.0672013 0.0260791  0.0584481 -0.13991 9.72953  0.0584481 -0.13991 9.72953  - - -  - - -  67.9403 68.0459 70.129 66.4741 - - - - - 67.8334 69.4155 66.507 - - - - 139 145 0 70 0 0 0 0
1699365549.286536000  1000.51 0 49.9948  -  nan  0.0334907 -0.0672275 -0.01381  0.0334907 -0.0672275 -0.01381  0.00538056 -0.0501523 10.6375  0.00538056 -0.0501523 10.6375  - - -  - - -  67.7888 68.6845 69.8343 66.0877 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.291535000  1000.51 0 49.9963  -  nan  0.0757744 -0.0808357 -0.0128495  0.0757744 -0.0808357 -0.0128495  0.0664371 -0.0430272 8.91793  0.0664371 -0.0430272 8.91793  - - -  - - -  67.6711 67.796 70.1505 66.3948 - - - - 69.0131 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.296546000  1000.51 0 49.996  -  nan  -0.0241457 -0.052341 0.0125076  -0.0241457 -0.052341 0.0125076  0.110767 -0.138009 9.27098  0.110767 -0.138009 9.27098  - - -  - - -  67.9229 67.7281 70.5292 66.8935 - - - - - 67.6407 - 65.7722 - - - - 139 145 0 70 0 0 0 0
1699365549.301538000  1000.51 0 49.9964  -  nan  0.047623 -0.0525302 -0.0287551  0.047623 -0.0525302 -0.0287551  0.00179997 -0.0522931 11.1542  0.00179997 -0.0522931 11.1542  - - -  - - -  67.8532 68.2957 70.4073 66.3179 - - - - - - 69.4155 - - - - - 139 145 0 70 0 0 0 0
1699365549.306535000  1000.51 0 49.9964  -  nan  0.118894 -0.0383175 -0.0281378  0.118894 -0.0383175 -0.0281378  0.119945 -0.0404152 8.28779  0.119945 -0.0404152 8.28779  - - -  - - -  67.9116 66.967 70.5361 66.7306 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.311537000  1000.51 0 49.9968  -  nan  -0.0523788 -0.0111774 -0.00276275  -0.0523788 -0.0111774 -0.00276275  0.10558 -0.187163 9.84887  0.10558 -0.187163 9.84887  - - -  - - -  68.4239 67.0991 70.79 67.0476 - - - - 68.2221 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.316534000  1000.51 0 49.9981  -  nan  0.00389612 -0.0108779 -0.00198086  0.00389612 -0.0108779 -0.00198086  0.0509396 -0.0522931 11.1546  0.0509396 -0.0522931 11.1546  - - -  - - -  68.2105 68.3266 70.2876 66.1634 - - - - - 67.6407 - - - - - - 139 145 0 70 0 0 0 0
1699365549.321539000  1000.51 0 49.9977  -  nan  0.104227 0.0183109 -0.00135952  0.104227 0.0183109 -0.00135952  0.164693 -0.0890942 8.7513  0.164693 -0.0890942 8.7513  - - -  - - -  67.9008 67.3682 70.0772 66.8478 - - - - - - 70.028 66.3218 - - - - 139 145 0 70 0 0 0 0
1699365549.326584000  1000.52 0 49.9977  -  nan  -0.0246935 0.0454772 0.00986223  -0.0246935 0.0454772 0.00986223  0.109161 -0.185022 9.33211  0.109161 -0.185022 9.33211  - - -  - - -  68.7193 67.8785 69.9843 67.2313 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.331535000  1000.52 0 49.9989  -  nan  0.0469286 0.0454864 -0.0166607  0.0469286 0.0454864 -0.0166607  0.046571 -0.0549051 11.7851  0.046571 -0.0549051 11.7851  - - -  - - -  68.821 68.517 69.7463 66.7438 - - - - 67.8334 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.336552000  1000.53 0 49.9999  -  nan  0.104054 0.0734571 -0.016613  0.104054 0.0734571 -0.016613  0.117561 -0.0418411 8.63196  0.117561 -0.0418411 8.63196  - - -  - - -  68.6747 67.6948 69.551 66.4161 - - - - - 68.4182 - 66.6933 - - - - 139 145 0 70 0 0 0 0
1699365549.341547000  1000.54 0 49.9999  -  nan  -0.0107797 0.0732178 0.00930952  -0.0107797 0.0732178 0.00930952  0.207039 -0.185262 9.39067  0.207039 -0.185262 9.39067  - - -  - - -  69.5966 67.8895 69.6639 66.9002 - - - - - - 70.2346 - - - - - 139 145 0 70 0 0 0 0
1699365549.346548000  1000.54 0 49.9999  -  nan  0.0324133 0.100928 -0.00459539  0.0324133 0.100928 -0.00459539  0.0481773 -0.0078917 11.7239  0.0481773 -0.0078917 11.7239  - - -  - - -  69.5699 68.6548 69.2955 66.4257 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.351547000  1000.55 0 49.9999  -  nan  0.0465413 0.114651 -0.0185311  0.0465413 0.114651 -0.0185311  0.16311 -0.0900406 8.97976  0.16311 -0.0900406 8.97976  - - -  - - -  69.403 68.2975 68.9962 66.0996 - - - - 69.2137 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.356545000  1000.55 0 49.9988  -  nan  -0.0107204 0.0868654 -0.00482168  -0.0107204 0.0868654 -0.00482168  0.215005 -0.134446 8.41174  0.215005 -0.134446 8.41174  - - -  - - -  70.129 68.6604 69.2672 66.375 - - - - - 69.4155 - 67.8334 - - - - 139 145 0 70 0 0 0 0
1699365549.361552000  1000.55 0 50  -  nan  0.0324726 0.114576 -0.0187266  0.0324726 0.114576 -0.0187266  -0.00175724 -0.00836698 11.8383  -0.00175724 -0.00836698 11.8383  - - -  - - -  69.9658 69.2341 69.2824 65.7444 - - - - - - 68.2221 - - - - - 139 145 0 70 0 0 0 0
1699365549.366550000  1000.55 0 50  -  nan  0.046482 0.101003 -0.00439992  0.046482 0.101003 -0.00439992  0.111586 -0.0914665 9.32358  0.111586 -0.0914665 9.32358  - - -  - - -  69.7221 68.5981 69.0537 65.6681 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.371547000  1000.55 0 50.001  -  nan  -0.0106248 0.0455521 0.0100577  -0.0106248 0.0455521 0.0100577  0.21262 -0.135872 8.75592  0.21262 -0.135872 8.75592  - - -  - - -  69.8418 69.0401 69.3876 65.9235 - - - - 69.8227 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.376544000  1000.55 0 50.0009  15.996  nan  0.0323539 0.0872807 0.00953581  0.0323539 0.0872807 0.00953581  -0.00217462 -0.0546696 11.7279  -0.00217462 -0.0546696 11.7279  - - -  - - -  69.4311 69.6426 69.6188 65.6408 - - - - - 69.4155 - - - - - - 139 145 0 70 0 0 0 0
1699365549.381557000  1000.55 0 49.998  -  nan  0.0748337 0.0871348 -0.017392  0.0748337 0.0871348 -0.017392  0.112357 -0.137058 9.04153  0.112357 -0.137058 9.04153  - - -  - - -  69.3558 69.0382 69.3172 65.7046 - - - - - - 67.8334 66.3218 - - - - 139 145 0 70 0 0 0 0
