# logged on Tue Nov  7 15:17:06 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699366626.242471000  1000 0 50.0446  -  nan  -0.00104392 0.116588 -0.0186553  -0.00104392 0.116588 -0.0186553  -0.74073 1.54606 7.93157  -0.74073 1.54606 7.93157  - - -  - - -  68.0822 68.3775 68.2535 67.4453 - - - - 67.0781 69.2137 69.6185 68.6153 - - - - 0 0 0 0 0 0 0 0
1699366626.247478000  1000 0 50.0446  -  nan  -0.0103542 0.104702 0.118208  -0.0103542 0.104702 0.118208  0.261978 -1.83291 6.51087  0.261978 -1.83291 6.51087  - - -  - - -  68.3383 69.2231 69.45 66.5236 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.252507000  1000 0 50.0446  -  nan  0.0180044 0.135791 -0.00738533  0.0180044 0.135791 -0.00738533  2.17189 0.43533 13.459  2.17189 0.43533 13.459  - - -  - - -  67.4976 69.4517 69.2955 68.4065 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.257506000  1000.01 0 50.0446  -  nan  0.0292767 0.153771 0.0331332  0.0292767 0.153771 0.0331332  -1.62035 0.630942 12.0049  -1.62035 0.630942 12.0049  - - -  - - -  68.9049 69.3506 69.3652 66.946 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.262491000  1000.01 0 50.0495  -  nan  0.00668682 0.106477 0.126255  0.00668682 0.106477 0.126255  -0.137942 -1.823 7.4267  -0.137942 -1.823 7.4267  - - -  - - -  68.3187 69.7674 69.9998 66.4888 - - - - 69.2137 70.2445 69.2137 66.3218 - - - - 0 0 0 0 0 0 0 0
1699366626.267486000  1000.01 0 50.0495  -  nan  0.0254702 0.130963 -0.0558502  0.0254702 0.130963 -0.0558502  1.50086 1.59493 10.494  1.50086 1.59493 10.494  - - -  - - -  67.1322 69.9755 69.8652 68.0955 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.272486000  1000 0 50.0495  -  nan  0.0626811 0.164618 0.00503222  0.0626811 0.164618 0.00503222  -1.51905 0.866343 10.3527  -1.51905 0.866343 10.3527  - - -  - - -  68.5271 69.8427 70.3763 66.5572 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.277480000  1000 0 50.0495  -  nan  0.0536484 0.157579 0.110873  0.0536484 0.157579 0.110873  1.38192 -1.56832 7.75104  1.38192 -1.56832 7.75104  - - -  - - -  67.5723 70.0097 70.7934 66.3814 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.282470000  1000.01 0 50.0561  -  nan  0.0625778 0.164031 -0.0384167  0.0625778 0.164031 -0.0384167  1.67999 1.47378 11.6027  1.67999 1.47378 11.6027  - - -  - - -  66.869 70.2426 70.3788 68.2329 - - - - 67.6407 69.8227 71.5001 67.6407 - - - - 0 0 0 0 0 0 0 0
1699366626.287485000  1000.01 0 50.0561  -  nan  0.100377 0.215581 0.0607419  0.100377 0.215581 0.0607419  -1.65868 -0.559613 12.5051  -1.65868 -0.559613 12.5051  - - -  - - -  68.2811 70.0115 70.1369 66.7028 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
