# logged on Mon Nov 13 16:50:43 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890643.677471000  999.899 0 100.01  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.132676 0.000898956 9.60063  -0.132676 0.000898956 9.60063  - - -  - - -  71.0215 69.9231 69.3075 66.2117 - - - - 72.1501 - 68.0272 66.3218 - - - - 139 146 134 71 0 0 0 0
1699890643.682472000  999.901 0 100.005  -  nan  -0.0100951 -0.0247856 -0.00180224  -0.0100951 -0.0247856 -0.00180224  0.0156911 -0.0900406 8.97871  0.0156911 -0.0900406 8.97871  - - -  - - -  71.4459 69.6331 68.8938 66.5445 - - - - - 70.2346 - - - - - - 139 146 134 71 0 0 0 0
1699890643.687549000  999.901 0 100.005  -  nan  0.0618843 -0.137045 0.00223525  0.0618843 -0.137045 0.00223525  0.00817304 0.0877967 10.7396  0.00817304 0.0877967 10.7396  - - -  - - -  71.3497 70.1035 69.3323 66.5908 - - - - 72.1501 70.8617 68.8137 65.591 - - - - 139 146 134 71 0 0 0 0
1699890643.692485000  999.898 0 100.005  -  nan  0.0184583 0.0320596 0.0245938  0.0184583 0.0320596 0.0245938  -0.085728 0.000188099 9.77256  -0.085728 0.000188099 9.77256  - - -  - - -  70.5018 69.3819 69.6687 66.8068 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.697480000  999.893 0 100.009  -  nan  0.0334314 -0.0808751 0.000321219  0.0334314 -0.0808751 0.000321219  0.0133064 -0.0914665 9.32288  0.0133064 -0.0914665 9.32288  - - -  - - -  70.8583 69.8041 68.9499 66.8063 - - - - 72.1501 - 69.2137 66.6933 - - - - 139 146 134 71 0 0 0 0
1699890643.702478000  999.894 0 100.004  -  nan  0.0478693 -0.122484 -0.0121182  0.0478693 -0.122484 -0.0121182  0.0081895 0.13386 10.9079  0.0081895 0.13386 10.9079  - - -  - - -  70.2206 69.6332 69.9655 66.9998 - - - - - 69.2137 - - - - - - 139 146 134 71 0 0 0 0
1699890643.707487000  999.894 0 100.008  -  nan  -0.0106248 0.0455521 0.0100577  -0.0106248 0.0455521 0.0100577  -0.0821543 0.0023248 9.25679  -0.0821543 0.0023248 9.25679  - - -  - - -  69.7965 69.323 70.057 66.7021 - - - - 70.4424 - 69.8227 65.9544 - - - - 139 146 134 71 0 0 0 0
1699890643.712484000  999.895 0 100.002  -  nan  0.0618606 -0.108576 -0.0122968  0.0618606 -0.108576 -0.0122968  0.00972578 -0.0936073 9.83965  0.00972578 -0.0936073 9.83965  - - -  - - -  70.8419 70.0128 69.2165 66.6084 - - - - - 70.4424 - - - - - - 139 146 134 71 0 0 0 0
1699890643.717484000  999.891 0 100.001  -  nan  0.019646 -0.0813338 -0.0283711  0.019646 -0.0813338 -0.0283711  0.0561169 0.0870817 10.9125  0.0561169 0.0870817 10.9125  - - -  - - -  70.4158 69.568 70.0889 66.8192 - - - - 70.6514 69.6185 70.2346 67.4491 - - - - 139 146 134 71 0 0 0 0
1699890643.722480000  999.893 0 100.001  -  nan  -0.024771 0.05931 0.00948814  -0.024771 0.05931 0.00948814  -0.078188 0.0498094 8.85157  -0.078188 0.0498094 8.85157  - - -  - - -  70.0462 69.5814 70.0682 66.3092 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.727488000  999.89 0 100.006  -  nan  0.0618606 -0.108576 -0.0122968  0.0618606 -0.108576 -0.0122968  0.0588888 -0.0475403 10.0073  0.0588888 -0.0475403 10.0073  - - -  - - -  70.9594 70.2366 69.3816 66.1531 - - - - 70.028 - 69.2137 66.6933 - - - - 139 146 134 71 0 0 0 0
1699890643.732471000  999.891 0 100  -  nan  -0.0241046 -0.0112129 -0.0161289  -0.0241046 -0.0112129 -0.0161289  0.00856705 0.0880322 10.6827  0.00856705 0.0880322 10.6827  - - -  - - -  70.3717 69.5737 70.2376 66.4026 - - - - - 70.2346 - - - - - - 139 146 134 71 0 0 0 0
1699890643.737486000  999.891 0 100.006  -  nan  -0.0389172 0.073068 0.00891857  -0.0389172 0.073068 0.00891857  0.0193046 0.00422593 8.79859  0.0193046 0.00422593 8.79859  - - -  - - -  70.4065 69.8581 69.7457 65.6875 - - - - 70.4424 - 69.6185 66.3218 - - - - 139 146 134 71 0 0 0 0
1699890643.742487000  999.893 0 100.001  -  nan  0.0617056 -0.0809106 -0.0130449  0.0617056 -0.0809106 -0.0130449  0.0600777 -0.0468295 9.83573  0.0600777 -0.0468295 9.83573  - - -  - - -  71.2487 70.3494 69.3228 65.8884 - - - - - 70.028 - - - - - - 139 146 134 71 0 0 0 0
1699890643.747491000  999.891 0 100.008  -  nan  -0.0387804 0.0728827 -0.00483854  -0.0387804 0.0728827 -0.00483854  0.0105509 0.0892184 10.3964  0.0105509 0.0892184 10.3964  - - -  - - -  70.6249 69.8723 70.088 66.1501 - - - - 70.6514 - 70.4424 66.8807 - - - - 139 146 134 71 0 0 0 0
1699890643.752471000  999.893 0 100.004  -  nan  -0.0388579 0.0867156 -0.00521263  -0.0388579 0.0867156 -0.00521263  0.0684443 0.00422593 8.79894  0.0684443 0.00422593 8.79894  - - -  - - -  71.4298 70.4192 68.8068 65.6936 - - - - - 70.2346 - - - - - - 139 146 134 71 0 0 0 0
1699890643.757475000  999.89 0 100.006  -  nan  0.075459 -0.0245162 -0.0143726  0.075459 -0.0245162 -0.0143726  0.0640757 0.00161395 9.42943  0.0640757 0.00161395 9.42943  - - -  - - -  72.0879 70.8176 68.5853 65.8488 - - - - 71.0732 69.2137 70.4424 66.507 - - - - 139 146 134 71 0 0 0 0
1699890643.762470000  999.887 0 100.006  -  nan  -0.0391496 0.114567 0.0077963  -0.0391496 0.114567 0.0077963  0.0105592 0.0441102 10.228  0.0105592 0.0441102 10.228  - - -  - - -  71.4107 69.9378 69.3835 66.2423 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.767493000  999.881 0 100.009  -  nan  -0.0390721 0.100734 0.00817039  -0.0390721 0.100734 0.00817039  0.0656655 0.00256451 9.19998  0.0656655 0.00256451 9.19998  - - -  - - -  71.9714 70.4065 68.3801 65.7374 - - - - 70.2346 70.8617 69.2137 66.1376 - - - - 139 146 134 71 0 0 0 0
1699890643.772493000  999.878 0 100.009  -  nan  0.132447 0.00363975 -0.000567763  0.132447 0.00363975 -0.000567763  0.111215 0.0906442 10.0529  0.111215 0.0906442 10.0529  - - -  - - -  72.1855 70.5996 68.4385 66.0424 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
