    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 3.4700000  -0.2969390   0.4452620   1.2569400   0.0000000   0.0000000  -0.6196850   1.0366700  -0.4983380   0.0381604   0.0000000   0.0000000   0.0000000  -0.0016590  -0.0006154   0.0000000   0.0000000   0.0000000   0.0000000
 3.4750000  -0.2917560   0.4427700   1.2571300   0.0000000   0.0000000  -0.6210000   1.0366600  -0.4983400   0.0381604   0.0000000   0.0000000   0.0000000  -0.0026948  -0.0001857   0.0000000   0.0000000   0.0000000   0.0000000
 3.4800000  -0.2865730   0.4402780   1.2573200   0.0000000   0.0000000  -0.6223090   1.0366400  -0.4983400   0.0381604   0.0000000   0.0000000   0.0000000  -0.0039806  -0.0000060   0.0000000   0.0000000   0.0000000   0.0000000
 3.4850000  -0.2813890   0.4377870   1.2575100   0.0000000   0.0000000  -0.6236110   1.0366200  -0.4983400   0.0381604   0.0000000   0.0000000   0.0000000  -0.0055163   0.0000740   0.0000000   0.0000000   0.0000000   0.0000000
 3.4900000  -0.2762060   0.4352950   1.2577000   0.0000000   0.0000000  -0.6249070   1.0365900  -0.4983390   0.0381604   0.0000000   0.0000000   0.0000000  -0.0073021   0.0003913   0.0000000   0.0000000   0.0000000   0.0000000
 3.4950000  -0.2710240   0.4328030   1.2578900   0.0000000   0.0000000  -0.6261970   1.0365500  -0.4983360   0.0381604   0.0000000   0.0000000   0.0000000  -0.0093379   0.0009586   0.0000000   0.0000000   0.0000000   0.0000000
 3.5000000  -0.2658410   0.4303120   1.2580800   0.0000000   0.0000000  -0.6274810   1.0364900  -0.4983290   0.0381604   0.0000000   0.0000000   0.0000000  -0.0116237   0.0017759   0.0000000   0.0000000   0.0000000   0.0000000
 3.5050000  -0.2606590   0.4278200   1.2582700   0.0000000   0.0000000  -0.6287580   1.0364300  -0.4983170   0.0381604   0.0000000   0.0000000   0.0000000  -0.0141594   0.0028432   0.0000000   0.0000000   0.0000000   0.0000000
 3.5100000  -0.2554770   0.4253280   1.2584700   0.0000000   0.0000000  -0.6300300   1.0363500  -0.4983000   0.0381604   0.0000000   0.0000000   0.0000000  -0.0169452   0.0041605   0.0000000   0.0000000   0.0000000   0.0000000
 3.5150000  -0.2502950   0.4228370   1.2586600   0.0000000   0.0000000  -0.6312940   1.0362600  -0.4982750   0.0381604   0.0000000   0.0000000   0.0000000  -0.0199810   0.0057278   0.0000000   0.0000000   0.0000000   0.0000000
 3.5200000  -0.2451140   0.4203460   1.2588500   0.0000000   0.0000000  -0.6325530   1.0361500  -0.4982420   0.0381604   0.0000000   0.0000000   0.0000000  -0.0232667   0.0075451   0.0000000   0.0000000   0.0000000   0.0000000
 3.5250000  -0.2399340   0.4178550   1.2590400   0.0000000   0.0000000  -0.6338060   1.0360300  -0.4981990   0.0381604   0.0000000   0.0000000   0.0000000  -0.0268025   0.0096124   0.0000000   0.0000000   0.0000000   0.0000000
 3.5300000  -0.2347540   0.4153640   1.2592300   0.0000000   0.0000000  -0.6350520   1.0358800  -0.4981460   0.0381604   0.0000000   0.0000000   0.0000000  -0.0305883   0.0119298   0.0000000   0.0000000   0.0000000   0.0000000
 3.5350000  -0.2295750   0.4128730   1.2594200   0.0000000   0.0000000  -0.6362920   1.0357200  -0.4980800   0.0381604   0.0000000   0.0000000   0.0000000  -0.0346241   0.0144971   0.0000000   0.0000000   0.0000000   0.0000000
 3.5400000  -0.2243970   0.4103830   1.2596100   0.0000000   0.0000000  -0.6375250   1.0355400  -0.4980000   0.0381604   0.0000000   0.0000000   0.0000000  -0.0389098   0.0173144   0.0000000   0.0000000   0.0000000   0.0000000
 3.5450000  -0.2192190   0.4078930   1.2598000   0.0000000   0.0000000  -0.6387530   1.0353300  -0.4979060   0.0381604   0.0000000   0.0000000   0.0000000  -0.0434456   0.0203817   0.0000000   0.0000000   0.0000000   0.0000000
 3.5500000  -0.2140430   0.4054040   1.2599900   0.0000000   0.0000000  -0.6399740   1.0351000  -0.4977960   0.0381604   0.0000000   0.0000000   0.0000000  -0.0482314   0.0236990   0.0000000   0.0000000   0.0000000   0.0000000
 3.5550000  -0.2088690   0.4029150   1.2601800   0.0000000   0.0000000  -0.6411890   1.0348500  -0.4976690   0.0381604   0.0000000   0.0000000   0.0000000  -0.0532672   0.0272663   0.0000000   0.0000000   0.0000000   0.0000000
 3.5600000  -0.2036950   0.4004270   1.2603700   0.0000000   0.0000000  -0.6423980   1.0345700  -0.4975230   0.0381604   0.0000000   0.0000000   0.0000000  -0.0585529   0.0310836   0.0000000   0.0000000   0.0000000   0.0000000
 3.5650000  -0.1985230   0.3979400   1.2605600   0.0000000   0.0000000  -0.6436000   1.0342600  -0.4973580   0.0381604   0.0000000   0.0000000   0.0000000  -0.0640887   0.0351509   0.0000000   0.0000000   0.0000000   0.0000000
 3.5700000  -0.1933520   0.3954540   1.2607600   0.0000000   0.0000000  -0.6447960   1.0339300  -0.4971710   0.0381604   0.0000000   0.0000000   0.0000000  -0.0698745   0.0394682   0.0000000   0.0000000   0.0000000   0.0000000
