# logged on Tue Jan  2 13:31:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198711.613731000  1000.03 0 100.016  -  nan  -0.068856 0.136024 0.0984965  -0.068856 0.136024 0.0984965  0.116392 0.207343 8.9729  0.116392 0.207343 8.9729  - - -  - - -  78.8675 66.7166 73.2605 63.6291 - - - - 78.064 - 73.4862 - - - - - 139 145 0 70 0 0 0 0
1704198711.618734000  1000.03 0 100.017  -  nan  0.0914541 -0.0832954 0.0210807  0.0914541 -0.0832954 0.0210807  -0.542921 -0.104177 10.4225  -0.542921 -0.104177 10.4225  - - -  - - -  78.9572 68.8287 71.602 63.5528 - - - - - 69.0131 - 62.1659 - - - - 139 145 0 70 0 0 0 0
1704198711.623739000  1000.03 0 100.018  -  nan  0.149964 -0.0863079 -0.0437649  0.149964 -0.0863079 -0.0437649  0.10455 -0.0944164 9.51378  0.10455 -0.0944164 9.51378  - - -  - - -  77.6257 67.1794 72.9836 64.5877 - - - - 78.5793 - 73.2601 - - - - - 139 145 0 70 0 0 0 0
1704198711.628737000  1000.03 0 100.017  -  nan  -0.0111143 0.0484624 0.0501877  -0.0111143 0.0484624 0.0501877  0.248853 0.104252 9.32535  0.248853 0.104252 9.32535  - - -  - - -  78.3554 66.728 73.0589 64.5891 - - - - - 68.0272 - 63.6618 - - - - 139 145 0 70 0 0 0 0
1704198711.633733000  1000.03 0 100.017  -  nan  0.0760868 -0.0244001 0.0451392  0.0760868 -0.0244001 0.0451392  -0.488152 0.0981509 9.89084  -0.488152 0.0981509 9.89084  - - -  - - -  78.4278 67.8891 72.2932 64.4806 - - - - 79.6305 - 73.0353 - - - - - 139 145 0 70 0 0 0 0
1704198711.638758000  1000.03 0 100.017  -  nan  0.0620883 -0.0848254 -0.0226392  0.0620883 -0.0848254 -0.0226392  -0.0840489 -0.150232 10.0878  -0.0840489 -0.150232 10.0878  - - -  - - -  77.9331 67.4111 72.813 64.7059 - - - - 78.8395 - - 65.591 - - - - 139 145 0 70 0 0 0 0
1704198711.643726000  1000.03 0 100.015  -  nan  0.0624986 -0.027085 -0.0246545  0.0624986 -0.027085 -0.0246545  0.339767 0.103636 9.3836  0.339767 0.103636 9.3836  - - -  - - -  78.1826 66.3295 73.4407 64.478 - - - - - 68.2221 72.3694 - - - - - 139 145 0 70 0 0 0 0
1704198711.648750000  1000.03 0 100.014  -  nan  -0.0254332 0.0627098 0.0487031  -0.0254332 0.0627098 0.0487031  -0.575213 0.201847 9.48213  -0.575213 0.201847 9.48213  - - -  - - -  78.7265 66.9883 73.3524 63.9628 - - - - 77.3036 67.6407 - 64.1766 - - - - 139 145 0 70 0 0 0 0
1704198711.653741000  1000.03 0 100.012  -  nan  0.0189554 -0.114077 -0.051752  0.0189554 -0.114077 -0.051752  -0.181971 -0.257589 10.8376  -0.181971 -0.257589 10.8376  - - -  - - -  78.3269 67.9424 72.7745 64.0275 - - - - - - 73.9426 - - - - - 139 145 0 70 0 0 0 0
1704198711.658746000  1000.04 0 100.012  -  nan  0.0198321 -0.0143335 -0.0688192  0.0198321 -0.0143335 -0.0688192  0.480366 0.155187 9.20839  0.480366 0.155187 9.20839  - - -  - - -  77.9515 66.614 74.054 63.737 - - - - 77.5555 - - 65.0533 - - - - 139 145 0 70 0 0 0 0
1704198711.663739000  1000.04 0 100.01  -  nan  -0.142111 0.0932294 0.0804267  -0.142111 0.0932294 0.0804267  -0.570227 0.351608 9.41115  -0.570227 0.351608 9.41115  - - -  - - -  79.0483 67.1749 73.6689 63.2416 - - - - - 66.1376 72.59 - - - - - 139 145 0 70 0 0 0 0
1704198711.668747000  1000.04 0 100.012  -  nan  0.062069 -0.158375 -0.0608299  0.062069 -0.158375 -0.0608299  -0.135626 -0.256973 10.7804  -0.135626 -0.256973 10.7804  - - -  - - -  78.2814 68.9216 72.8854 63.0457 - - - - - 67.6407 - 62.9882 - - - - 139 145 0 70 0 0 0 0
1704198711.673749000  1000.04 0 100.009  -  nan  -0.0393055 -0.0271639 -0.0452193  -0.0393055 -0.0271639 -0.0452193  0.299325 0.208552 8.86106  0.299325 0.208552 8.86106  - - -  - - -  77.8109 66.6528 74.7043 63.3025 - - - - 78.5793 - 73.4862 - - - - - 139 145 0 70 0 0 0 0
1704198711.678733000  1000.06 0 100.011  -  nan  -0.17153 0.0372141 0.0949635  -0.17153 0.0372141 0.0949635  -0.391789 0.294572 10.102  -0.391789 0.294572 10.102  - - -  - - -  78.7306 68.1633 73.78 62.832 - - - - - 66.6933 - 62.6566 - - - - 139 145 0 70 0 0 0 0
1704198711.683743000  1000.06 0 100.01  -  nan  0.0182879 -0.111869 0.00348504  0.0182879 -0.111869 0.00348504  -0.0882931 -0.252103 10.325  -0.0882931 -0.252103 10.325  - - -  - - -  77.6516 69.6722 73.2041 62.8687 - - - - 79.1014 - 72.1501 - - - - - 139 145 0 70 0 0 0 0
1704198711.688749000  1000.05 0 100.012  -  nan  -0.068175 0.0176492 -0.0206157  -0.068175 0.0176492 -0.0206157  0.0241692 0.253398 9.31028  0.0241692 0.253398 9.31028  - - -  - - -  77.6796 67.6746 74.3586 63.5552 - - - - 78.8395 - - 62.6566 - - - - 139 145 0 70 0 0 0 0
1704198711.693757000  1000.04 0 100.012  -  nan  -0.142395 0.00604062 0.0562979  -0.142395 0.00604062 0.0562979  -0.0680532 0.299453 9.64766  -0.0680532 0.299453 9.64766  - - -  - - -  78.2435 68.6723 73.8221 63.0848 - - - - - 67.2585 73.4862 - - - - - 139 145 0 70 0 0 0 0
1704198711.698728000  1000.04 0 100.014  -  nan  -0.0538632 0.00238878 -0.0190958  -0.0538632 0.00238878 -0.0190958  -0.26968 -0.247828 9.9236  -0.26968 -0.247828 9.9236  - - -  - - -  78.0403 69.5088 73.3753 62.9475 - - - - 77.8089 - - 64.3501 - - - - 139 145 0 70 0 0 0 0
1704198711.703741000  1000.05 0 100.014  -  nan  0.00395371 -0.0273605 -0.0422505  0.00395371 -0.0273605 -0.0422505  0.0219573 0.248517 9.76697  0.0219573 0.248517 9.76697  - - -  - - -  78.3649 68.4489 73.9545 63.3765 - - - - - 67.2585 73.0353 - - - - - 139 145 0 70 0 0 0 0
1704198711.708741000  1000.05 0 100.017  -  nan  -0.111687 0.0767425 0.0287035  -0.111687 0.0767425 0.0287035  0.113901 0.201847 9.48717  0.113901 0.201847 9.48717  - - -  - - -  78.5599 68.1651 74.1616 63.2335 - - - - 77.8089 - - 63.1552 - - - - 139 145 0 70 0 0 0 0
1704198711.713743000  1000.05 0 100.017  -  nan  -0.0540455 0.0475743 0.0200849  -0.0540455 0.0475743 0.0200849  -0.357569 -0.145957 9.68565  -0.357569 -0.145957 9.68565  - - -  - - -  79 69.3701 73.1945 63.1592 - - - - - 69.8227 74.173 - - - - - 139 145 0 70 0 0 0 0
1704198711.718746000  1000.05 0 100.017  -  nan  0.0629529 -0.057618 -0.0779325  0.0629529 -0.057618 -0.0779325  0.0142062 0.092655 10.4088  0.0142062 0.092655 10.4088  - - -  - - -  78.875 68.384 73.6958 63.9075 - - - - 78.064 - - 62.6566 - - - - 139 145 0 70 0 0 0 0
1704198711.723755000  1000.05 0 100.015  -  nan  -0.11122 0.118746 0.0136516  -0.11122 0.118746 0.0136516  0.163006 0.208552 8.86006  0.163006 0.208552 8.86006  - - -  - - -  78.9901 67.4837 74.4879 63.6122 - - - - - 68.2221 72.1501 - - - - - 139 145 0 70 0 0 0 0
1704198711.728755000  1000.05 0 100.018  -  nan  -0.0252061 0.0474433 0.0220641  -0.0252061 0.0474433 0.0220641  -0.35978 -0.150837 10.1423  -0.35978 -0.150837 10.1423  - - -  - - -  79.663 69.0063 73.1141 63.9 - - - - 78.5793 - - 62.1659 - - - - 139 145 0 70 0 0 0 0
1704198711.733731000  1000.06 0 100.017  -  nan  0.077511 -0.0145956 -0.0648608  0.077511 -0.0145956 -0.0648608  0.0589823 0.043555 10.356  0.0589823 0.043555 10.356  - - -  - - -  79.3374 68.1784 73.6214 64.4599 - - - - - 68.6153 74.173 - - - - - 139 145 0 70 0 0 0 0
1704198711.738732000  1000.06 0 100.018  -  nan  -0.0826082 0.133881 0.0422698  -0.0826082 0.133881 0.0422698  0.0252752 0.255838 9.08194  0.0252752 0.255838 9.08194  - - -  - - -  79.3642 66.8197 74.3026 64.7675 - - - - 79.1014 - - 63.1552 - - - - 139 145 0 70 0 0 0 0
1704198711.743725000  1000.06 0 100.017  -  nan  -0.0106224 0.0468354 0.00948668  -0.0106224 0.0468354 0.00948668  -0.175794 -0.151453 10.2013  -0.175794 -0.151453 10.2013  - - -  - - -  79.7563 68.6283 73.0527 64.9199 - - - - - 68.2221 72.3694 - - - - - 139 145 0 70 0 0 0 0
1704198711.748750000  1000.06 0 100.017  -  nan  0.0487164 0.0154545 -0.0542983  0.0487164 0.0154545 -0.0542983  -0.0359504 -0.0532418 10.3075  -0.0359504 -0.0532418 10.3075  - - -  - - -  79.6385 67.4524 73.6088 65.2781 - - - - 79.8977 68.6153 - 65.7722 - - - - 139 145 0 70 0 0 0 0
1704198711.753753000  1000.06 0 100.017  -  nan  -0.0828474 0.0766114 0.0306827  -0.0828474 0.0766114 0.0306827  -0.0730394 0.149691 9.71863  -0.0730394 0.149691 9.71863  - - -  - - -  79.9128 67.238 73.4474 65.2118 - - - - - - 73.0353 - - - - - 139 145 0 70 0 0 0 0
1704198711.758736000  1000.07 0 100.018  -  nan  0.0193733 0.0172513 -0.0146075  0.0193733 0.0172513 -0.0146075  0.0583941 -0.0483613 9.8515  0.0583941 -0.0483613 9.8515  - - -  - - -  79.6325 68.2244 73.2302 65.0732 - - - - 79.6305 - - 65.4108 - - - - 139 145 0 70 0 0 0 0
1704198711.763728000  1000.07 0 100.017  -  nan  -0.0677718 0.0743766 -0.0225956  -0.0677718 0.0743766 -0.0225956  -0.483723 0.246682 9.93503  -0.483723 0.246682 9.93503  - - -  - - -  79.9544 67.0351 73.6247 65.4897 - - - - - 67.6407 72.812 - - - - - 139 145 0 70 0 0 0 0
1704198711.768745000  1000.07 0 100.016  -  nan  -0.0831058 -0.0542076 -0.0190951  -0.0831058 -0.0542076 -0.0190951  -0.0353622 0.0386745 10.812  -0.0353622 0.0386745 10.812  - - -  - - -  79.7542 67.5152 73.4702 65.13 - - - - 79.8977 - - 64.5245 - - - - 139 145 0 70 0 0 0 0
1704198711.773736000  1000.06 0 100.014  -  nan  -0.0672682 0.0727109 -0.0642657  -0.0672682 0.0727109 -0.0642657  0.294253 0.104856 9.26909  0.294253 0.104856 9.26909  - - -  - - -  79.3032 67.1684 74.3949 64.7941 - - - - - 67.8334 72.59 - - - - - 139 145 0 70 0 0 0 0
1704198711.778742000  1000.06 0 100.013  -  nan  -0.184879 0.0917991 0.0367569  -0.184879 0.0917991 0.0367569  -0.672871 0.189656 10.6222  -0.672871 0.189656 10.6222  - - -  - - -  80.5397 67.3677 73.7231 64.6322 - - - - 80.1667 - - 65.4108 - - - - 139 145 0 70 0 0 0 0
1704198711.783752000  1000.06 0 100.014  -  nan  -0.0689656 -0.142514 -0.043168  -0.0689656 -0.142514 -0.043168  0.0120889 0.0417301 10.5265  0.0120889 0.0417301 10.5265  - - -  - - -  79.1777 68.1355 73.778 64.3675 - - - - - 68.2221 73.9426 - - - - - 139 145 0 70 0 0 0 0
1704198711.788744000  1000.06 0 100.013  -  nan  -0.199307 0.117521 -0.0331283  -0.199307 0.117521 -0.0331283  0.258443 0.310423 8.62345  0.258443 0.310423 8.62345  - - -  - - -  79.2211 66.9774 75.1325 64.3484 - - - - 79.6305 - - 64.8761 - - - - 139 145 0 70 0 0 0 0
1704198711.793741000  1000.06 0 100.014  -  nan  -0.244583 0.0227835 0.0759037  -0.244583 0.0227835 0.0759037  -0.630221 0.08961 10.689  -0.630221 0.08961 10.689  - - -  - - -  80.2416 69.0695 73.6243 63.8083 - - - - - 66.3218 74.4048 - - - - - 139 145 0 70 0 0 0 0
1704198711.798742000  1000.07 0 100.015  -  nan  -0.0396343 -0.144272 -0.0818898  -0.0396343 -0.144272 -0.0818898  0.10874 0.144206 10.2333  0.10874 0.144206 10.2333  - - -  - - -  78.8967 69.5752 73.8306 63.8825 - - - - 79.3651 - - 64.5245 - - - - 139 145 0 70 0 0 0 0
1704198711.803728000  1000.06 0 100.015  -  nan  -0.302296 0.0923327 0.0286988  -0.302296 0.0923327 0.0286988  0.21092 0.258883 8.79835  0.21092 0.258883 8.79835  - - -  - - -  79.1594 67.8912 75.4244 63.7953 - - - - - 68.6153 74.4048 - - - - - 139 145 0 70 0 0 0 0
1704198711.808748000  1000.07 0 100.018  -  nan  -0.215763 -0.0508968 0.0396922  -0.215763 -0.0508968 0.0396922  -0.446896 0.08961 10.6904  -0.446896 0.08961 10.6904  - - -  - - -  79.8475 69.9696 73.9328 63.4211 - - - - 80.4376 - - 63.1552 - - - - 139 145 0 70 0 0 0 0
1704198711.813726000  1000.07 0 100.016  -  nan  -0.111442 -0.0557422 -0.0627443  -0.111442 -0.0557422 -0.0627443  -0.0709173 0.200627 9.6  -0.0709173 0.200627 9.6  - - -  - - -  78.7716 69.3406 74.686 63.6873 - - - - - 66.6933 76.3126 - - - - - 139 145 0 70 0 0 0 0
