# logged on Fri Jan  5 16:00:36 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704466836.261553000  1000.94 0 50.0045  -  nan  0.00392364 0.0173215 -0.0156678  0.00392364 0.0173215 -0.0156678  0.389151 0.110957 8.69891  0.389151 0.110957 8.69891  - - -  - - -  77.04 68.2876 70.6519 63.7468 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.266552000  1000.94 0 50.0066  -  nan  -0.0406213 0.0508015 0.103446  -0.0406213 0.0508015 0.103446  -0.442752 0.0987557 9.83458  -0.442752 0.0987557 9.83458  - - -  - - -  77.4775 69.6218 69.3123 64.1421 - - - - 77.8089 69.6185 69.2137 62.6566 - - - - 138 146 0 70 0 0 0 0
1704466836.271553000  1000.94 0 50.0066  -  nan  0.135242 -0.128788 -0.0432696  0.135242 -0.128788 -0.0432696  -0.0865349 -0.155718 10.601  -0.0865349 -0.155718 10.601  - - -  - - -  76.4565 69.8419 69.3809 64.6148 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.276549000  1000.94 0 50.0066  -  nan  0.0625245 0.00185982 -0.0111084  0.0625245 0.00185982 -0.0111084  0.162543 0.161277 8.63618  0.162543 0.161277 8.63618  - - -  - - -  76.6183 67.3486 70.7618 65.0762 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.281551000  1000.94 0 50.0066  -  nan  -0.0122553 0.00765416 0.120512  -0.0122553 0.00765416 0.120512  -0.3544 0.0441598 10.2964  -0.3544 0.0441598 10.2964  - - -  - - -  77.3152 68.7209 69.4895 65.1304 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.286558000  1000.94 0 50.0078  -  nan  0.121289 -0.0867192 -0.0593111  0.121289 -0.0867192 -0.0593111  -0.0870879 -0.156938 10.7152  -0.0870879 -0.156938 10.7152  - - -  - - -  76.2134 69.2326 69.1989 65.5133 - - - - 77.0535 68.2221 70.028 66.6933 - - - - 138 146 0 70 0 0 0 0
1704466836.291554000  1000.95 0 50.0078  -  nan  0.0484444 0.000801966 -0.040201  0.0484444 0.000801966 -0.040201  0.20557 0.154572 9.26397  0.20557 0.154572 9.26397  - - -  - - -  76.9132 67.1311 70.3287 65.2424 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.296529000  1000.95 0 50.0078  -  nan  -0.0408228 0.0224378 0.104435  -0.0408228 0.0224378 0.104435  -0.166907 0.0975355 9.95078  -0.166907 0.0975355 9.95078  - - -  - - -  77.3949 68.3607 69.6386 64.6869 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.301551000  1000.94 0 50.0078  -  nan  0.0336216 -0.0558599 -0.0392107  0.0336216 -0.0558599 -0.0392107  -0.311804 -0.00880619 10.7002  -0.311804 -0.00880619 10.7002  - - -  - - -  76.8304 69.4553 68.6406 64.9771 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.306552000  1000.94 0 50.0051  -  nan  0.0483692 -0.0570101 -0.0653551  0.0483692 -0.0570101 -0.0653551  0.104496 0.0423349 10.4705  0.104496 0.0423349 10.4705  - - -  - - -  76.777 68.0418 69.8708 64.4593 - - - - 78.3208 68.8137 71.0732 65.7722 - - - - 138 146 0 70 0 0 0 0
