# logged on Wed Nov 29 17:35:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701275752.198501000  1000.16 0 50.0267  -  nan  -0.0834154 -0.0977662 -0.0175748  -0.0834154 -0.0977662 -0.0175748  0.0135908 -0.000265298 9.90338  0.0135908 -0.000265298 9.90338  - - -  - - -  80.2529 81.5439 82.8167 78.7979 - - - - 79.1014 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.203484000  1000.17 0 50.024  -  nan  -0.024815 0.0316344 -0.0181419  -0.024815 0.0316344 -0.0181419  -0.0711016 0.153967 9.31854  -0.0711016 0.153967 9.31854  - - -  - - -  80.0984 81.7559 83.0401 78.51 - - - - - - - 79.6305 - - - - 139 0 0 70 0 0 0 0
1701275752.208484000  1000.17 0 50.0261  -  nan  -0.0543295 -0.0396145 -0.00404387  -0.0543295 -0.0396145 -0.00404387  0.192628 -0.149617 10.0322  0.192628 -0.149617 10.0322  - - -  - - -  80.8257 81.7754 82.5583 78.754 - - - - - 80.7103 82.3859 - - - - - 139 0 0 70 0 0 0 0
1701275752.213474000  1000.18 0 50.0261  -  nan  -0.0251877 0.00280004 -0.00354962  -0.0251877 0.00280004 -0.00354962  -0.0737766 0.101811 9.55135  -0.0737766 0.101811 9.55135  - - -  - - -  80.7082 81.7817 82.5599 78.7731 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.218468000  1000.19 0 50.0261  -  nan  0.0037973 0.0467699 0.0104763  0.0037973 0.0467699 0.0104763  0.0595 -0.0459211 9.62315  0.0595 -0.0459211 9.62315  - - -  - - -  80.8087 81.8912 82.4935 78.9231 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.223472000  1000.19 0 50.0228  -  nan  -0.0542288 -0.0254326 -0.00453885  -0.0542288 -0.0254326 -0.00453885  0.101875 -0.146572 9.74659  0.101875 -0.146572 9.74659  - - -  - - -  81.2116 81.7102 82.0816 79.2977 - - - - 80.7103 - - 79.8977 - - - - 139 0 0 70 0 0 0 0
1701275752.228468000  1000.2 0 50.027  -  nan  0.00389809 0.0609517 0.0099813  0.00389809 0.0609517 0.0099813  -0.0758987 0.0508758 9.66998  -0.0758987 0.0508758 9.66998  - - -  - - -  81.1114 81.9831 82.2883 79.1279 - - - - - 81.5395 82.672 - - - - - 139 0 0 70 0 0 0 0
1701275752.233494000  1000.21 0 50.027  -  nan  -0.010824 0.0184717 0.0104766  -0.010824 0.0184717 0.0104766  0.191059 -0.199332 10.0367  0.191059 -0.199332 10.0367  - - -  - - -  81.4446 82.0432 81.8403 79.3478 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.238471000  1000.22 0 50.0283  -  nan  0.00369652 0.032588 0.0109713  0.00369652 0.032588 0.0109713  0.063959 0.0545361 9.32848  0.063959 0.0545361 9.32848  - - -  - - -  81.4121 82.0048 81.8023 79.3244 - - - - 80.4376 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.243473000  1000.23 0 50.0255  -  nan  0.0340699 0.103362 0.0105462  0.0340699 0.103362 0.0105462  0.10317 -0.0974614 9.79872  0.10317 -0.0974614 9.79872  - - -  - - -  81.5471 82.1866 81.8549 79.4366 - - - - - - - 79.6305 - - - - 139 0 0 70 0 0 0 0
1701275752.248468000  1000.24 0 50.029  -  nan  0.00355092 -0.0115129 -0.00107545  0.00355092 -0.0115129 -0.00107545  0.147114 -0.148397 9.91769  0.147114 -0.148397 9.91769  - - -  - - -  82.017 82.053 81.5051 79.6927 - - - - - 82.672 82.672 - - - - - 139 0 0 70 0 0 0 0
1701275752.253483000  1000.25 0 50.029  -  nan  0.0776569 0.10208 -0.013619  0.0776569 0.10208 -0.013619  -0.0767306 0.0490403 9.84174  -0.0767306 0.0490403 9.84174  - - -  - - -  81.7969 81.9986 81.9772 79.6463 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.258542000  1000.25 0 50.0291  -  nan  0.0482504 0.0460262 -5.12459e-05  0.0482504 0.0460262 -5.12459e-05  0.192164 -0.196892 9.80832  0.192164 -0.196892 9.80832  - - -  - - -  82.1831 81.7212 81.8541 79.7723 - - - - 81.2612 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.263483000  1000.25 0 50.0252  -  nan  0.0627333 0.0312365 -0.0121337  0.0627333 0.0312365 -0.0121337  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  - - -  - - -  82.1263 81.8319 81.9888 79.8184 - - - - - - - 78.8395 - - - - 139 0 0 70 0 0 0 0
1701275752.268474000  1000.24 0 50.0289  -  nan  0.0629725 0.0885063 -0.000546585  0.0629725 0.0885063 -0.000546585  0.00965275 -0.100517 10.084  0.00965275 -0.100517 10.084  - - -  - - -  81.8403 81.9411 82.4384 79.7722 - - - - - 83.2501 82.1018 - - - - - 139 0 0 70 0 0 0 0
1701275752.273483000  1000.24 0 50.0289  -  nan  0.0622598 -0.0117797 0.00295362  0.0622598 -0.0117797 0.00295362  0.0539657 -0.196892 9.80731  0.0539657 -0.196892 9.80731  - - -  - - -  82.0292 81.8652 82.2716 79.9277 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.278478000  1000.22 0 50.028  -  nan  0.0927035 0.0452826 -0.0105788  0.0927035 0.0452826 -0.0105788  -0.0803577 -0.0495815 9.96466  -0.0803577 -0.0495815 9.96466  - - -  - - -  81.4814 82.0128 82.8342 79.9935 - - - - 80.7103 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.283483000  1000.21 0 50.0252  -  nan  0.0770522 0.0169891 -0.0106491  0.0770522 0.0169891 -0.0106491  0.0994789 -0.198112 9.92182  0.0994789 -0.198112 9.92182  - - -  - - -  81.4275 82.0461 83.0032 79.9712 - - - - - - - 79.8977 - - - - 139 0 0 70 0 0 0 0
1701275752.288475000  1000.2 0 50.027  -  nan  0.0923939 0.00172407 -0.00905848  0.0923939 0.00172407 -0.00905848  -0.0324755 -0.000265298 9.90304  -0.0324755 -0.000265298 9.90304  - - -  - - -  81.1893 82.112 83.3853 79.9943 - - - - - 82.3859 81.2612 - - - - - 139 0 0 70 0 0 0 0
1701275752.293483000  1000.19 0 50.027  -  nan  0.0769259 0.0464375 0.0154949  0.0769259 0.0464375 0.0154949  0.00706751 -0.198728 9.97873  0.00706751 -0.198728 9.97873  - - -  - - -  80.8033 82.2484 83.829 80.016 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.298474000  1000.18 0 50.0273  -  nan  0.0921292 -0.0119155 0.0050035  0.0921292 -0.0119155 0.0050035  0.056825 -0.0980767 9.85596  0.056825 -0.0980767 9.85596  - - -  - - -  80.8328 82.4577 83.7705 80.0436 - - - - 82.3859 - - - - - - - 139 0 0 70 0 0 0 0
