    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
10.5550000   0.9259800  -0.4185000   1.3194700   0.0000000   0.0000000  -0.7279940   0.4050640   0.0000000   0.1058810   0.0000000   0.0000000   0.0000000  -0.5376800   0.0000000   0.6919700   0.0000000   0.0000000   0.0000000
10.5600000   0.9279980  -0.4185000   1.3200100   0.0000000   0.0000000  -0.7279940   0.4023670   0.0000000   0.1093630   0.0000000   0.0000000   0.0000000  -0.5409990   0.0000000   0.7007750   0.0000000   0.0000000   0.0000000
10.5650000   0.9300030  -0.4185000   1.3205700   0.0000000   0.0000000  -0.7279940   0.3996540   0.0000000   0.1128880   0.0000000   0.0000000   0.0000000  -0.5440680   0.0000000   0.7093290   0.0000000   0.0000000   0.0000000
10.5700000   0.9319950  -0.4185000   1.3211400   0.0000000   0.0000000  -0.7279940   0.3969260   0.0000000   0.1164560   0.0000000   0.0000000   0.0000000  -0.5468870   0.0000000   0.7176340   0.0000000   0.0000000   0.0000000
10.5750000   0.9339730  -0.4185000   1.3217300   0.0000000   0.0000000  -0.7279940   0.3941850   0.0000000   0.1200640   0.0000000   0.0000000   0.0000000  -0.5494560   0.0000000   0.7256880   0.0000000   0.0000000   0.0000000
10.5800000   0.9359370  -0.4185000   1.3223400   0.0000000   0.0000000  -0.7279940   0.3914320   0.0000000   0.1237120   0.0000000   0.0000000   0.0000000  -0.5517750   0.0000000   0.7334920   0.0000000   0.0000000   0.0000000
10.5850000   0.9378870  -0.4185000   1.3229700   0.0000000   0.0000000  -0.7279940   0.3886680   0.0000000   0.1273990   0.0000000   0.0000000   0.0000000  -0.5538440   0.0000000   0.7410470   0.0000000   0.0000000   0.0000000
10.5900000   0.9398230  -0.4185000   1.3236200   0.0000000   0.0000000  -0.7279940   0.3858940   0.0000000   0.1311220   0.0000000   0.0000000   0.0000000  -0.5556630   0.0000000   0.7483510   0.0000000   0.0000000   0.0000000
10.5950000   0.9417460  -0.4185000   1.3242800   0.0000000   0.0000000  -0.7279940   0.3831120   0.0000000   0.1348820   0.0000000   0.0000000   0.0000000  -0.5572320   0.0000000   0.7554060   0.0000000   0.0000000   0.0000000
10.6000000   0.9436550  -0.4185000   1.3249600   0.0000000   0.0000000  -0.7279940   0.3803220   0.0000000   0.1386760   0.0000000   0.0000000   0.0000000  -0.5585510   0.0000000   0.7622100   0.0000000   0.0000000   0.0000000
10.6050000   0.9455490  -0.4185000   1.3256700   0.0000000   0.0000000  -0.7279940   0.3775270   0.0000000   0.1425030   0.0000000   0.0000000   0.0000000  -0.5596190   0.0000000   0.7687650   0.0000000   0.0000000   0.0000000
10.6100000   0.9474300  -0.4185000   1.3263900   0.0000000   0.0000000  -0.7279940   0.3747270   0.0000000   0.1463630   0.0000000   0.0000000   0.0000000  -0.5604380   0.0000000   0.7750690   0.0000000   0.0000000   0.0000000
10.6150000   0.9492960  -0.4185000   1.3271300   0.0000000   0.0000000  -0.7279940   0.3719230   0.0000000   0.1502540   0.0000000   0.0000000   0.0000000  -0.5610070   0.0000000   0.7811240   0.0000000   0.0000000   0.0000000
10.6200000   0.9511490  -0.4185000   1.3278900   0.0000000   0.0000000  -0.7279940   0.3691170   0.0000000   0.1541740   0.0000000   0.0000000   0.0000000  -0.5613260   0.0000000   0.7869280   0.0000000   0.0000000   0.0000000
10.6250000   0.9529880  -0.4185000   1.3286700   0.0000000   0.0000000  -0.7279940   0.3663100   0.0000000   0.1581230   0.0000000   0.0000000   0.0000000  -0.5613950   0.0000000   0.7924830   0.0000000   0.0000000   0.0000000
10.6300000   0.9548120  -0.4185000   1.3294700   0.0000000   0.0000000  -0.7279940   0.3635030   0.0000000   0.1620980   0.0000000   0.0000000   0.0000000  -0.5612140   0.0000000   0.7977870   0.0000000   0.0000000   0.0000000
10.6350000   0.9566230  -0.4185000   1.3302900   0.0000000   0.0000000  -0.7279940   0.3606980   0.0000000   0.1661000   0.0000000   0.0000000   0.0000000  -0.5607830   0.0000000   0.8028410   0.0000000   0.0000000   0.0000000
10.6400000   0.9584190  -0.4185000   1.3311300   0.0000000   0.0000000  -0.7279940   0.3578960   0.0000000   0.1701260   0.0000000   0.0000000   0.0000000  -0.5601020   0.0000000   0.8076460   0.0000000   0.0000000   0.0000000
10.6450000   0.9602020  -0.4185000   1.3319900   0.0000000   0.0000000  -0.7279940   0.3550980   0.0000000   0.1741760   0.0000000   0.0000000   0.0000000  -0.5591710   0.0000000   0.8122000   0.0000000   0.0000000   0.0000000
10.6500000   0.9619700  -0.4185000   1.3328800   0.0000000   0.0000000  -0.7279940   0.3523050   0.0000000   0.1782480   0.0000000   0.0000000   0.0000000  -0.5579900   0.0000000   0.8165050   0.0000000   0.0000000   0.0000000
