# logged on Mon Jan  8 11:01:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708085.943356000  1000.13 0 50.0024  -  nan  0.0924868 -0.130257 -0.0879084  0.0924868 -0.130257 -0.0879084  0.100315 -0.057507 10.7076  0.100315 -0.057507 10.7076  - - -  - - -  76.7852 67.7981 69.3492 63.8893 - - - - - - 69.4155 - - - - - 138 0 133 70 0 0 0 0
1704708085.948356000  1000.14 0 50.0028  -  nan  -0.0242103 0.116726 -0.0211118  -0.0242103 0.116726 -0.0211118  0.578667 0.122543 7.61612  0.578667 0.122543 7.61612  - - -  - - -  76.711 65.8715 70.9827 63.4133 - - - - 76.8049 - - 62.9882 - - - - 138 0 133 70 0 0 0 0
1704708085.953352000  1000.14 0 50.0028  -  nan  -0.0408484 0.066068 0.130085  -0.0408484 0.066068 0.130085  -0.722444 0.135665 11.0264  -0.722444 0.135665 11.0264  - - -  - - -  77.9799 67.3781 69.4906 63.7131 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708085.958342000  1000.14 0 50.0045  -  nan  0.0772194 -0.175372 -0.128149  0.0772194 -0.175372 -0.128149  0.0975506 -0.0636076 11.2785  0.0975506 -0.0636076 11.2785  - - -  - - -  76.4717 68.522 68.5946 64.0457 - - - - - 66.8807 - - - - - - 138 0 133 70 0 0 0 0
1704708085.963355000  1000.13 0 50.004  -  nan  -0.0525645 0.159834 -0.0391473  -0.0525645 0.159834 -0.0391473  0.669859 0.122543 7.61679  0.669859 0.122543 7.61679  - - -  - - -  76.2774 65.8363 70.8895 63.3111 - - - - - - 70.2346 - - - - - 138 0 133 70 0 0 0 0
1704708085.968351000  1000.13 0 50.0043  -  nan  -0.114043 0.0555065 0.208003  -0.114043 0.0555065 0.208003  -0.722718 0.13506 11.083  -0.722718 0.13506 11.083  - - -  - - -  78.3472 67.1863 69.4221 63.371 - - - - 77.0535 - - 63.6618 - - - - 138 0 133 70 0 0 0 0
1704708085.973350000  1000.12 0 50.0043  -  nan  0.0774842 -0.161733 -0.142211  0.0774842 -0.161733 -0.142211  0.14626 -0.0124666 11.0461  0.14626 -0.0124666 11.0461  - - -  - - -  75.9931 69.3586 68.1237 64.0577 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708085.978363000  1000.12 0 50.0048  -  nan  -0.0809753 0.173062 -0.0687555  -0.0809753 0.173062 -0.0687555  0.439362 0.120103 7.84345  0.439362 0.120103 7.84345  - - -  - - -  76.3201 65.8692 70.956 63.0566 - - - - - 67.8334 - - - - - - 138 0 133 70 0 0 0 0
1704708085.983351000  1000.12 0 50.0034  -  nan  -0.129266 0.0403102 0.180303  -0.129266 0.0403102 0.180303  -0.540485 0.0380697 10.8649  -0.540485 0.0380697 10.8649  - - -  - - -  78.4884 67.0479 69.7231 62.5733 - - - - - - 71.7154 - - - - - 138 0 133 70 0 0 0 0
1704708085.988340000  1000.12 0 50.0035  -  nan  0.062819 -0.101758 -0.0909483  0.062819 -0.101758 -0.0909483  0.100904 0.0344093 11.2122  0.100904 0.0344093 11.2122  - - -  - - -  76.138 68.9408 68.7022 63.5071 - - - - 76.8049 - - 63.3232 - - - - 138 0 133 70 0 0 0 0
