# logged on Tue Nov 14 14:08:20 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967300.356115000  999.878 0 50.0059  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  0.0596837 -0.047065 9.8926  0.0596837 -0.047065 9.8926  - - -  - - -  76.1325 74.1705 66.0097 65.984 - - - - 76.8049 75.5858 - 64.5245 - - - - 139 146 134 70 0 0 0 0
1699967300.361108000  999.871 0 50.0059  -  nan  0.0191066 -0.0109829 -0.0155285  0.0191066 -0.0109829 -0.0155285  0.105667 -0.00289917 10.5192  0.105667 -0.00289917 10.5192  - - -  - - -  76.0468 73.8501 66.2598 65.9716 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.366098000  999.863 0 50.0059  -  nan  0.0466188 0.100818 -0.018157  0.0466188 0.100818 -0.018157  -0.0294438 0.0946862 9.0762  -0.0294438 0.0946862 9.0762  - - -  - - -  75.8316 73.8689 66.3915 65.5343 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.371124000  999.856 0 50.0053  -  nan  0.0612989 0.0176971 -0.0304568  0.0612989 0.0176971 -0.0304568  -0.0354008 0.0460113 9.76873  -0.0354008 0.0460113 9.76873  - - -  - - -  76.5674 73.7098 66.0673 65.8741 - - - - - - 65.9544 - - - - - 139 146 134 70 0 0 0 0
1699967300.376113000  999.846 0 50.0067  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  0.106038 -0.0487306 10.295  0.106038 -0.0487306 10.295  - - -  - - -  76.3291 73.3238 66.4652 66.0326 - - - - 76.0688 73.2601 - 65.7722 - - - - 139 146 134 70 0 0 0 0
1699967300.381091000  999.831 0 50.0067  -  nan  0.00350326 0.0592745 -0.00387803  0.00350326 0.0592745 -0.00387803  -0.0801732 0.0937356 9.3053  -0.0801732 0.0937356 9.3053  - - -  - - -  75.9979 73.8257 66.348 65.6094 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.386084000  999.82 0 50.0067  -  nan  0.0471666 0.00299977 -0.0155117  0.0471666 0.00299977 -0.0155117  -0.0350068 0.0462469 9.71187  -0.0350068 0.0462469 9.71187  - - -  - - -  76.2712 73.884 66.1413 65.8704 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.391085000  999.814 0 50.005  -  nan  -0.0521464 -0.052676 -0.00164049  -0.0521464 -0.052676 -0.00164049  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  76.0182 73.6759 66.4423 65.8281 - - - - - - 66.8807 - - - - - 139 146 134 70 0 0 0 0
1699967300.396086000  999.81 0 50.006  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  -0.0789609 0.140513 9.30104  -0.0789609 0.140513 9.30104  - - -  - - -  75.4427 74.3227 66.6953 65.1138 - - - - 77.3036 - - 65.9544 - - - - 139 146 134 70 0 0 0 0
1699967300.401082000  999.808 0 50.0054  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0833515 0.0467222 9.59679  -0.0833515 0.0467222 9.59679  - - -  - - -  75.5961 74.4944 66.6776 65.163 - - - - - 73.7137 - - - - - - 139 146 134 70 0 0 0 0
