# logged on Fri Jan  5 11:21:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704450110.263116000  1000.61 0 49.9997  -  nan  -0.0969768 0.0466863 -0.0100179  -0.0969768 0.0466863 -0.0100179  0.115276 0.066122 8.24468  0.115276 0.066122 8.24468  - - -  - - -  77.4508 67.6784 71.1896 62.7415 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.268124000  1000.61 0 49.9997  -  nan  -0.0258436 0.00496934 0.0507184  -0.0258436 0.00496934 0.0507184  -0.219671 -0.00880619 10.7009  -0.219671 -0.00880619 10.7009  - - -  - - -  77.8849 69.2502 70.8913 61.8343 - - - - - 69.0131 - - - - - - 138 0 134 70 0 0 0 0
1704450110.273116000  1000.61 0 49.9997  -  nan  0.135728 -0.0132355 -0.0201308  0.135728 -0.0132355 -0.0201308  -0.175241 -0.150232 10.0871  -0.175241 -0.150232 10.0871  - - -  - - -  77.0647 68.2694 70.499 63.2728 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.278116000  1000.61 0 49.9978  -  nan  0.0630729 0.0301131 -0.0402367  0.0630729 0.0301131 -0.0402367  0.335955 -0.0416453 9.22506  0.335955 -0.0416453 9.22506  - - -  - - -  77.1367 66.9454 70.9061 64.1598 - - - - 78.064 - 70.6514 - - - - - 138 0 134 70 0 0 0 0
1704450110.283130000  1000.61 0 49.998  -  nan  0.0478593 0.0618351 0.0401548  0.0478593 0.0618351 0.0401548  -0.169734 -0.000265298 9.90203  -0.169734 -0.000265298 9.90203  - - -  - - -  77.9077 67.0398 70.6842 64.2392 - - - - - - - 62.9882 - - - - 138 0 134 70 0 0 0 0
1704450110.288130000  1000.61 0 49.9972  -  nan  0.135597 0.0172646 0.00694697  0.135597 0.0172646 0.00694697  -0.361714 -0.155102 10.5414  -0.361714 -0.155102 10.5414  - - -  - - -  77.4267 67.4743 70.1034 64.4724 - - - - - 67.4491 - - - - - - 138 0 134 70 0 0 0 0
1704450110.293131000  1000.62 0 49.9972  -  nan  0.209285 -0.000470607 -0.0427411  0.209285 -0.000470607 -0.0427411  0.380084 -0.0459211 9.6255  0.380084 -0.0459211 9.6255  - - -  - - -  77.2971 66.218 70.5219 65.1461 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.298123000  1000.62 0 49.9938  -  nan  -0.0251053 0.0616251 0.0215691  -0.0251053 0.0616251 0.0215691  -0.258397 0.0527006 9.49788  -0.258397 0.0527006 9.49788  - - -  - - -  78.1598 65.1351 70.56 65.5504 - - - - 77.5555 - 71.5001 - - - - - 138 0 134 70 0 0 0 0
1704450110.303118000  1000.63 0 49.9955  -  nan  0.00375969 0.0178638 -0.00210076  0.00375969 0.0178638 -0.00210076  -0.364667 -0.207873 10.8318  -0.364667 -0.207873 10.8318  - - -  - - -  77.5507 67.702 69.9908 64.1083 - - - - - - - 64.3501 - - - - 138 0 134 70 0 0 0 0
1704450110.308120000  1000.63 0 49.9959  -  nan  0.253977 -0.0165195 -0.0808767  0.253977 -0.0165195 -0.0808767  0.382605 0.0502604 9.73092  0.382605 0.0502604 9.73092  - - -  - - -  77.4356 65.7426 70.7184 64.9589 - - - - - 66.3218 - - - - - - 138 0 134 70 0 0 0 0
1704450110.313122000  1000.63 0 49.9959  -  nan  -0.170496 0.0628275 0.0251695  -0.170496 0.0628275 0.0251695  -0.20845 0.200022 9.65558  -0.20845 0.200022 9.65558  - - -  - - -  78.168 64.6976 70.9725 65.0411 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.318123000  1000.63 0 49.9947  -  nan  0.0623606 0.00240214 0.00245864  0.0623606 0.00240214 0.00245864  -0.265185 -0.00758606 10.5864  -0.265185 -0.00758606 10.5864  - - -  - - -  77.5177 68.5743 70.1404 62.548 - - - - 76.0688 - 70.2346 - - - - - 138 0 134 70 0 0 0 0
1704450110.323122000  1000.63 0 49.9952  -  nan  0.136459 -0.0301677 -0.0884398  0.136459 -0.0301677 -0.0884398  0.201425 0.145426 10.1198  0.201425 0.145426 10.1198  - - -  - - -  77.2761 66.0915 70.8972 64.3554 - - - - - - - 65.9544 - - - - 138 0 134 70 0 0 0 0
1704450110.328124000  1000.63 0 49.9967  -  nan  -0.274188 0.0365588 0.0597919  -0.274188 0.0365588 0.0597919  -0.0255883 0.152747 9.43305  -0.0255883 0.152747 9.43305  - - -  - - -  77.6611 66.1571 71.1151 63.5252 - - - - - 64.3501 - - - - - - 138 0 134 70 0 0 0 0
1704450110.333118000  1000.63 0 49.9967  -  nan  -0.0690396 -0.00955824 0.0346776  -0.0690396 -0.00955824 0.0346776  -0.164785 0.148471 9.83214  -0.164785 0.148471 9.83214  - - -  - - -  77.0296 70.0861 70.02 61.4491 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.338122000  1000.63 0 49.9972  -  nan  -0.0681449 -0.0270328 -0.0471985  -0.0681449 -0.0270328 -0.0471985  -0.168098 0.141161 10.5162  -0.168098 0.141161 10.5162  - - -  - - -  76.9242 68.6824 70.6689 62.4391 - - - - 77.3036 - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704450110.343130000  1000.63 0 49.9985  -  nan  -0.229508 0.0205487 0.0226253  -0.229508 0.0205487 0.0226253  0.201448 0.00766022 9.1631  0.201448 0.00766022 9.1631  - - -  - - -  76.9217 68.6036 71.0656 61.5771 - - - - - - - 63.4921 - - - - 138 0 134 70 0 0 0 0
1704450110.348122000  1000.63 0 49.9987  -  nan  -0.11209 0.0200151 0.0306835  -0.11209 0.0200151 0.0306835  -0.159156 0.253398 9.30894  -0.159156 0.253398 9.30894  - - -  - - -  76.9559 70.5142 70.6868 60.698 - - - - - 67.4491 - - - - - - 138 0 134 70 0 0 0 0
1704450110.353121000  1000.63 0 49.9987  -  nan  -0.170616 -0.0249037 -0.0125263  -0.170616 -0.0249037 -0.0125263  -0.356144 0.086565 10.976  -0.356144 0.086565 10.976  - - -  - - -  76.8754 70.2337 70.855 61.1826 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.358117000  1000.63 0 50.0027  -  nan  -0.053964 -0.0117931 -0.0186008  -0.053964 -0.0117931 -0.0186008  0.475898 -0.0840506 8.5465  0.475898 -0.0840506 8.5465  - - -  - - -  76.5047 70.0384 71.137 60.5251 - - - - 76.8049 - - 60.7386 - - - - 138 0 134 70 0 0 0 0
1704450110.363122000  1000.63 0 50.0004  -  nan  -0.141266 0.0468876 -0.0130574  -0.141266 0.0468876 -0.0130574  -0.340935 0.258883 8.79431  -0.340935 0.258883 8.79431  - - -  - - -  77.3491 69.4827 71.2002 61.3277 - - - - - - 70.4424 - - - - - 138 0 134 70 0 0 0 0
1704450110.368119000  1000.63 0 50.0014  -  nan  -0.0974503 0.00367004 0.0050694  -0.0974503 0.00367004 0.0050694  -0.365121 -0.116368 11.5645  -0.365121 -0.116368 11.5645  - - -  - - -  77.2436 70.4491 71.0725 60.6175 - - - - - 69.8227 - - - - - - 138 0 134 70 0 0 0 0
1704450110.373118000  1000.62 0 50.0014  -  nan  0.16619 -0.000816327 -0.0592769  0.16619 -0.000816327 -0.0592769  0.564254 -0.138636 9.00734  0.564254 -0.138636 9.00734  - - -  - - -  76.7603 68.8901 71.1943 61.5654 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.378128000  1000.61 0 50.0021  -  nan  -0.170358 0.105915 0.0372515  -0.170358 0.105915 0.0372515  -0.342693 0.162497 8.51831  -0.342693 0.162497 8.51831  - - -  - - -  77.5775 67.1952 71.4952 63.1414 - - - - 76.558 - 71.286 60.4303 - - - - 138 0 134 70 0 0 0 0
1704450110.383125000  1000.61 0 50.0021  -  nan  -0.0691211 0.0498092 0.0733633  -0.0691211 0.0498092 0.0733633  -0.368623 -0.170349 11.9681  -0.368623 -0.170349 11.9681  - - -  - - -  77.6608 69.7655 70.6053 62.0622 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.388129000  1000.61 0 50.0039  -  nan  0.282887 0.0422133 -0.0528097  0.282887 0.0422133 -0.0528097  0.519105 -0.182866 8.49819  0.519105 -0.182866 8.49819  - - -  - - -  76.7598 67.5655 70.5581 64.0906 - - - - - 69.0131 - - - - - - 138 0 134 70 0 0 0 0
1704450110.393123000  1000.61 0 50.0039  -  nan  -0.0825002 0.149076 0.0417395  -0.0825002 0.149076 0.0417395  -0.0232015 0.0655067 8.30125  -0.0232015 0.0655067 8.30125  - - -  - - -  78.121 65.7873 70.9154 65.4637 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.398131000  1000.6 0 50.0032  -  nan  0.149462 0.0335503 0.0617096  0.149462 0.0335503 0.0617096  -0.320988 -0.120633 11.964  -0.320988 -0.120633 11.964  - - -  - - -  77.9214 68.3766 70.1405 64.3422 - - - - 77.0535 - 70.028 - - - - - 138 0 134 70 0 0 0 0
1704450110.403122000  1000.6 0 50.0028  -  nan  0.297471 0.0416054 -0.0653871  0.297471 0.0416054 -0.0653871  0.193545 -0.193847 9.52339  0.193545 -0.193847 9.52339  - - -  - - -  76.8344 66.7871 70.2658 65.6791 - - - - - - - 63.8325 - - - - 138 0 134 70 0 0 0 0
1704450110.408132000  1000.6 0 50.0056  -  nan  -0.0535416 0.118484 0.01761  -0.0535416 0.118484 0.01761  0.113802 0.109121 8.86866  0.113802 0.109121 8.86866  - - -  - - -  77.9114 64.2959 71.2574 66.6671 - - - - - 66.6933 - - - - - - 138 0 134 70 0 0 0 0
1704450110.413132000  1000.6 0 50.0056  -  nan  0.0333388 0.0477188 0.0396601  0.0333388 0.0477188 0.0396601  -0.26973 0.0276933 11.8379  -0.26973 0.0276933 11.8379  - - -  - - -  78.0448 66.7909 70.6405 65.2498 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.418124000  1000.61 0 50.0064  -  nan  0.150785 0.0291729 -0.0477955  0.150785 0.0291729 -0.0477955  -0.0831272 -0.194452 9.57796  -0.0831272 -0.194452 9.57796  - - -  - - -  77.0229 65.7111 70.8888 65.7939 - - - - 77.5555 - 69.8227 - - - - - 138 0 134 70 0 0 0 0
1704450110.423122000  1000.61 0 50.0068  -  nan  -0.00948857 0.0866306 -0.0608023  -0.00948857 0.0866306 -0.0608023  0.300431 0.210992 8.63271  0.300431 0.210992 8.63271  - - -  - - -  77.7143 64.4263 71.7961 65.7922 - - - - - - - 65.9544 - - - - 138 0 134 70 0 0 0 0
1704450110.428112000  1000.61 0 50.0101  -  nan  -0.127868 0.0211699 0.0567572  -0.127868 0.0211699 0.0567572  -0.404975 0.0804644 11.5465  -0.404975 0.0804644 11.5465  - - -  - - -  77.8979 66.2366 71.4689 64.859 - - - - - 65.9544 - - - - - - 138 0 134 70 0 0 0 0
1704450110.433121000  1000.62 0 50.0101  -  nan  0.0199329 -0.000151613 -0.0693142  0.0199329 -0.000151613 -0.0693142  -0.0825696 -0.054462 10.4213  -0.0825696 -0.054462 10.4213  - - -  - - -  76.6842 67.044 71.4512 64.1445 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.438122000  1000.62 0 50.0102  -  nan  -0.0389324 0.0742455 -0.0206165  -0.0389324 0.0742455 -0.0206165  0.302189 0.307378 8.90872  0.302189 0.307378 8.90872  - - -  - - -  76.9906 65.6589 72.41 64.2604 - - - - 78.5793 - 71.7154 - - - - - 138 0 134 70 0 0 0 0
1704450110.443113000  1000.62 0 50.0112  -  nan  -0.332169 0.0668504 0.0965136  -0.332169 0.0668504 0.0965136  -0.445327 0.139325 10.6859  -0.445327 0.139325 10.6859  - - -  - - -  77.1898 67.8016 71.6459 63.5719 - - - - - - - 64.6998 - - - - 138 0 134 70 0 0 0 0
1704450110.448133000  1000.63 0 50.013  -  nan  -0.0391039 0.00119986 -0.0462093  -0.0391039 0.00119986 -0.0462093  -0.0363463 -0.00880619 10.7022  -0.0363463 -0.00880619 10.7022  - - -  - - -  76.0819 69.6594 71.4154 62.3747 - - - - - 66.3218 - - - - - - 138 0 134 70 0 0 0 0
1704450110.453127000  1000.63 0 50.013  -  nan  -0.1408 0.0888908 -0.0281093  -0.1408 0.0888908 -0.0281093  0.347428 0.305553 9.07981  0.347428 0.305553 9.07981  - - -  - - -  76.1232 67.8309 72.3898 62.9236 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.458125000  1000.63 0 50.0107  -  nan  -0.477986 0.0805736 0.0578782  -0.477986 0.0805736 0.0578782  -0.304643 0.144811 10.1736  -0.304643 0.144811 10.1736  - - -  - - -  76.8671 69.6506 71.6718 61.9283 - - - - 77.3036 - 72.59 - - - - - 138 0 134 70 0 0 0 0
1704450110.463129000  1000.63 0 50.0126  -  nan  -0.0101188 0.0451697 -0.0321834  -0.0101188 0.0451697 -0.0321834  0.0120889 0.0417301 10.5265  0.0120889 0.0417301 10.5265  - - -  - - -  76.2259 71.3779 71.3619 60.5132 - - - - - - - 64.3501 - - - - 138 0 134 70 0 0 0 0
1704450110.468145000  1000.63 0 50.0153  -  nan  -0.183857 0.117451 -0.032068  -0.183857 0.117451 -0.032068  0.0723576 0.304333 9.19198  0.0723576 0.304333 9.19198  - - -  - - -  76.7055 68.535 72.144 62.009 - - - - - 69.6185 - - - - - - 138 0 134 70 0 0 0 0
1704450110.473122000  1000.63 0 50.0153  -  nan  -0.38987 0.136361 0.0483396  -0.38987 0.136361 0.0483396  0.0167868 0.0520959 9.55649  0.0167868 0.0520959 9.55649  - - -  - - -  77.2211 70.1787 71.6971 61.0965 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.478122000  1000.63 0 50.0144  -  nan  -0.0240346 0.116145 -0.0356479  -0.0240346 0.116145 -0.0356479  0.00818289 -0.057507 10.707  0.00818289 -0.057507 10.707  - - -  - - -  77.011 71.085 71.1873 60.8861 - - - - 76.3126 - 71.7154 - - - - - 138 0 134 70 0 0 0 0
1704450110.483129000  1000.63 0 50.015  -  nan  -0.154607 0.175061 -0.0321041  -0.154607 0.175061 -0.0321041  -0.0737766 0.101811 9.55135  -0.0737766 0.101811 9.55135  - - -  - - -  77.4715 68.5192 71.7243 62.2792 - - - - - - - 62.004 - - - - 138 0 134 70 0 0 0 0
1704450110.488145000  1000.63 0 50.0185  -  nan  -0.169683 0.177295 0.0211743  -0.169683 0.177295 0.0211743  0.292253 0.00888035 9.04959  0.292253 0.00888035 9.04959  - - -  - - -  77.9096 69.1282 71.3466 62.0494 - - - - - 70.6514 - - - - - - 138 0 134 70 0 0 0 0
1704450110.493122000  1000.63 0 50.0185  -  nan  -0.0670215 0.203569 -0.0135188  -0.0670215 0.203569 -0.0135188  -0.172103 -0.0508016 10.0782  -0.172103 -0.0508016 10.0782  - - -  - - -  78.1739 68.9199 70.9145 63.0594 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.498120000  1000.63 0 50.0189  -  nan  -0.0529673 0.175682 0.00202773  -0.0529673 0.175682 0.00202773  -0.0820166 -0.0532418 10.3072  -0.0820166 -0.0532418 10.3072  - - -  - - -  78.2783 68.2646 70.7198 63.591 - - - - 78.5793 - 70.028 - - - - - 138 0 134 70 0 0 0 0
1704450110.503121000  1000.63 0 50.018  -  nan  0.0494294 0.188316 -0.0186034  0.0494294 0.188316 -0.0186034  0.478451 0.0131455 8.65183  0.478451 0.0131455 8.65183  - - -  - - -  78.4245 67.1822 70.6437 64.5389 - - - - - - - 62.1659 - - - - 138 0 134 70 0 0 0 0
1704450110.508124000  1000.63 0 50.0202  -  nan  -0.154815 0.263876 0.0327256  -0.154815 0.263876 0.0327256  -0.489447 0.0490403 9.83872  -0.489447 0.0490403 9.83872  - - -  - - -  79.0688 66.694 70.4309 65.5875 - - - - - 67.6407 - - - - - - 138 0 134 70 0 0 0 0
1704450110.513118000  1000.63 0 50.0202  15.996  nan  0.0639872 0.158763 -0.0447269  0.0639872 0.158763 -0.0447269  -0.0448026 -0.211534 11.1767  -0.0448026 -0.211534 11.1767  - - -  - - -  78.4645 67.9959 70.1303 64.9307 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.518121000  1000.63 0 50.0183  -  nan  0.152166 0.199826 -0.0673376  0.152166 0.199826 -0.0673376  0.617989 0.109737 8.81476  0.617989 0.109737 8.81476  - - -  - - -  78.3479 64.8577 71.0908 66.6489 - - - - 78.064 - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704450110.523120000  1000.63 0 50.0165  -  nan  -0.346331 0.224405 0.0763708  -0.346331 0.224405 0.0763708  -0.677182 -0.00392568 10.2409  -0.677182 -0.00392568 10.2409  - - -  - - -  79.261 65.4254 70.8646 66.4377 - - - - - - - 65.0533 - - - - 138 0 134 70 0 0 0 0
