# logged on Tue Jan  9 13:17:35 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704802655.969065000  1001.04 0 100.002  -  nan  0.0929607 -0.0146658 -0.0638005  0.0929607 -0.0146658 -0.0638005  0.387546 -0.0294547 8.08467  0.387546 -0.0294547 8.08467  - - -  - - -  74.5225 66.0967 70.3729 62.84 - - - - 74.173 65.7722 69.8227 62.822 - - - - 139 146 134 70 0 0 0 0
1704802655.974067000  1001.03 0 100.002  -  nan  -0.0391851 0.133142 0.0316716  -0.0391851 0.133142 0.0316716  -0.441173 0.287251 10.7867  -0.441173 0.287251 10.7867  - - -  - - -  76.1023 65.9405 70.6064 63.126 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802655.979053000  1001.03 0 100.002  -  nan  -0.0117894 -0.0229176 0.0662649  -0.0117894 -0.0229176 0.0662649  -0.503122 -0.164259 11.3972  -0.503122 -0.164259 11.3972  - - -  - - -  75.8176 66.9613 68.9712 62.7955 - - - - 75.1089 67.4491 71.286 62.004 - - - - 139 146 134 70 0 0 0 0
1704802655.984071000  1001.04 0 100.002  -  nan  0.0939122 0.0703149 -0.0949088  0.0939122 0.0703149 -0.0949088  0.578114 0.121323 7.73029  0.578114 0.121323 7.73029  - - -  - - -  74.4624 66.5075 70.1691 63.3135 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802655.989156000  1001.04 0 99.9993  -  nan  -0.0533328 0.14786 0.0165847  -0.0533328 0.14786 0.0165847  -0.0682648 0.390548 10.3238  -0.0682648 0.390548 10.3238  - - -  - - -  76.4942 65.6576 70.8027 63.4369 - - - - 75.5858 - 70.4424 62.1659 - - - - 139 146 134 70 0 0 0 0
1704802655.994089000  1001.05 0 99.9994  -  nan  -0.0263547 -0.066953 0.0532286  -0.0263547 -0.066953 0.0532286  -0.315836 -0.201773 10.2613  -0.315836 -0.201773 10.2613  - - -  - - -  75.394 67.6881 68.7401 62.8111 - - - - - 65.4108 - - - - - - 139 146 134 70 0 0 0 0
1704802655.999078000  1001.05 0 99.9993  -  nan  0.0784881 0.0267549 -0.121618  0.0784881 0.0267549 -0.121618  0.436413 0.0673422 8.13285  0.436413 0.0673422 8.13285  - - -  - - -  74.0859 67.5307 69.5768 63.0188 - - - - 73.9426 64.8761 70.028 63.8325 - - - - 139 146 134 70 0 0 0 0
1704802656.004070000  1001.06 0 99.9993  -  nan  -0.111712 0.120373 0.0543526  -0.111712 0.120373 0.0543526  -0.16893 0.139325 10.6879  -0.16893 0.139325 10.6879  - - -  - - -  76.7925 66.0297 70.4067 62.4435 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.009071000  1001.07 0 99.9971  -  nan  -0.0703629 -0.00518091 0.144183  -0.0703629 -0.00518091 0.144183  -0.360144 -0.105387 10.537  -0.360144 -0.105387 10.537  - - -  - - -  76.3781 67.662 68.8791 62.0055 - - - - 74.638 - 70.028 63.4921 - - - - 139 146 134 70 0 0 0 0
1704802656.014084000  1001.08 0 99.9974  -  nan  0.0360608 0.0967762 -0.154196  0.0360608 0.0967762 -0.154196  0.207503 0.158837 8.86486  0.207503 0.158837 8.86486  - - -  - - -  75.1589 67.5091 69.7542 62.4293 - - - - - 68.0272 - - - - - - 139 146 134 70 0 0 0 0
