# logged on Wed Dec 13 17:14:49 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.03099  1           0.00671748  2           0.00392137
#  3          -0.00506866  4              1.01317  5            0.0334224
#  6            0.0540395  7           -0.0299119  8             0.969332
# }
# gbias {
#  0           -0.0513409  1            0.0755376  2            0.0383217
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940117  1            0.0306385  2            0.0112014
#  3         -3.77057e-05  4              1.01508  5           -0.0160543
#  6          -0.00828666  7           -0.0860739  8             0.992674
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702484090.066163000  1000.2 0 50.0984  -  nan  -0.0335495 0.106547 0.140752  -0.0335495 0.106547 0.140752  -1.50617 -0.909724 13.5583  -1.50617 -0.909724 13.5583  - - -  - - -  70.1431 69.6844 71.1652 67.7261 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.071143000  1000.2 0 50.0984  -  nan  0.000197479 0.113499 0.0513655  0.000197479 0.113499 0.0513655  2.56053 -0.300697 13.0839  2.56053 -0.300697 13.0839  - - -  - - -  68.3576 70.2132 70.6607 69.1574 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.076149000  1000.21 0 50.0984  -  nan  -0.0414867 0.0967214 -0.0515893  -0.0414867 0.0967214 -0.0515893  0.174249 2.26693 5.96637  0.174249 2.26693 5.96637  - - -  - - -  69.1046 69.9111 69.7506 69.4089 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.081158000  1000.21 0 50.0928  -  nan  -0.0437996 0.106634 0.188269  -0.0437996 0.106634 0.188269  -0.459055 -2.1175 9.11356  -0.459055 -2.1175 9.11356  - - -  - - -  69.7217 70.6887 70.964 68.1793 - - - - 69.6185 69.8227 69.8227 68.2221 - - - - 0 0 0 0 0 0 0 0
1702484090.086170000  1000.22 0 50.0928  -  nan  0.015298 0.142236 0.0729986  0.015298 0.142236 0.0729986  2.55602 -0.536109 12.1778  2.55602 -0.536109 12.1778  - - -  - - -  68.0191 70.9923 70.401 69.8487 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.091148000  1000.22 0 50.0928  -  nan  0.0179386 0.148964 0.033665  0.0179386 0.148964 0.033665  -1.61287 0.387125 11.5833  -1.61287 0.387125 11.5833  - - -  - - -  69.0817 70.4963 69.623 69.2607 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.096145000  1000.22 0 50.0928  -  nan  -0.0372377 0.110439 0.174546  -0.0372377 0.110439 0.174546  0.222194 -2.29436 7.58148  0.222194 -2.29436 7.58148  - - -  - - -  68.6991 70.8492 70.6658 68.5101 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.101149000  1000.22 0 50.0857  -  nan  -0.0216215 0.12392 -0.0735823  -0.0216215 0.12392 -0.0735823  1.41707 1.99006 10.3122  1.41707 1.99006 10.3122  - - -  - - -  68.2024 71.117 70.1994 70.3174 - - - - 68.2221 69.8227 71.286 69.8227 - - - - 0 0 0 0 0 0 0 0
1702484090.106148000  1000.23 0 50.0857  -  nan  0.0394223 0.173872 0.00820791  0.0394223 0.173872 0.00820791  -1.54903 0.570674 10.5913  -1.54903 0.570674 10.5913  - - -  - - -  69.8078 71.0512 71.2278 67.9557 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.111149000  1000.24 0 50.0857  -  nan  0.0293683 0.159847 0.132114  0.0293683 0.159847 0.132114  1.8738 -1.70193 8.01073  1.8738 -1.70193 8.01073  - - -  - - -  68.4517 71.0606 71.3585 68.1911 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
