# logged on Tue Dec 19 14:00:12 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702990812.321772000  1000.44 0 50.0472  -  nan  -0.0244109 0.12165 -0.116414  -0.0244109 0.12165 -0.116414  -1.88008 -2.3856 9.3377  -1.88008 -2.3856 9.3377  - - -  - - -  71.2823 75.6214 66.4942 69.9434 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.326787000  1000.43 0 50.05  -  nan  -0.0217057 0.108423 0.0130505  -0.0217057 0.108423 0.0130505  2.85025 0.993694 9.82578  2.85025 0.993694 9.82578  - - -  - - -  71.5898 73.0683 67.22 71.7021 - - - - 71.0732 75.5858 67.2585 69.8227 - - - - 0 0 0 0 0 0 0 0
1702990812.331785000  1000.44 0 50.05  -  nan  -0.0252104 0.125158 0.0391188  -0.0252104 0.125158 0.0391188  -1.21877 2.40267 10.617  -1.21877 2.40267 10.617  - - -  - - -  72.5809 74.8979 65.4932 70.6932 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.336789000  1000.43 0 50.05  -  nan  -0.020077 0.125522 -0.154019  -0.020077 0.125522 -0.154019  0.696598 -2.63427 9.45496  0.696598 -2.63427 9.45496  - - -  - - -  71.1732 74.8328 67.1046 70.2676 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.341782000  1000.44 0 50.05  -  nan  -0.0244346 0.129218 -0.0214978  -0.0244346 0.129218 -0.0214978  2.33323 1.16194 9.29848  2.33323 1.16194 9.29848  - - -  - - -  72.1372 72.5885 66.8502 71.2646 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.346798000  1000.44 0 50.0484  -  nan  -0.0217555 0.135492 -0.012742  -0.0217555 0.135492 -0.012742  -2.01618 -0.324324 11.8165  -2.01618 -0.324324 11.8165  - - -  - - -  72.5782 74.8705 65.9526 70.2078 - - - - 72.3694 72.3694 66.6933 70.028 - - - - 0 0 0 0 0 0 0 0
1702990812.351770000  1000.44 0 50.0484  -  nan  -0.0165891 0.119888 -0.172721  -0.0165891 0.119888 -0.172721  1.03 -2.14698 9.29236  1.03 -2.14698 9.29236  - - -  - - -  71.2175 74.2945 67.6041 70.5101 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.356773000  1000.44 0 50.0484  -  nan  -0.0392934 0.153341 0.0387091  -0.0392934 0.153341 0.0387091  0.211141 2.21076 6.77731  0.211141 2.21076 6.77731  - - -  - - -  72.9209 73.2752 66.4224 70.2292 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.361780000  1000.43 0 50.0484  -  nan  -0.00374979 0.168316 0.0142296  -0.00374979 0.168316 0.0142296  -1.66233 -0.783372 12.0671  -1.66233 -0.783372 12.0671  - - -  - - -  71.8029 75.1768 66.7248 69.3484 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.366769000  1000.42 0 50.0507  -  nan  0.0325283 0.141894 -0.181001  0.0325283 0.141894 -0.181001  2.0982 0.022094 12.5969  2.0982 0.022094 12.5969  - - -  - - -  72.0331 73.3237 67.6067 70.6316 - - - - 71.9321 75.1089 66.8807 68.8137 - - - - 0 0 0 0 0 0 0 0
1702990812.371800000  1000.4 0 50.0507  -  nan  -0.0291141 0.175483 0.0267242  -0.0291141 0.175483 0.0267242  -0.312218 2.01283 7.12151  -0.312218 2.01283 7.12151  - - -  - - -  73.0053 73.9834 66.7107 69.3772 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.376786000  1000.4 0 50.0507  16  nan  -0.0395938 0.200653 -0.0892108  -0.0395938 0.200653 -0.0892108  0.251209 -2.13193 8.3327  0.251209 -2.13193 8.3327  - - -  - - -  71.0668 74.4196 67.2945 69.6713 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
