# logged on Mon Nov 13 16:42:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890178.975831000  999.995 0 50.0001  -  nan  -0.0242414 -0.0110276 -0.00237181  -0.0242414 -0.0110276 -0.00237181  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  69.8891 70.5563 68.9229 65.5522 - - - - - - 67.4491 65.4108 - - - - 138 0 134 71 0 0 0 0
1699890178.980828000  999.995 0 50.0011  -  nan  0.00397359 -0.0247107 -0.00160677  0.00397359 -0.0247107 -0.00160677  -0.123932 0.00612706 8.33864  -0.123932 0.00612706 8.33864  - - -  - - -  70.3127 70.4877 68.9077 65.8779 - - - - - 71.5001 - - - - - - 138 0 134 71 0 0 0 0
1699890178.985840000  999.994 0 50.003  -  nan  -0.0235568 -0.109031 -0.0134836  -0.0235568 -0.109031 -0.0134836  0.0513172 -0.0981204 10.9294  0.0513172 -0.0981204 10.9294  - - -  - - -  70.066 70.2596 69.1726 66.2489 - - - - 71.5001 - - - - - - - 138 0 134 71 0 0 0 0
1699890178.990847000  999.994 0 50.003  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  -0.0318285 0.0932603 9.42038  -0.0318285 0.0932603 9.42038  - - -  - - -  69.5027 70.3379 69.3154 65.9152 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890178.995843000  999.995 0 50.0025  -  nan  0.0612535 -0.0244058 -0.000810914  0.0612535 -0.0244058 -0.000810914  -0.0773848 0.0051765 8.56844  -0.0773848 0.0051765 8.56844  - - -  - - -  70.3154 70.4411 69.0639 66.152 - - - - - - 69.2137 66.1376 - - - - 138 0 134 71 0 0 0 0
1699890179.000846000  999.994 0 50.0022  -  nan  -0.00956551 -0.0951233 -0.0136622  -0.00956551 -0.0951233 -0.0136622  0.0553151 -0.049677 10.5231  0.0553151 -0.049677 10.5231  - - -  - - -  70.1758 69.8432 69.4412 66.6383 - - - - - 70.028 - - - - - - 138 0 134 71 0 0 0 0
1699890179.005839000  999.993 0 50.003  -  nan  0.0186544 0.0455219 -0.0032945  0.0186544 0.0455219 -0.0032945  -0.0322211 0.0479124 9.30983  -0.0322211 0.0479124 9.30983  - - -  - - -  69.9976 69.9746 69.5398 66.3821 - - - - 70.8617 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.010873000  999.993 0 50.003  -  nan  0.118533 -0.0241009 -1.5057e-05  0.118533 -0.0241009 -1.5057e-05  -0.0330312 -0.0437381 9.08882  -0.0330312 -0.0437381 9.08882  - - -  - - -  70.6816 70.1527 69.1161 66.8444 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.015837000  999.994 0 50.0006  -  nan  0.0474227 -0.0669674 0.000142603  0.0474227 -0.0669674 0.000142603  0.0564807 -0.0950332 10.1842  0.0564807 -0.0950332 10.1842  - - -  - - -  70.3044 69.4238 69.4784 67.4615 - - - - - - 69.0131 66.1376 - - - - 138 0 134 71 0 0 0 0
1699890179.020839000  999.994 0 49.9996  -  nan  0.0184994 0.0731877 -0.00404268  0.0184994 0.0731877 -0.00404268  -0.0334321 -0.0439778 9.14668  -0.0334321 -0.0439778 9.14668  - - -  - - -  70.1701 69.8353 69.3998 67.2525 - - - - - 70.028 - - - - - - 138 0 134 71 0 0 0 0
