# logged on Tue Nov 21 16:16:34 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700579794.266458000  1000.79 0 49.9968  -  nan  0.0907112 -0.0805702 0.00111708  0.0907112 -0.0805702 0.00111708  0.108005 -0.0936073 9.84035  0.108005 -0.0936073 9.84035  - - -  - - -  78.6508 77.7846 81.5395 79.7361 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.271476000  1000.8 0 49.9968  -  nan  -0.0525749 -0.0246398 0.0251256  -0.0525749 -0.0246398 0.0251256  -0.0385956 -0.047065 9.8919  -0.0385956 -0.047065 9.8919  - - -  - - -  78.1239 77.8032 82.0048 79.6831 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.276452000  1000.81 0 49.9968  -  nan  0.0471073 -0.0106478 -0.00138048  0.0471073 -0.0106478 -0.00138048  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  78.2573 78.3658 81.6588 79.3377 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.281476000  1000.82 0 49.9992  -  nan  -0.00964297 -0.0812904 -0.0140363  -0.00964297 -0.0812904 -0.0140363  0.10721 -0.0940826 9.95507  0.10721 -0.0940826 9.95507  - - -  - - -  78.4012 78.0346 81.7264 79.4993 - - - - 78.064 77.8089 81.2612 80.4376 - - - - 138 146 133 71 0 0 0 0
1700579794.286462000  1000.82 0 49.9992  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  -0.0805508 0.139563 9.53049  -0.0805508 0.139563 9.53049  - - -  - - -  78.2502 78.2168 82.0932 78.9425 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.291462000  1000.83 0 49.9992  -  nan  0.0192022 -0.0522962 -0.000649155  0.0192022 -0.0522962 -0.000649155  0.108045 -0.00147746 10.176  0.108045 -0.00147746 10.176  - - -  - - -  78.7006 78.159 81.7651 79.1198 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.296449000  1000.83 0 49.9992  -  nan  -0.0804982 -0.0388077 0.0113516  -0.0804982 -0.0388077 0.0113516  0.00974915 -0.0475403 10.007  0.00974915 -0.0475403 10.007  - - -  - - -  78.2749 78.1731 82.0422 79.0516 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.301536000  1000.83 0 49.9994  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  0.0189174 0.140274 9.3596  0.0189174 0.140274 9.3596  - - -  - - -  78.2373 78.5968 81.8624 78.7494 - - - - 79.3651 77.5555 - 78.3208 - - - - 138 146 133 71 0 0 0 0
1700579794.306461000  1000.83 0 49.9984  -  nan  -0.0522239 -0.0388432 -0.00201458  -0.0522239 -0.0388432 -0.00201458  0.108028 -0.0475403 10.0077  0.108028 -0.0475403 10.0077  - - -  - - -  78.4321 78.3164 81.8389 79.0357 - - - - - - 81.8197 - - - - - 138 146 133 71 0 0 0 0
1700579794.311534000  1000.84 0 49.9984  -  nan  -0.0805938 0.00250565 -0.00352779  -0.0805938 0.00250565 -0.00352779  -0.0817466 0.138848 9.70308  -0.0817466 0.138848 9.70308  - - -  - - -  78.2524 78.6993 81.9631 78.465 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.316486000  1000.83 0 49.9984  -  nan  0.0190291 0.00284998 -0.0159026  0.0190291 0.00284998 -0.0159026  0.109635 -0.000526891 9.94654  0.109635 -0.000526891 9.94654  - - -  - - -  78.6564 78.605 81.7028 78.62 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.321690000  1000.82 0 49.9979  -  nan  -0.0946625 0.00243075 -0.00372327  -0.0946625 0.00243075 -0.00372327  0.0592828 -0.0473047 9.95046  0.0592828 -0.0473047 9.95046  - - -  - - -  78.6226 78.4567 81.7957 78.6542 - - - - 78.3208 78.8395 - 77.0535 - - - - 138 146 133 71 0 0 0 0
1700579794.326483000  1000.81 0 49.9962  -  nan  0.00352141 0.0317941 0.0106273  0.00352141 0.0317941 0.0106273  0.0181225 0.139798 9.47433  0.0181225 0.139798 9.47433  - - -  - - -  78.6233 78.9639 81.6647 78.2164 - - - - - - 81.8197 - - - - - 138 146 133 71 0 0 0 0
1700579794.331462000  1000.8 0 49.9962  -  nan  -0.0525931 0.0028407 0.0106203  -0.0525931 0.0028407 0.0106203  0.109618 -0.0465898 9.77822  0.109618 -0.0465898 9.77822  - - -  - - -  78.7975 78.7904 81.4967 78.5035 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.336458000  1000.8 0 49.9962  -  nan  -0.0950965 0.0314551 0.0230161  -0.0950965 0.0314551 0.0230161  -0.0354008 0.0460113 9.76873  -0.0354008 0.0460113 9.76873  - - -  - - -  78.6809 79.1136 81.3143 78.3476 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.341531000  1000.79 0 49.999  -  nan  0.0330978 0.00292487 -0.0157072  0.0330978 0.00292487 -0.0157072  0.110027 0.044821 10.0571  0.110027 0.044821 10.0571  - - -  - - -  78.8156 79.0028 81.2925 78.4524 - - - - 78.8395 79.3651 - 76.8049 - - - - 138 146 133 71 0 0 0 0
1700579794.346524000  1000.8 0 49.9981  -  nan  -0.081046 0.0590105 0.00870624  -0.081046 0.0590105 0.00870624  0.108422 -0.0473047 9.95081  0.108422 -0.0473047 9.95081  - - -  - - -  78.8796 78.7528 81.3515 78.539 - - - - - - 82.1018 - - - - - 138 146 133 71 0 0 0 0
1700579794.351525000  1000.8 0 49.9981  -  nan  0.00358073 0.0454417 -0.00350394  0.00358073 0.0454417 -0.00350394  0.068458 0.140513 9.30209  0.068458 0.140513 9.30209  - - -  - - -  79.0685 79.2044 81.0342 78.0939 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.356524000  1000.8 0 49.9981  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  0.109217 -0.0468295 9.83608  0.109217 -0.0468295 9.83608  - - -  - - -  79.1272 78.8305 81.2443 78.3454 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
