# logged on Tue Jan  2 11:27:32 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704191252.410004000  1000.62 0 100.027  -  nan  0.121554 -0.0730797 -0.0733731  0.121554 -0.0730797 -0.0733731  -0.572269 0.115837 8.23517  -0.572269 0.115837 8.23517  - - -  - - -  77.1794 67.9836 72.8756 67.365 - - - - 77.3036 - 73.7137 - - - - - 139 145 134 71 0 0 0 0
1704191252.415011000  1000.62 0 100.028  -  nan  0.0189931 -0.0851711 -0.039175  0.0189931 -0.0851711 -0.039175  0.150203 0.226555 11.8231  0.150203 0.226555 11.8231  - - -  - - -  76.8326 66.3756 74.5662 67.3253 - - - - - 68.8137 - 67.0691 - - - - 139 145 134 71 0 0 0 0
1704191252.420001000  1000.62 0 100.026  -  nan  -0.0398153 0.0916813 0.0602905  -0.0398153 0.0916813 0.0602905  0.106479 -0.228921 8.15712  0.106479 -0.228921 8.15712  - - -  - - -  76.6565 67.6485 73.4076 67.1254 - - - - 77.0535 - 75.1089 - - - - - 139 145 134 71 0 0 0 0
1704191252.425013000  1000.62 0 100.031  -  nan  0.106478 -0.0708448 -0.0200947  0.106478 -0.0708448 -0.0200947  -0.670938 0.193921 10.2231  -0.670938 0.193921 10.2231  - - -  - - -  77.5493 67.7891 72.9315 68.2181 - - - - - 67.0691 73.9426 67.0691 - - - - 139 145 134 71 0 0 0 0
1704191252.429998000  1000.62 0 100.028  -  nan  -0.0253893 -0.0255637 -0.00255966  -0.0253893 -0.0255637 -0.00255966  0.463095 -0.0660479 11.5095  0.463095 -0.0660479 11.5095  - - -  - - -  76.5991 66.6201 74.1951 68.0667 - - - - 76.8049 - - - - - - - 139 145 134 71 0 0 0 0
1704191252.434998000  1000.63 0 100.029  -  nan  -0.0249669 0.104713 0.0336512  -0.0249669 0.104713 0.0336512  -0.202103 0.0752677 7.38653  -0.202103 0.0752677 7.38653  - - -  - - -  77.0677 67.2649 73.0914 67.6951 - - - - - 67.4491 - 67.4491 - - - - 139 145 134 71 0 0 0 0
1704191252.440025000  1000.62 0 100.027  -  nan  0.0471274 -0.112 0.00546423  0.0471274 -0.112 0.00546423  -0.447913 0.0411147 10.5807  -0.447913 0.0411147 10.5807  - - -  - - -  77.2399 67.8784 73.4807 68.4315 - - - - 77.0535 - 74.638 - - - - - 139 145 134 71 0 0 0 0
1704191252.445056000  1000.61 0 100.029  -  nan  0.00415528 0.00100325 -0.0432405  0.00415528 0.00100325 -0.0432405  0.422095 -0.101122 10.1436  0.422095 -0.101122 10.1436  - - -  - - -  76.425 66.8081 74.4186 68.1034 - - - - - 67.8334 - 65.9544 - - - - 139 145 134 71 0 0 0 0
1704191252.450020000  1000.61 0 100.029  -  nan  -0.0682892 0.119634 0.0437544  -0.0682892 0.119634 0.0437544  -0.474512 0.220754 7.71364  -0.474512 0.220754 7.71364  - - -  - - -  77.4096 67.2992 73.8799 67.551 - - - - 77.5555 - 72.812 - - - - - 139 145 134 71 0 0 0 0
1704191252.455034000  1000.61 0 100.028  -  nan  0.0185268 -0.127174 -0.024123  0.0185268 -0.127174 -0.024123  -0.316569 -0.110883 11.0516  -0.316569 -0.110883 11.0516  - - -  - - -  77.1499 68.4451 74.0226 67.9939 - - - - - 66.6933 - 67.8334 - - - - 139 145 134 71 0 0 0 0
